Date,Open,High,Low,Close,Volume
2024-03-25,42.93,43.57,42.915,43.26,19734547
2024-03-26,43.23,43.4,43.06,43.12,10702040
2024-03-27,43.32,43.67,43.29,43.66,9001661
2024-03-28,43.78,43.945,43.6,43.62,9807499
2024-04-01,43.62,43.87,43.18,43.22,12174450
2024-04-02,43.23,43.485,42.835,42.93,10038536
2024-04-03,42.96,43.0992,42.095,42.12,20090180
2024-04-04,42.43,42.58,41.49,41.53,13031418
2024-04-05,41.48,41.7625,41.37,41.65,8515879
2024-04-08,41.54,42.09,41.5,41.96,9402189
2024-04-09,42,42.31,41.92,42.11,7686419
2024-04-10,41.67,42.03,41.54,41.68,9510314
2024-04-11,41.75,41.83,41.31,41.43,10889074
2024-04-12,41.33,41.55,41.02,41.05,10669091
2024-04-15,41.3,41.46,40.65,40.95,10727646
2024-04-16,40.95,41.09,40.72,40.75,10407370
2024-04-17,41.01,41.22,40.74,41.1,8787705
2024-04-18,41.13,41.43,41.105,41.3,17571316
2024-04-19,41.39,42.27,41.39,42.09,22320768
2024-04-22,42.31,42.72,42.02,42.57,10775658
2024-04-23,42.64,43.04,42.52,42.87,18917203
2024-04-24,42.7,43.055,42.4,42.92,12938207
2024-04-25,43.25,43.65,42.76,43.54,14924175
2024-04-26,43.43,43.94,43.19,43.38,13794252
2024-04-29,43.4,43.84,43.37,43.82,8657511
2024-04-30,43.99,44.14,43.63,43.81,11816800
2024-05-01,43.7,44.175,43.69,43.82,7367268
2024-05-02,44,44.21,43.825,43.98,9054913
2024-05-03,44,44.12,43.37,43.59,11228966
2024-05-06,43.69,43.83,43.44,43.49,9035436
2024-05-07,43.6,44,43.58,43.85,12052098
2024-05-08,43.9,44.4,43.9,44.29,9946710
2024-05-09,44.39,44.77,44.27,44.71,8140865
2024-05-10,44.79,45.035,44.739,44.9,12160008
2024-05-13,44.9,45.37,44.9,45.04,8229219
2024-05-14,45.08,45.55,45.04,45.5,9436333
2024-05-15,45.6,45.95,45.59,45.85,9435122
2024-05-16,45.95,46.215,45.9,45.95,9131662
2024-05-17,46.05,46.2492,45.92,46.08,9243539
2024-05-20,46.09,46.25,45.775,45.9,8076985
2024-05-21,46.01,46.44,45.94,46.33,8596466
2024-05-22,46.14,46.6,46.11,46.32,15142752
2024-05-23,46.1,46.105,45.51,45.64,10349931
2024-05-24,45.84,46,45.34,45.49,4727695
2024-05-28,45.4,45.635,45.21,45.48,7582616
2024-05-29,45.3,45.35,45.04,45.15,6472177
2024-05-30,45.32,45.595,45.245,45.44,6580107
2024-05-31,45.4,46.33,45.32,46.25,13899903
2024-06-03,46.04,46.6499,46.02,46.55,8197667
2024-06-04,46.4,46.85,46.38,46.83,8681743
2024-06-05,46.78,46.78,46.38,46.67,6859203
2024-06-06,46.67,47.19,46.58,46.69,9325296
2024-06-07,46.69,46.99,46.58,46.7,6491317
2024-06-10,46.6,46.79,46.24,46.49,7951026
2024-06-11,46.53,46.5899,46.21,46.4,7396923
2024-06-12,46.54,46.6,45.71,45.87,9925753
2024-06-13,45.85,46.07,45.534,45.75,8828949
2024-06-14,44.49,44.55,43.83,44.32,10651618
2024-06-17,44.22,44.715,43.92,44.7,8284152
2024-06-18,44.63,44.89,44.4114,44.8,16402593
2024-06-20,44.65,45.55,44.53,45.43,8957784
2024-06-21,45.6,45.99,45.445,45.74,28886684
2024-06-24,45.99,46.585,45.85,46.45,10236352
2024-06-25,46.49,46.59,46.27,46.42,10519752
2024-06-26,46.2,46.56,46.18,46.36,7405183
2024-06-27,46.32,46.4,45.17,45.46,8633296
2024-06-28,45.5,45.62,45.27,45.55,12238540
2024-07-01,45.9,46.415,45.75,46.03,7069960
2024-07-02,46,46.1339,45.76,46.05,5463434
2024-07-03,46.05,46.14,45.73,45.95,3663821
2024-07-05,45.89,46.1,45.76,46.1,6881462
2024-07-08,46.1,46.37,45.87,46.02,5318814
2024-07-09,46.03,46.99,46.02,46.7,9398482
2024-07-10,46.87,47.21,46.54,46.93,9584616
2024-07-11,46.8,47.135,46.6,47.08,7441713
2024-07-12,47.2,47.825,47.11,47.73,7337353
2024-07-15,47.8,48.06,47.53,47.72,8733954
2024-07-16,47.85,48.18,47.66,48.03,6205367
2024-07-17,48.13,49.47,48.13,49.39,10040100
2024-07-18,49.05,49.92,48.94,49.33,6788472
2024-07-19,49.61,49.64,49.27,49.45,5776517
2024-07-22,49.41,49.5566,49.04,49.4,5103222
2024-07-23,49.485,49.7295,49,49.12,6919286
2024-07-24,49.19,49.54,48.71,49.42,8777194
2024-07-25,49.73,50.4699,49.6,49.8,10341074
2024-07-26,49.8,50.47,49.55,50.43,6995663
2024-07-29,50.35,50.725,49.985,50.53,6272577
2024-07-30,50.38,50.85,50.27,50.55,8662989
2024-07-31,48.4,49.05,47.57,49.01,19165992
2024-08-01,49.61,50.04,49.4,50.02,9974933
2024-08-02,50.39,51.4,49.88,51.07,12662503
2024-08-05,49.99,50.775,49.01,49.35,14335789
2024-08-06,49.32,50.125,49.3,49.48,8012003
2024-08-07,49.58,50.68,49.54,50.03,10292075
2024-08-08,49.73,50.805,49.73,50.45,7662130
2024-08-09,50.36,50.66,50.26,50.43,5449755
2024-08-12,50.44,50.7384,50.15,50.31,5941065
2024-08-13,50.34,51.16,50.34,51.11,6652443
2024-08-14,50.99,51.395,50.84,51.19,6000611
2024-08-15,51.25,51.36,50.63,50.74,8382523
2024-08-16,50.775,51.36,50.7,51.32,7722716
2024-08-19,51.38,51.56,51.21,51.32,6500465
2024-08-20,51.33,51.7,51.195,51.44,7306725
2024-08-21,51.54,51.86,51.44,51.81,6169448
2024-08-22,51.89,51.94,51.47,51.83,6982822
2024-08-23,51.98,52.46,51.75,52.44,9149219
2024-08-26,52.51,53.08,52.45,52.71,8068306
2024-08-27,52.91,53.03,52.615,53.01,4705264
