Date,Open,High,Low,Close,Volume
2024-03-25,121.549,123.018,121.245,122.754,7764102.1741456
2024-03-26,123.215,123.508,122.304,122.961,9048953.4360101
2024-03-27,130.16,130.385,127.456,129.064,16395973.307359
2024-03-28,129.308,129.72,128.406,129.258,10401792.29002
2024-04-01,128.994,129.238,127.456,128.319,5489604.2846875
2024-04-02,127.447,128.093,126.643,127.692,6721252.4816212
2024-04-03,127.692,129.602,126.785,127.251,7902606.9488837
2024-04-04,128.162,128.269,124.739,125.057,6893775.0416878
2024-04-05,125.047,125.977,124.41,125.379,5811418.6179787
2024-04-08,125.037,125.311,123.312,123.979,6413332.5210375
2024-04-09,123.998,124.41,122.951,124.125,4794508.9669554
2024-04-10,123.294,124.41,122.499,124.165,5908230.0664003
2024-04-11,123.969,124.547,122.901,123.578,6316181.1397593
2024-04-12,124.445,124.517,122.549,123.175,7523427.6700116
2024-04-15,124.107,125.214,123.302,123.616,6371004.2450608
2024-04-16,123.979,124.214,122.48,122.509,5703656.8399683
2024-04-17,123.108,123.616,122.166,122.813,6250383.2052036
2024-04-18,122.961,122.961,121.961,122.676,6117464.3541637
2024-04-19,123.088,123.548,122.343,123.215,8578073.9513986
2024-04-22,124.125,125.468,123.645,124.351,7968507.9861977
2024-04-23,125.488,125.488,124.155,124.292,7905185.538661
2024-04-24,124.229,124.988,122.794,124.41,7276706.8526349
2024-04-25,127.045,130.092,126.133,128.054,13015500.295982
2024-04-26,127.476,129.221,127.476,128.524,7919751.6105267
2024-04-29,129.034,129.504,126.693,127.466,6971556.3750543
2024-04-30,128.249,128.249,126.35,126.585,7089557.9923586
2024-05-01,125.987,127.28,125.194,126.173,6018554.1010778
2024-05-02,126.427,127.045,125.374,125.644,7577074.7913767
2024-05-03,125.399,125.86,124.587,124.91,6351464.7411306
2024-05-06,124.587,125.124,124.175,124.968,6688369.8474536
2024-05-07,124.507,127.764,124.479,127.722,6821437.7381243
2024-05-08,127.916,128.828,126.693,126.908,6797759.8323899
2024-05-09,126.31,127.839,126.31,127.575,9408626.8979917
2024-05-10,128.152,128.211,127.299,127.408,5841768.5992415
2024-05-13,126.868,127.065,125.409,126.653,7257936.0257047
2024-05-14,126.565,126.565,125.416,126.036,6282469.6002476
2024-05-15,126.252,129.273,126.096,129.044,7387797.5226738
2024-05-16,128.691,129.092,128.122,128.211,5633189.677526
2024-05-17,128.025,128.641,127.162,128.514,8454012.7501995
2024-05-20,128.142,129.054,127.986,128.319,4961600.767871
2024-05-21,128.994,130.082,127.819,128.093,6384897.596949
2024-05-22,127.515,128.916,127.495,128.426,4499408.4562624
2024-05-23,128.231,129.229,127.652,128.416,6973203.9775486
2024-05-24,128.769,128.769,126.526,126.85,6108426.019291
2024-05-28,126.213,126.447,123.175,123.518,10477060.36605
2024-05-29,123.568,123.871,122.72,123.332,8705381.3582556
2024-05-30,123.411,125.242,120.197,121.99,13274200.428892
2024-05-31,122.578,124.028,122.009,122.98,18528333.325873
2024-06-03,123.205,126.32,123.205,125.801,7863041.0101744
2024-06-04,124.557,126.722,124.292,126.086,6574247.3438286
2024-06-05,125.86,127.29,125.458,126.81,5113796.7722582
2024-06-06,126.526,128.259,126.27,127.859,8257041.5657595
2024-06-07,127.692,128.691,127.555,128.005,5048563.3508248
2024-06-10,127.966,128.994,127.005,128.808,6159428.1976184
2024-06-11,128.329,129.475,127.094,129.151,11691643.525253
2024-06-12,129.993,130.003,127.508,127.545,5943174.7557343
2024-06-13,127.368,127.466,125.967,126.732,5108410.9291603
2024-06-14,126.526,127.222,126.026,126.84,7491244.2971256
2024-06-17,126.347,127.066,125.519,125.647,8649749.5027301
2024-06-18,126.406,126.859,125.242,126.129,6628744.5049923
2024-06-20,125.538,128.53,124.908,127.785,10500996.173209
2024-06-21,128.278,129.293,127.214,128.82,17436126.801927
2024-06-24,129.362,131.372,129.022,131.027,8680205.1559094
2024-06-25,131.205,132.673,130.677,130.988,6858107.1422649
2024-06-26,131.442,131.49,129.579,129.589,8617366.8417413
2024-06-27,130.072,130.367,124.937,127.933,12103515.75669
2024-06-28,127.657,129.067,119.114,122,57896952.681606
2024-07-01,123.558,127.312,123.282,126.041,11703062.427096
2024-07-02,126.347,126.376,124.819,125.863,5728620.7902087
2024-07-03,125.834,126.081,123.479,124.021,4061079.1533254
2024-07-05,124.691,124.76,123.095,124.613,6886808.2949161
2024-07-08,124.957,125.603,123.508,123.952,5828144.2999166
2024-07-09,123.42,124.262,121.902,124.208,6432761.0119467
2024-07-10,124.04,125.627,124.001,125.45,4656423.091599
2024-07-11,125.755,127.243,125.736,127.096,7156126.6628365
2024-07-12,127.519,128.041,125.47,125.903,7125819.1629696
2024-07-15,126.139,126.475,125.352,126.258,7020634.3701814
2024-07-16,126.011,127.154,123.38,123.616,8315296.4442999
2024-07-17,123.646,124.849,122.749,124.06,7740474.7840358
2024-07-18,123.479,123.769,120.592,122.444,9641664.3420145
2024-07-19,123.479,125.144,123.361,123.942,6949768.37893
2024-07-22,124.119,124.651,123.213,123.864,4405819.7342269
2024-07-23,123.173,123.794,122.375,122.572,4348630.5261545
2024-07-24,123.153,124.336,122.863,124.09,6431933.991744
2024-07-25,124.198,125.991,123.883,124.021,7465648.3600911
2024-07-26,125.385,126.859,123.233,123.44,6562416.4699938
2024-07-29,123.947,126.129,123.105,125.923,9274336.4694688
2024-07-30,121.685,122.138,112.254,113.575,36033110.912431
2024-07-31,114.314,116.127,110.589,111.486,23068273.402316
2024-08-01,111.481,112.806,109.786,112.166,14325672.362678
2024-08-02,113.487,115.595,112.698,113.525,16806560.463245
2024-08-05,113.279,113.447,109.722,110.678,13530644.142796
2024-08-06,110.619,111.436,109.308,109.534,9905829.8159608
2024-08-07,110.057,110.909,109.111,110.855,9900345.0991569
2024-08-08,111.279,112.57,110.934,112.264,8400248.1624624
2024-08-09,112.126,113.053,111.23,112.885,6001549.6340565
2024-08-12,113.043,113.043,111.466,111.831,6632442.2493093
2024-08-13,111.919,113.196,111.2,112.728,9173676.4412002
2024-08-14,112.008,112.274,109.889,111.929,11192084.696977
2024-08-15,112.51,112.836,110.929,111.663,9827979.3093049
2024-08-16,111.959,112.067,110.984,112.018,10251337.546891
2024-08-19,112.008,112.934,111.663,112.757,6268609.1713376
2024-08-20,113.092,113.624,112.885,113.467,5471809.200199
2024-08-21,113.112,114.905,112.885,114.344,8264242.4069576
2024-08-22,114.61,115.023,113.545,114.856,8322133.8211407
2024-08-23,115.103,115.108,114.236,114.905,8491570.4730568
2024-08-26,115.033,116.186,114.472,114.58,6614978.4239265
2024-08-27,114.58,114.925,113.575,114.807,5583801.9421152
2024-08-28,114.905,116.305,114.546,115.694,5482915.6248832
2024-08-29,116.216,116.674,115.093,115.752,7308678.9108859
2024-08-30,115.566,117.024,115.447,116.729,9007394.6430386
2024-09-03,116.541,117.113,114.728,114.885,7752987.6504388
2024-09-04,114.965,115.033,112.806,114.117,7806829.2025009
2024-09-05,114.915,118.325,114.659,116.867,12186791.109976
2024-09-06,117.365,118.551,115.94,116.127,8703779.7980532
2024-09-09,111.505,115.201,110.776,113.733,15099656.723712
2024-09-10,113.535,114.402,111.683,113.654,12922341.863434
2024-09-11,113.269,114.206,112.61,113.043,7952208.1918849
2024-09-12,112.806,113.826,112.382,113.575,8453955.7676941
2024-09-13,114.402,115.073,113.329,114.176,6808579.2869897
2024-09-16,114.88,117.43,114.88,117.023,7908907.0267647
2024-09-17,118.025,118.194,116.795,117.351,7978506.7302961
2024-09-18,117.261,118.432,116.934,117.698,11224701.334661
2024-09-19,117.956,118.253,115.367,116.299,10042799.644714
2024-09-20,116.339,116.567,115.486,116.24,21370680.344931
2024-09-23,116.269,117.222,114.603,114.712,6718639.9054507
2024-09-24,114.93,115.337,113.412,114.047,9919151.7348361
