Date,Open,High,Low,Close,Volume
2024-03-25,198.266,198.607,197.147,197.712,1758056
2024-03-26,197.585,199.182,197.585,197.994,1335115
2024-03-27,198.753,200.312,198.344,200.174,1351637
2024-03-28,201.121,201.274,199.881,200.535,1306760
2024-04-01,200.069,200.114,198.098,198.5,923390
2024-04-02,198.929,199.668,197.546,197.712,1966128
2024-04-03,197.692,199.929,197.39,198.815,2185631
2024-04-04,200.008,200.585,195.864,196.128,2226070
2024-04-05,197.164,201.532,196.608,200.849,2280413
2024-04-08,200.71,201.123,198.967,199.576,1612514
2024-04-09,200.242,200.789,197.908,199.625,1414855
2024-04-10,198.894,199.266,196.441,196.548,2003923
2024-04-11,195.21,196.603,194.565,194.605,1995148
2024-04-12,193.54,195.718,192.651,193.511,1979304
2024-04-15,195.573,195.573,192.435,192.778,1474374
2024-04-16,193.237,193.55,191.654,191.772,1528697
2024-04-17,192.231,193.491,191.713,193.07,2274915
2024-04-18,201.238,201.746,196.891,197.087,3795310
2024-04-19,197.848,198.455,194.311,197.769,2518960
2024-04-22,199.236,199.236,196.617,196.793,1654503
2024-04-23,197.848,198.336,196.099,197.067,1965657
2024-04-24,196.568,196.872,194.776,196.324,1652165
2024-04-25,196.022,197.032,194.664,196.833,1630750
2024-04-26,195.962,196.275,193.217,193.393,1825629
2024-04-29,193.462,194.36,192.602,193.911,1349820
2024-04-30,193.999,195.385,193.383,194.839,2579169
2024-05-01,194.742,196.627,194.365,195.17,2046627
2024-05-02,195.299,195.454,193.736,194.771,1864400
2024-05-03,194.214,195.24,192.191,194.683,1064392
2024-05-06,195.444,196.891,195.093,196.881,1479866
2024-05-07,197.555,199.128,196.705,199.021,1023892
2024-05-08,199.735,200.281,198.57,198.904,813501
2024-05-09,198.591,200.252,197.683,200.123,732013
2024-05-10,200.281,201.687,199.879,200.819,942947
2024-05-13,200.505,201.668,199.998,200.819,876902
2024-05-14,201.093,201.238,199.226,200.35,1319489
2024-05-15,199.822,202.05,199.794,201.581,1188143
2024-05-16,203.074,205,202.973,204.326,1942738
2024-05-17,205.294,205.294,203.603,205.136,1146300
2024-05-20,204.493,205.606,204.043,204.345,1440453
2024-05-21,205.127,205.468,204.013,205.098,1073309
2024-05-22,205.488,206.661,204.853,205.967,1288703
2024-05-23,205.557,205.557,202.998,203.203,1098014
2024-05-24,203.348,203.749,202.646,203.104,1032978
2024-05-28,202.06,202.586,198.992,199.276,1470128
2024-05-29,198.277,198.709,197.127,197.311,1477976
2024-05-30,197.331,200.72,197.193,199.695,1959002
2024-05-31,200.388,202.978,199.645,202.8,4036799
2024-06-03,202.362,203.28,200.447,201.756,1195372
2024-06-04,201.16,203.855,201.16,203.691,913383
2024-06-05,203.876,204.189,201.502,203.339,1189953
2024-06-06,203.994,204.272,202.382,203.466,1110957
2024-06-07,206.143,206.143,204.616,205.155,1765688
2024-06-10,205.165,205.621,202.293,204.785,1457058
2024-06-11,204.55,205.284,203.466,204.99,2735176
2024-06-12,205.352,206.093,203.994,205.635,2020366
2024-06-13,205.322,205.616,203.764,204.677,1767128
2024-06-14,203.925,204.795,203.325,204.072,969751
2024-06-17,203.691,207.121,203.261,206.651,1344634
2024-06-18,206.357,208.306,205.136,207.824,1667224
2024-06-20,207.472,210.304,206.367,210.051,1758885
2024-06-21,210.001,210.337,209.143,209.465,3352642
2024-06-24,209.483,211.897,209.014,210.782,1275896
2024-06-25,210.911,211.349,206.992,207.335,2269710
2024-06-26,205.538,206.193,203.741,205.938,1606876
2024-06-27,206.437,206.949,205.322,206.084,1553765
2024-06-28,205.674,207.081,204.844,205.869,7147704
2024-07-01,206.298,207.111,204.766,205.409,1270359
2024-07-02,204.727,207.244,204.727,207.111,1763599
2024-07-03,206.983,208.369,205.977,208,803049
2024-07-05,208.537,209.034,207.051,208.995,1250733
2024-07-08,209.523,210.548,208.615,209.328,1317157
2024-07-09,209.368,209.757,206.533,206.925,1771757
2024-07-10,207.13,210.061,207.086,209.924,1828299
2024-07-11,210.197,212.385,209.924,212.337,1610361
2024-07-12,213.449,214.653,212.981,213.325,1396212
2024-07-15,213.977,214.447,213.021,213.439,1592712
2024-07-16,213.987,215.052,213.215,213.871,2046840
2024-07-17,214.242,216.607,213.176,215.58,1822490
2024-07-18,212.865,214.452,209.708,212.415,2174516
2024-07-19,214.437,215.864,211.301,211.761,2544714
2024-07-22,213.599,215.102,213.076,213.987,1896499
2024-07-23,214.76,216.485,213.949,213.997,1423188
2024-07-24,214.526,215.472,212.181,212.474,1801063
2024-07-25,213.193,215.567,211.802,211.88,1828025
