Date,Open,High,Low,Close,Volume
2024-03-25,10.45,10.53,10.42,10.48,1682760
2024-03-26,10.43,10.485,10.42,10.42,1607854
2024-03-27,10.39,10.41,10.24,10.3,2651793
2024-03-28,10.23,10.26,10.215,10.23,1933509
2024-04-01,9.97,9.99,9.87,9.98,2412464
2024-04-02,9.86,10,9.85,9.94,3396140
2024-04-03,10,10.09,9.98,10.06,1929709
2024-04-04,10.21,10.27,10.1,10.1,2695316
2024-04-05,10.07,10.155,10.05,10.12,2275771
2024-04-08,10.21,10.295,10.18,10.21,2513821
2024-04-09,10.18,10.2,10.07,10.13,2747980
2024-04-10,10,10.0975,9.9801,10.04,3660214
2024-04-11,10.21,10.23,10.0915,10.16,2803028
2024-04-12,10.02,10.0504,9.91,9.96,3065306
2024-04-15,10.06,10.135,9.95,9.95,3170883
2024-04-16,9.81,9.83,9.7209,9.78,3523059
2024-04-17,9.75,9.75,9.6112,9.68,3491138
2024-04-18,9.78,9.83,9.75,9.78,2314740
2024-04-19,9.79,9.86,9.765,9.81,2784244
2024-04-22,9.97,10.07,9.95,10.04,1971802
2024-04-23,10.07,10.11,10.045,10.09,1415750
2024-04-24,10.08,10.1,10.035,10.07,1343111
2024-04-25,9.93,10.06,9.915,10.06,2410394
2024-04-26,9.9,9.96,9.88,9.91,1575494
2024-04-29,9.97,9.99,9.94,9.97,1935419
2024-04-30,10,10.08,9.95,9.95,1654846
2024-05-01,9.92,9.9997,9.8709,9.91,2180427
2024-05-02,10.03,10.045,9.985,10.02,1054779
2024-05-03,10.06,10.15,10.06,10.14,1207468
2024-05-06,10.16,10.24,10.1394,10.21,2177274
2024-05-07,10.17,10.195,10.13,10.16,2254863
2024-05-08,10.02,10.14,10.005,10.11,2571501
2024-05-09,10.15,10.3268,10.15,10.29,2368469
2024-05-10,10.29,10.35,10.29,10.31,2693281
2024-05-13,10.33,10.355,10.28,10.28,2140378
2024-05-14,10.29,10.42,10.26,10.41,3056647
2024-05-15,10.22,10.525,10.22,10.3,5462603
2024-05-16,9.87,9.901,9.76,9.76,4436429
2024-05-17,9.99,10.07,9.96,10.03,3207066
2024-05-20,10.01,10.07,10.01,10.03,1287691
2024-05-21,9.99,9.9975,9.96,9.98,2212132
2024-05-22,9.96,9.975,9.9,9.91,1291477
2024-05-23,9.99,10.04,9.95,9.96,3806893
2024-05-24,9.98,10.09,9.98,10.06,1535806
2024-05-28,10.31,10.4,10.27,10.38,2289466
2024-05-29,10.38,10.39,10.3,10.3,2108107
2024-05-30,10.44,10.47,10.4,10.42,1764530
2024-05-31,10.55,10.64,10.51,10.64,2673415
2024-06-03,10.84,10.855,10.73,10.84,3360866
2024-06-04,10.77,10.79,10.7001,10.77,1854180
2024-06-05,10.59,10.6,10.52,10.59,1800504
2024-06-06,10.61,10.66,10.58,10.65,2182038
2024-06-07,10.41,10.46,10.3901,10.4,1441381
2024-06-10,10.49,10.53,10.455,10.51,933857
2024-06-11,10.38,10.38,10.31,10.32,1531541
2024-06-12,10.44,10.44,10.34,10.36,1663135
2024-06-13,10.16,10.21,10.11,10.13,1591173
2024-06-14,9.97,10.03,9.935,10.02,1447351
