Date,Open,High,Low,Close,Volume
2024-03-25,62,62.64,61.405,62.61,11423473
2024-03-26,62.62,62.91,61.3,61.43,13829574
2024-03-27,62.16,63.855,62.02,63.79,13409037
2024-03-28,63.67,64.26,63.39,63.91,12830842
2024-04-01,63.91,64.045,62.76,63.38,13175188
2024-04-02,63.27,63.34,62.3557,62.88,9905331
2024-04-03,62.69,62.99,61.855,62.55,10551443
2024-04-04,63.35,63.975,62.97,63.73,10690083
2024-04-05,63.05,64.355,62.9,64.18,10278085
2024-04-08,64.15,64.92,63.93,64.86,8054868
2024-04-09,65.15,65.8562,64.79,65.38,9188529
2024-04-10,63.5,64.24,63,64.01,10783388
2024-04-11,64.63,64.79,63.315,63.94,12145604
2024-04-12,64.12,64.31,62.95,63.08,9039494
2024-04-15,63.53,64.33,62.3,62.75,11147113
2024-04-16,62.49,62.58,61.31,61.7,11594124
2024-04-17,62.24,63.92,61.92,63.79,15653741
2024-04-18,63.85,64.39,63.13,64.01,10134983
2024-04-19,64.22,64.9,63.645,64.31,13418832
2024-04-22,64.59,65.485,63.92,65.31,14747195
2024-04-23,65.24,67.17,65.1,66.2,14349197
2024-04-24,65.91,67.1,65.22,66.56,12149626
2024-04-25,66,67.12,65.51,66.9,11418536
2024-04-26,67.22,67.3,65.75,65.99,9982762
2024-04-29,67.015,67.91,66.96,67.42,9911004
2024-04-30,66.9,67.485,66.27,66.97,10042563
2024-05-01,66.87,68.86,66.74,68.61,13992995
2024-05-02,68.88,69.015,67.67,68.85,10815915
2024-05-03,69.89,70.28,69.31,70.14,12687503
2024-05-06,70.36,71.3,70.26,71.25,14042124
2024-05-07,71.69,72.04,71.31,71.95,13621059
2024-05-08,71.7,72.89,71.48,72.85,9914979
2024-05-09,73,74.73,72.58,74.58,16627899
2024-05-10,74.87,75.21,73.65,73.79,12046747
2024-05-13,74.14,74.67,73.59,74.58,7685511
2024-05-14,74.94,75.61,74.66,75.42,8176616
2024-05-15,75.97,77.19,75.97,77.05,12470580
2024-05-16,77.06,77.41,76.06,76.41,10414248
2024-05-17,76.35,76.55,75.54,76.09,9490319
2024-05-20,75.99,76.19,75.57,75.87,7179699
2024-05-21,75.87,76.96,75.45,76.95,6420057
2024-05-22,76.41,77.18,76.16,76.32,8773558
2024-05-23,75.96,75.96,74.62,75.32,9097766
2024-05-24,75.42,77.1025,75.26,76.61,7601101
2024-05-28,76.62,78.255,76.33,77.53,11986997
2024-05-29,76.77,76.9,76.16,76.68,6896342
2024-05-30,76.87,78.26,76.61,78.19,21764693
2024-05-31,78.29,80.47,78.131,80.02,16196032
2024-06-03,79.5,79.75,77.52,77.71,15410519
2024-06-04,77.61,77.79,76.525,77.15,8484305
2024-06-05,77.05,77.33,76.6,77.05,9264742
2024-06-06,76.94,77.7699,76.6272,76.7,6550584
2024-06-07,75.56,77,75.01,75.39,10059493
2024-06-10,75.47,77.055,74.85,76.97,11218858
2024-06-11,75.3,75.32,71.55,72.74,22781516
2024-06-12,73.79,73.95,71.4,72.26,13930465
2024-06-13,72.56,73.72,72.36,73.18,10023179
2024-06-14,72.76,73.54,72.38,73.06,6568564
2024-06-17,72.73,73.4,72.19,72.31,8445308
