Date,Open,High,Low,Close,Volume
2024-03-25,61.5392,61.7196,61.3136,61.3498,530823
2024-03-26,61.2324,61.3452,60.5737,60.6007,412814
2024-03-27,60.1405,61.2775,60.0729,61.2144,334931
2024-03-28,61.3498,61.7196,61.3046,61.5663,310235
2024-04-01,61.2956,61.4399,60.7812,61.2144,258063
2024-04-02,61.3588,61.8641,61.3498,61.3858,355689
2024-04-03,61.3678,61.7469,61.0158,61.5122,274035
2024-04-04,62.1168,62.2341,61.2866,61.5573,258330
2024-04-05,60.2577,60.357,59.5719,59.8607,448440
2024-04-08,59.8246,60.4653,59.8246,60.0682,459189
2024-04-09,60.2577,60.4472,59.85,60.2577,238530
2024-04-10,59.5177,59.5177,58.3716,58.543,325828
2024-04-11,58.895,58.904,57.9421,58.3535,272887
2024-04-12,58.886,59.6441,58.5701,58.6603,485015
2024-04-15,58.7596,58.8409,58.1279,58.2182,345903
2024-04-16,57.785,57.8481,57.1352,57.3248,498120
2024-04-17,58.0105,58.4166,57.75,58.2904,317425
2024-04-18,58.8409,59.1026,58.5972,59.0575,388298
2024-04-19,59.1026,59.4275,58.9491,59.0078,541690
2024-04-22,59.0304,59.6351,58.913,59.4275,500207
2024-04-23,59.8156,60.569,59.8065,60.321,372862
2024-04-24,60.2216,60.4292,59.9238,60.3028,281205
2024-04-25,59.8516,60.2905,59.5629,60.2487,257420
2024-04-26,60.2848,60.4021,59.8336,59.8426,318081
2024-04-29,60.5555,60.8489,60.5033,60.5737,256789
2024-04-30,60.1765,60.4021,59.9509,60.1493,240672
2024-05-01,60.3028,61.0248,60.1869,60.5737,285648
2024-05-02,60.7,61.1783,60.5376,61.0158,583914
2024-05-03,61.6385,61.8732,61.2144,61.6655,296763
2024-05-06,61.4219,62.0898,61.4038,61.9544,206618
2024-05-07,62.902,63.1095,62.6854,62.8297,277682
2024-05-08,62.6943,63.1456,62.6764,63.0284,205491
2024-05-09,63.3622,63.985,63.3261,63.8946,315349
2024-05-10,64.3459,64.3459,63.9128,64.2647,327092
