Date,Open,High,Low,Close,Volume
2024-03-25,129,130.25,128.71,129.05,3319962
2024-03-26,130.1,130.16,128.44,129.41,4218215
2024-03-27,128.33,128.62,127.29,128.05,3941235
2024-03-28,128.39,130.16,127.79,128.4,3656540
2024-04-01,129.11,129.11,127.15,127.55,3065147
2024-04-02,125.05,126.68,124.08,126.46,4322447
2024-04-03,125.38,128.13,125.38,126.99,3616445
2024-04-04,126.9,127.4799,123.77,123.96,4006827
2024-04-05,124.67,126.17,124.6,125.86,4997816
2024-04-08,127,127.63,125.99,127.46,3017070
2024-04-09,126.18,126.74,124.22,124.86,3215244
2024-04-10,123.39,125.26,123.24,124.93,3025305
2024-04-11,125.48,125.88,124.13,125.4,2418961
2024-04-12,126.74,127.06,124.35,124.51,3343015
2024-04-15,125.81,126.05,123.52,123.9,2896694
2024-04-16,123.07,124.2505,121.79,123.45,3044113
2024-04-17,124.95,125.21,123.26,124.53,3075118
2024-04-18,123.3,124.095,122.51,122.75,2841036
2024-04-19,123.48,124.54,122.46,122.7,5180828
2024-04-22,122.59,126.25,122.57,125.26,3798340
2024-04-23,126.57,128.76,126.34,128.64,3703606
2024-04-24,127.16,127.32,125.35,126.16,3143089
2024-04-25,123.69,125.85,123.2096,125.79,3434352
2024-04-26,126.15,127.9,125.99,126.85,3312457
2024-04-29,127.32,127.97,126.52,126.88,2110861
2024-04-30,128.05,130.4631,127.49,128.31,7841046
2024-05-01,127.8,130.13,127.5,129.21,5217688
2024-05-02,127.94,127.94,123.83,124.02,8487072
2024-05-03,122.92,123.77,121.2902,123.05,5932926
2024-05-06,122,124.64,121.78,124.59,3636591
2024-05-07,126.65,127.8,126.38,127.29,4167492
2024-05-08,127.51,128.43,126.62,126.69,4060256
2024-05-09,127.44,128.8,126.94,128.66,2374007
2024-05-10,129.09,130.27,128.33,128.42,3081075
2024-05-13,131.47,133.5,130.4,132.41,6144954
2024-05-14,132.18,133,131.3,132.92,2920656
2024-05-15,132.945,134.79,132.9,134.66,3719691
2024-05-16,133.13,133.67,132.48,133.04,2894421
2024-05-17,131.94,132.0863,130.85,131.89,2590304
2024-05-20,131.45,133.62,131,132.91,2411685
2024-05-21,133.36,135.48,133.32,135.16,3559763
2024-05-22,133.6,134.65,132.77,134.03,2683027
2024-05-23,136.46,137.22,135,135.57,4370676
2024-05-24,134.5,136.695,134.22,136.04,2845222
2024-05-28,134.45,134.59,132.7,134.08,3145648
2024-05-29,132.35,133.14,132.06,132.68,3169150
2024-05-30,133.89,134.58,132.78,132.8,2759864
2024-05-31,135.04,135.86,133.7601,135.28,3446348
2024-06-03,133.85,136.69,133.68,135.62,4496711
2024-06-04,136.44,140,135.78,139.92,5071172
2024-06-05,141.36,142.4095,140.08,141,3786730
2024-06-06,141.19,142.94,140.8901,142.4,4369174
2024-06-07,143.07,143.73,142.27,142.88,3511197
2024-06-10,142.115,143.94,141.25,143.63,3655019
2024-06-11,141.91,142.94,141.02,141.79,4433332
2024-06-12,143.52,144.5,142,143.26,3242786
2024-06-13,142.83,142.91,141.14,142.49,2857184
2024-06-14,142.21,143.18,141.89,142.5,2831653
2024-06-17,142,142.13,140.34,140.37,3164448
2024-06-18,141.06,141.71,139.78,140.8,2640226
