Date,Open,High,Low,Close,Volume
2024-03-25,96.15,96.29,95.73,95.73,3641761
2024-03-26,95.5,95.56,95.07,95.27,944216
2024-03-27,95.5,95.9,95.27,95.88,2432095
2024-03-28,96.28,97.2,96.15,96.73,1524700
2024-04-01,96.83,97.055,95.445,95.87,1258616
2024-04-02,94.64,94.64,93.92,94.41,1468622
2024-04-03,94.45,94.88,94.175,94.37,1168904
2024-04-04,97.25,98.205,96.54,96.89,2544694
2024-04-05,95.3,95.93,95.13,95.79,1916901
2024-04-08,95.74,96.15,95.2499,95.48,1535120
2024-04-09,95.67,95.9,95.385,95.81,1375935
2024-04-10,94.57,94.67,94.035,94.38,2399212
2024-04-11,94.87,94.91,93.75,94.34,1623290
2024-04-12,94.99,95.05,93.41,93.52,2099603
2024-04-15,94.2,94.965,94.11,94.41,1501028
2024-04-16,92.85,93.37,92.64,93.2,1914845
2024-04-17,93.63,93.78,92.87,93.08,1168714
2024-04-18,92.85,92.93,92.35,92.57,1054610
2024-04-19,93.2,94.495,93.15,94.35,2338264
2024-04-22,94.76,96.03,94.72,95.12,2447775
2024-04-23,98.74,99.5,97.0305,97.28,3837430
2024-04-24,98.5,98.55,97.405,98.35,2472990
2024-04-25,98.63,99.24,98.26,99.06,2421300
2024-04-26,97.76,98.22,97.44,97.44,1562845
2024-04-29,97.76,97.91,96.86,97.09,2168689
2024-04-30,97.08,97.82,96.92,97.13,1630756
2024-05-01,96.97,97.87,96.715,97.5,1284177
2024-05-02,97.21,97.47,96.85,97.34,1426052
2024-05-03,97.75,97.91,97.07,97.27,1045674
2024-05-06,97.5,97.83,97.11,97.73,1180808
2024-05-07,98.6,99.19,98.54,99.07,1159818
2024-05-08,99.65,99.78,99.26,99.6,1153281
2024-05-09,99.72,100.29,99.44,100.21,1384529
2024-05-10,101.13,102.14,101.04,102.1,1843451
2024-05-13,102.44,102.69,102.15,102.26,1101804
2024-05-14,102.77,103.39,102.72,103.31,1951114
2024-05-15,103.25,103.55,102.9619,103.22,1058460
2024-05-16,102.5,102.765,102.13,102.69,812094
2024-05-17,102.87,102.93,102.5,102.57,781507
2024-05-20,102.7,103,102.275,102.84,984688
2024-05-21,102.8,103.13,102.76,102.84,882064
2024-05-22,101.81,102.04,101.63,101.96,1051713
2024-05-23,101.93,101.97,101,101.11,932645
2024-05-24,100.29,100.78,100.065,100.53,1177608
2024-05-28,100.26,100.33,99.45,99.68,1033525
2024-05-29,99.35,99.52,98.913,99.36,1108549
2024-05-30,100.34,101.0125,100.34,100.7,1258059
2024-05-31,102.14,103.37,101.95,103.13,1981421
2024-06-03,103.23,103.7,102.72,102.76,1594316
2024-06-04,103.82,104.95,103.51,104.92,1685683
2024-06-05,105.47,105.59,105.06,105.36,1109131
