Date,Open,High,Low,Close,Volume
2024-03-25,142.8,143.15,140.618,142.535,5298092
2024-03-26,142.925,144.12,141.4,143.345,5869414
2024-03-27,145.245,145.45,140.74,141.13,6528016
2024-03-28,140.68,142.53,140.025,142.065,6800996
2024-04-01,142.51,142.832,139.215,139.71,6280284
2024-04-02,137.725,137.78,135.725,136.7,7738842
2024-04-03,135.7,136.94,134.625,134.77,8076472
2024-04-04,135.835,136.695,132.5,132.6,9636436
2024-04-05,132.89,134.85,132.625,134.505,7363520
2024-04-08,134.005,134.56,132.83,134.29,7385868
2024-04-09,135.485,139.755,134.827,139.565,11193314
2024-04-10,137.5,141.25,137.5,140.5,7006506
2024-04-11,141.335,142.745,139.215,141.93,6986606
2024-04-12,141.22,141.88,138.63,139.535,5815920
2024-04-15,139.5,139.59,135.52,136.075,6104176
2024-04-16,135.205,138.248,135.18,137.51,7255058
2024-04-17,139,140.44,137.8,138.665,6338760
2024-04-18,138.875,142.185,138.163,140.57,7711856
2024-04-19,141.25,142.44,138.273,138.855,9496818
2024-04-22,141.045,141.485,137.6,140.84,5852214
2024-04-23,142.125,147.11,141.5,146.745,8132008
2024-04-24,147,147.5,145.46,146.91,5700734
2024-04-25,143,145.075,140.81,144.395,5422882
2024-04-26,145.07,147.065,143.716,145.71,4493024
2024-04-29,149,151.945,145.915,146.705,5980510
2024-04-30,146.475,147.975,145.21,145.445,6345768
2024-05-01,144.438,146.855,142,143.67,6070956
2024-05-02,145.38,147.89,142.765,147.66,6534598
2024-05-03,146.848,148.745,145.185,148.105,6877948
2024-05-06,149.495,150.485,148.58,150.285,5771108
2024-05-07,150.285,154.325,149.73,152.76,9227944
2024-05-08,151.45,152.135,149.755,151.505,6254046
2024-05-09,149.455,150.495,147.52,147.835,6029190
2024-05-10,149.155,150.483,148.46,148.735,4278102
2024-05-13,151,152.33,149.475,151.125,4173820
2024-05-14,149.465,151.65,149.22,150.77,5380932
2024-05-15,152.095,156.57,151.53,156.16,7398948
2024-05-16,157.26,158.69,155.54,158.39,7343426
2024-05-17,158.5,159.5,157.48,158.925,6848300
2024-05-20,159.25,162.34,157.29,161.885,15993944
2024-05-21,150.58,159.25,150,155.83,27524812
2024-05-22,156.045,156.725,151.6,154.29,9065172
2024-05-23,154.89,157.22,152.25,155.72,7791228
2024-05-24,155.75,161.555,155.5,160.8,9429950
2024-05-28,160.05,160.925,153.535,154.005,9216068
2024-05-29,152.87,155.16,152.2,153.45,5270046
2024-05-30,152,152.175,145.58,146.59,9244502
2024-05-31,148.75,149.63,143.29,147.455,14804500
2024-06-03,148.21,148.5,145.565,147.24,4701038
2024-06-04,147.25,147.895,144.455,145.045,5347242
2024-06-05,148.115,148.475,145.25,147.705,7476718
2024-06-06,147.558,150.331,147.375,147.965,5059786
2024-06-07,148.25,151.475,147.595,150.95,5215980
2024-06-10,149.73,154.73,149.35,154.525,5788352
2024-06-11,154.34,157.3,153.438,156.475,5524502
2024-06-12,157.5,160.05,155.82,159.895,4926184
2024-06-13,160,162.245,157.68,159.83,5944630
2024-06-14,159.83,161.31,157.505,158.655,4971786
2024-06-17,158.005,160.585,155.94,159.795,5080904
2024-06-18,160.005,160.57,157.93,158.51,4121360
2024-06-20,159.738,160.55,154.625,155.52,6281036
2024-06-21,157.92,160.695,156.13,160.165,14406704
2024-06-24,159.37,163.4,157.87,158.34,6381334
2024-06-25,158.68,163.195,158,161.34,5155936
2024-06-26,161,163.69,159.9,162.63,4249614
2024-06-27,165,172.705,164.57,170.41,11299140
2024-06-28,170,172.95,168.685,169.505,8344612
2024-07-01,169,171.265,165.74,170.45,4766896
2024-07-02,169.685,171.405,168.035,170.22,4240338
2024-07-03,169.725,171.22,169.24,170.6,2045296
2024-07-05,170.488,172.775,169.152,171.045,4140730
2024-07-08,170.08,170.975,164.665,168.82,5856278
2024-07-09,169.5,169.5,166.065,168.09,3594368
2024-07-10,168.5,169.005,165.08,168.53,4091366
2024-07-11,168.515,170.625,164.56,165.52,5553354
2024-07-12,166.005,169.1,165.64,168.25,3581116
2024-07-15,166.395,171.845,164.625,170.455,5101012
2024-07-16,170.3,170.844,167.755,169.25,3184060
2024-07-17,167.455,167.935,163.815,166.07,4625656
2024-07-18,164.635,165.5,160.13,161.94,5020130
2024-07-19,165.98,168.45,163.015,165.445,6454754
2024-07-22,167.225,169.435,164.44,166.85,5970354
2024-07-23,167.495,170.445,166.325,167.78,5494242
2024-07-24,167,168.135,161.5,162.12,4984268
2024-07-25,163.28,164.425,159.365,160.065,4743168
2024-07-26,161.615,164.578,160.635,163.405,3418850
2024-07-29,163.75,164.365,160.7,161.03,3124682
2024-07-30,162.62,163.418,157.505,158.755,5412340
2024-07-31,160.322,163.31,158.125,162.365,4082338
2024-08-01,161.705,162.82,156.185,157.81,6717674
2024-08-02,152.958,154.5,149.775,152.8,7049198
2024-08-05,143.605,150.7,142.01,147.09,8960350
2024-08-06,150.06,152.67,147.425,150.965,6441604
2024-08-07,155.575,157.39,152.085,152.105,7132492
2024-08-08,155.85,158.905,153.175,158.685,4438612
2024-08-09,159.08,166.57,158.745,165.74,5640230
2024-08-12,165.335,166.213,162.575,165.55,4079126
2024-08-13,165.675,168.04,165.26,166.615,6996168
2024-08-14,167.995,172.166,167.755,169.955,5346652
2024-08-15,170.255,172.89,170.045,171.635,6358698
2024-08-16,169.24,170.065,166.36,167.055,9066732
2024-08-19,168,172.239,167.555,171.68,16124696
2024-08-20,174.345,187.685,174,184.005,25706058
2024-08-21,182.155,184.297,179.265,179.875,10018578
2024-08-22,179.675,179.68,174.415,174.74,6149278
2024-08-23,175.6,177.57,173.115,175.375,7013312
2024-08-26,174.865,177.32,172.735,173.56,6962720
2024-08-27,172.125,175.67,171.68,175.095,3472968
2024-08-28,174.735,176.39,173.038,175.22,3306520
2024-08-29,176.46,183.025,176.11,179.105,5457076
2024-08-30,179.21,181.482,177.285,181.36,5977152
2024-09-03,179.775,182.75,176.475,177.535,5231606
2024-09-04,171.65,174.02,169.045,173.075,6138482
2024-09-05,171.675,172.93,169.535,171.87,3378908
2024-09-06,172.5,173.512,166.92,167.91,4735178
2024-09-09,169.42,172.465,168.825,172.025,4788556
2024-09-10,173.5,174.055,170.035,173.79,4959766
2024-09-11,173.238,173.238,166.35,170.885,6913970
2024-09-12,172.005,173.2,170.65,172.58,3517984
2024-09-13,172.58,176.3,172.235,173.45,3052618
2024-09-16,173.29,174.635,171.46,173.055,3393158
2024-09-17,173.605,173.97,168.135,168.965,4998714
2024-09-18,168.47,168.875,164.36,164.875,5707366
2024-09-19,168.95,169.59,166.2,166.8,4807658
2024-09-20,166.5,170.525,166.165,170.06,7552534
2024-09-23,169.82,172.675,168.585,172.085,4410480
2024-09-24,172.52,172.935,169.256,171.76,4520998
2024-09-25,171.715,172.5,169.18,170.255,3576524
2024-09-26,171.775,172.135,167.65,169.365,5054372
2024-09-27,169.435,169.98,167.25,167.875,3519162
2024-09-30,167.585,171.717,167.5,170.9,5140798
2024-10-01,170.8,170.89,164.125,164.645,5405958
2024-10-02,165.275,168.809,164.275,166.065,4105222
2024-10-03,164.98,168.345,164.455,167.97,4020694
2024-10-04,171,171.48,167.795,171.18,4074118
2024-10-07,170.31,172.778,168.405,168.97,4799128
2024-10-08,172.7,178.5,172.5,177.565,6637000
2024-10-09,177.565,181.78,177.5,181.435,4918456
2024-10-10,180,184.895,180,184.7,4452386
2024-10-11,184.505,189.165,184.475,186.6,4596038
2024-10-14,188.495,188.565,184.895,186.955,2989762
2024-10-15,186.525,188.16,185.005,187.22,7457928
2024-10-16,187.22,187.27,183.702,186.615,6166874
2024-10-17,186,189.865,185.165,188.075,3095228
2024-10-18,186.605,188,186.32,187.415,2899926
2024-10-21,187.485,192,186.515,189.205,4362502
2024-10-22,187.36,189.635,185.655,188.05,3167442
2024-10-23,186.78,187.072,178.79,179.095,5402252
2024-10-24,180.352,183.255,180.075,182.29,2969736
2024-10-25,183.865,186.2,182.87,183.22,2694346
2024-10-28,184,184.455,180.715,181.175,3127344
2024-10-29,180.885,183.735,178.895,182.695,4410280
2024-10-30,182.17,183.94,179.342,179.755,2940410
2024-10-31,182.34,184.69,179.1,180.165,4063962
2024-11-01,179.515,182.885,178.55,181.32,5852550
2024-11-04,179.584,181.94,178,180.56,3064824
2024-11-05,182.245,184.245,181.1,183.145,2707480
2024-11-06,189,193.1,188,192.59,5031460
2024-11-07,189.295,193.605,188.11,193.5,4210648
2024-11-08,194.5,196.605,192.135,195.7,4116550
2024-11-11,197.83,200.345,196.85,199.05,3760964
2024-11-12,197.88,199.655,196.985,199.01,3702848
