Date,Open,High,Low,Close,Volume
2024-03-25,14.86,15.05,14.85,14.94,14868760
2024-03-26,14.9,14.94,14.73,14.74,13337430
2024-03-27,14.73,14.96,14.65,14.93,14331176
2024-03-28,14.94,15.25,14.87,15.21,27590321
2024-04-01,15.22,15.26,15.05,15.22,15176984
2024-04-02,15.39,15.66,15.37,15.63,20988893
2024-04-03,15.56,15.68,15.39,15.59,15800815
2024-04-04,15.82,16.27,15.35,15.52,62785647
2024-04-05,15.16,15.58,15.125,15.49,23338262
2024-04-08,15.41,15.76,15.26,15.64,17792661
2024-04-09,15.9,15.95,15.6,15.88,16402255
2024-04-10,15.8,16.17,15.73,16.16,22557183
2024-04-11,16.11,16.15,15.94,16,14406427
2024-04-12,16.08,16.12,15.55,15.72,24038476
2024-04-15,15.61,15.82,15.525,15.79,23600344
2024-04-16,15.46,15.71,15.335,15.65,16355779
2024-04-17,15.7,15.835,15.535,15.69,14199487
2024-04-18,15.91,16,15.535,15.58,13208773
2024-04-19,15.66,16.525,15.645,16.472,34326876
2024-04-22,16.48,16.95,16.415,16.94,29321615
2024-04-23,16.83,17.05,16.7,16.96,21971362
2024-04-24,16.96,17,16.72,16.81,19890428
2024-04-25,16.765,17.17,16.66,17.05,15895194
2024-04-26,16.85,17.15,16.82,17.05,20004626
2024-04-29,17.03,17.33,17,17.33,23234368
2024-04-30,17.05,17.205,16.855,16.97,19659233
2024-05-01,16.99,17.08,16.67,16.94,13543168
2024-05-02,17.27,17.44,17.1625,17.34,19639107
2024-05-03,16.86,16.86,16.3,16.43,26048446
2024-05-06,16.5,16.77,16.48,16.63,12963694
2024-05-07,16.66,17.04,16.66,17.01,18159617
2024-05-08,16.83,17.2,16.82,17.12,13419066
2024-05-09,16.85,17.285,16.82,17.22,15606243
2024-05-10,17.38,17.41,17.0603,17.08,11028970
2024-05-13,17.27,17.3684,17.03,17.04,10985653
2024-05-14,16.72,16.915,16.46,16.69,20396192
2024-05-15,15.28,15.705,15.04,15.56,69655968
