Date,Open,High,Low,Close,Volume
2024-03-25,553.77,556.26,549.695,550.53,393407
2024-03-26,550.8,554.88,549.01,549.16,425397
2024-03-27,552.45,558.64,548.915,558.05,517544
2024-03-28,556.34,557.31,553.1355,555.79,608035
2024-04-01,555.79,556,550.23,551.01,372658
2024-04-02,551.49,551.49,545.14,547.44,625526
2024-04-03,550,561.115,548.5,558.57,564512
2024-04-04,565.12,570.1499,551.745,555.65,610227
2024-04-05,554.23,566.98,553.48,566.67,484472
2024-04-08,566.73,568.78,562.96,565.93,449606
2024-04-09,568,568.88,547.99,561.35,488136
2024-04-10,553.32,560.64,547.96,555.37,538388
2024-04-11,553.2,558.15,550.58,555.79,391294
2024-04-12,550.08,554.32,546.3705,550.32,462892
2024-04-15,560.71,561.9,540.88,543.37,671312
2024-04-16,545,546.91,536.84,544.14,634754
2024-04-17,548.39,548.39,536.39,540.57,515366
2024-04-18,545,547.935,537.38,538.09,393024
2024-04-19,540.77,543.295,531.7754,535.13,557957
2024-04-22,537.79,546.65,534.36,539.72,533731
2024-04-23,545.46,552.86,543.22,550.4,375745
2024-04-24,552.38,556.87,539.22,546.35,664592
2024-04-25,540,552.04,534.63,549.38,522373
2024-04-26,550.01,554.62,549.15,553.64,548739
2024-04-29,553.64,555.98,550.85,554.44,535605
2024-04-30,552.83,558.95,544.52,544.91,625426
2024-05-01,542.36,552.19,540.475,542.96,903773
2024-05-02,525.2,535,515.82,530.68,1732926
2024-05-03,536.49,547.345,532.54,536.18,970079
2024-05-06,543.91,552.89,543,550.79,674698
2024-05-07,552.77,557.3499,549.03,550.18,475443
2024-05-08,548.4,557.5,548.2,554.91,315921
2024-05-09,554.08,562.45,552.98,560.69,434243
2024-05-10,565,568.81,559.81,561.13,489130
2024-05-13,561.21,562.99,550.67,551.03,548669
2024-05-14,550.66,551.795,545.12,549.4,646423
2024-05-15,552.6,556.835,552.16,553.27,670557
2024-05-16,551.53,551.53,537.655,539.49,1146267
2024-05-17,545.99,547.21,541.49,545.11,823330
2024-05-20,545.43,551.67,543.29,548,627596
2024-05-21,546.61,548.55,545.13,546.87,549194
2024-05-22,546.76,551.21,541.655,546.07,506369
2024-05-23,548.62,548.62,525.311,526.57,1117636
2024-05-24,527.88,530.84,522.73,529.83,644009
2024-05-28,535.65,537.07,524.67,526.54,738001
2024-05-29,524.09,526.2599,519.64,523.19,585257
2024-05-30,523.49,525.86,519.9,524.46,591700
2024-05-31,530.39,532.5,522,531.52,1250579
2024-06-03,534.1,534.1,506.18,513.08,1029577
2024-06-04,512.35,514.76,508.1301,512.45,932002
2024-06-05,515.89,523.306,513.54,523.2,645837
2024-06-06,522.27,524.85,513.3,515.22,594090
2024-06-07,513.48,520.73,512,516.14,702088
2024-06-10,517.66,526.08,516.64,526,948619
2024-06-11,523,524.51,519,523,540584
2024-06-12,529.11,539.35,528.24,532.96,740130
2024-06-13,530.05,530.05,523.01,528.9,667146
2024-06-14,513.25,517.34,493.23,503.3,1363822
2024-06-17,499.49,509.4,492.71,506.03,994484
2024-06-18,507.59,511.61,505.46,506.83,705637
2024-06-20,505.29,509.6949,501.55,507.99,635066
2024-06-21,508.9,508.92,499,504.16,886938
2024-06-24,507.54,515.3,504.1284,510.29,640787
2024-06-25,508.47,509.85,499.655,505.3,572688
2024-06-26,502.69,504.26,497.57,502.63,520485
2024-06-27,501.11,504.82,500.8454,504.22,595903
2024-06-28,505.86,513.54,503.03,505.81,2809368
2024-07-01,513.45,514.005,496.57,501.01,568550
2024-07-02,500,510.31,498.84,510.03,542208
2024-07-03,511.33,516.15,509.18,512.72,439124
2024-07-05,511.49,512.115,500.71,505.5,548772
2024-07-08,507.71,509.79,505.55,508.77,434374
2024-07-09,508.52,511.3,505.79,508.68,417002
2024-07-10,506.76,524.2,506.76,523.17,642864
2024-07-11,523.95,533.945,520.06,528.16,761903
2024-07-12,534.5,545.73,532.0001,537.9,800939
2024-07-15,540.2,548.755,536.97,544.74,704502
2024-07-16,549.05,568.9,546.76,568.68,1087654
2024-07-17,565.14,566.78,556.8,557.94,918731
2024-07-18,553.84,564.81,545.74,547.67,818125
2024-07-19,550.62,550.62,541.88,544.65,600474
2024-07-22,551.95,553.57,542.95,552.12,517277
2024-07-23,551.17,559.2969,550.315,551.66,789366
2024-07-24,546.77,549.255,528.98,529.26,1113807
2024-07-25,533.66,554.72,529.34,545.13,813265
2024-07-26,550.63,558.525,547.52,554.61,544023
2024-07-29,555,556.865,548.05,548.52,326727
2024-07-30,552.19,557.28,546.36,551.21,403620
2024-07-31,559.19,568.92,557.04,561.16,576321
2024-08-01,558.03,565.56,527.55,534.54,1047376
2024-08-02,524.21,531.43,507.67,518.51,700329
2024-08-05,504.74,514.47,493.63,506.31,913802
2024-08-06,510,526.07,505.79,518.02,638870
2024-08-07,520.24,531.5,510.38,512.5,1066714
2024-08-08,560.01,569.42,554.285,568.08,1418399
2024-08-09,571.11,576.5398,562.44,569.81,920574
2024-08-12,569.96,573.645,563.6,567.78,595861
2024-08-13,570,573.95,563.845,571.53,583616
2024-08-14,573.81,580.01,573.77,578.39,718391
2024-08-15,588,593.28,583.4,590.84,657762
2024-08-16,590.84,591.45,582.49,583.4,577741
2024-08-19,586,591.08,582.0547,586.5,518614
2024-08-20,585.84,589.6,578.41,582.29,603547
2024-08-21,585.5,589.4462,582.4237,585.94,942064
2024-08-22,588.2,593.15,582.88,587.3,384482
2024-08-23,591.7,594.1,586.38,593.82,492647
2024-08-26,595.24,597.33,587.36,591.25,431302
2024-08-27,588.12,593.92,584.7859,590.09,348686
2024-08-28,589.96,592.485,583.75,588.01,325857
2024-08-29,593.24,599.5299,588.91,591.22,413038
2024-08-30,592.83,601.305,588.69,600.2,622700
2024-09-03,592.87,595.555,571.99,575.35,737046
2024-09-04,575.71,581.58,572.2,576.95,469491
2024-09-05,574.73,576.83,568.455,575.2,515849
2024-09-06,577,584.44,570.68,571.31,755196
2024-09-09,579.15,584.485,576.87,580.2,559672
2024-09-10,584.03,585.6,576,581.1,438172
2024-09-11,580.67,586.53,570.7275,584.4,578755
2024-09-12,588,588.3,581.24,587.55,368863
2024-09-13,590.46,599.66,589.58,591.33,392147
2024-09-16,595.14,597.84,589.27,596.78,394341
2024-09-17,598,607.686,595.22,605.17,623230
2024-09-18,605.46,619.8599,604.21,609.03,559779
2024-09-19,622.4,627.3,616.17,626.05,644840
2024-09-20,619.78,626.84,618,623.77,1073839
2024-09-23,622.65,626,616.075,618.72,525770
2024-09-24,625.55,627.585,617.63,625.37,526509
2024-09-25,629.18,629.18,619.91,621.82,478312
2024-09-26,628.75,639.87,627.89,635.4,891217
2024-09-27,636.11,636.758,628.05,632.77,580276
2024-09-30,626.76,631.83,619.01,631.82,845789
2024-10-01,631.91,636.52,624.5433,630.14,375778
2024-10-02,630.44,634.36,625.09,627.5,519668
2024-10-03,626,628.49,621.15,626.31,381223
2024-10-04,635.89,635.89,622.66,630.68,291993
2024-10-07,627.52,633.2,625.28,629.71,369106
2024-10-08,631.4,631.4,625.31,627.34,330411
2024-10-09,628.66,633.655,626.3,632.79,344231
2024-10-10,630.42,632.74,626.59,631.52,320970
2024-10-11,632,640,632,637.15,485506
2024-10-14,637,645.899,636.405,643.53,527493
2024-10-15,643.63,646.6,637.66,638.02,632342
2024-10-16,637.89,642.59,636.82,637.48,462505
