Date,Open,High,Low,Close,Volume
2024-03-25,128.9,128.9447,127.11,127.13,2472691
2024-03-26,126.52,127.065,125.07,125.14,3567260
2024-03-27,126.92,129.09,126.84,128.86,3202226
2024-03-28,129.41,130.54,129.1,130.22,3676095
2024-04-01,130.22,130.77,127.445,127.92,1762975
2024-04-02,126.88,127.15,124.84,125.58,3187442
2024-04-03,125.07,126.66,124.62,126.09,3585007
2024-04-04,128.24,128.708,124.3244,124.69,4335834
2024-04-05,124.03,124.92,123.25,124.74,5099653
2024-04-08,125.22,126.29,124.74,126.17,2821583
2024-04-09,126.37,126.8,125.59,126.26,2965964
2024-04-10,121.79,122.08,119.12,120.62,4753185
2024-04-11,121.22,122.31,118.89,120.25,4098164
2024-04-12,119.99,120.47,118.5,119,3735258
2024-04-15,119.92,119.98,115.19,115.79,3993845
2024-04-16,115.63,115.92,113.97,114.74,5666402
2024-04-17,108.7,111.5,105.56,106.49,11034012
2024-04-18,105.96,106.285,103.6,104.69,6310394
2024-04-19,104.64,104.87,102.52,103.47,6930864
2024-04-22,103.8,104.565,102.545,104.08,3673089
2024-04-23,104.54,105.61,104.0692,104.83,4232302
2024-04-24,103.78,104.59,102.4,103.18,4819689
2024-04-25,102.01,104.0727,101.64,103.35,3798836
2024-04-26,103.43,104.63,102.76,104.06,4037744
2024-04-29,105.46,105.57,104.16,105.01,2872980
2024-04-30,102.51,104.01,102,102.05,5608029
2024-05-01,101.86,104.13,101.625,101.88,5526239
2024-05-02,103.81,104.57,101.11,104.53,5836385
2024-05-03,106.75,108.08,105.3979,105.89,3517673
2024-05-06,106.38,106.615,104.2,104.67,4259861
2024-05-07,106.48,107.99,105.48,107.76,4088211
2024-05-08,106.95,107.33,105.3,105.88,2947737
2024-05-09,106.5,108.36,106.04,108.15,4208775
2024-05-10,108.455,108.51,106.98,107.49,2872799
2024-05-13,108.32,109.01,107.205,107.68,3043080
2024-05-14,108.855,109.86,108.04,108.28,3727358
2024-05-15,110.6,111.48,109.37,109.99,4347618
2024-05-16,110.55,111.9,110.195,110.79,4232353
2024-05-17,111.13,111.54,110.22,111.5,3260724
2024-05-20,111.18,113.03,110.63,112.05,3941455
2024-05-21,111.53,111.72,109.75,110.6,2524966
2024-05-22,110.12,111.4,108.57,109.22,3158100
2024-05-23,109.19,109.4,105.4,105.64,4364563
2024-05-24,105.95,106.1299,104.52,104.75,3107976
2024-05-28,105.74,106.225,104.37,105,4857209
2024-05-29,103.68,105.08,103.09,105,2946050
2024-05-30,105.92,107.67,105.4,107.57,4325782
2024-05-31,107.75,110.66,107.56,110.49,14977808
2024-06-03,110.77,111,106.96,107.4,3262373
2024-06-04,106.5,109.8699,106.5,108.77,5538525
2024-06-05,109,109.44,107.52,108.74,2824710
2024-06-06,107.99,110.24,107.6,110.01,3144360
2024-06-07,108.05,110.275,107.8,110.2,4786890
2024-06-10,109.8,111.33,109.07,111.17,5780804
2024-06-11,110.915,112.37,110.08,111.58,7061094
2024-06-12,114.06,115.99,112.435,112.81,4650477
2024-06-13,113.24,113.44,111.45,112.38,3122201
2024-06-14,111.94,112.4375,110.42,112.29,3672418
2024-06-17,110.49,112.01,110.04,111.28,2696352
2024-06-18,111.28,112,109.98,110.05,4337157
2024-06-20,109.4,110.1769,108.803,109.16,4760707
2024-06-21,109.38,109.96,108.46,109.4,6715249
2024-06-24,109.45,113.15,109.31,111.63,2924225
2024-06-25,111.52,111.53,109.65,109.83,3043339
2024-06-26,108.96,111.305,108.6,110.41,3384957
2024-06-27,110.52,111.99,109.89,111.35,3174339
2024-06-28,111.92,112.74,110.36,112.31,5436382
2024-07-01,112,113.58,111.18,111.95,2405788
2024-07-02,112.65,113.56,111.05,113.21,2945456
2024-07-03,113.69,114.37,112.895,113.3,1339492
2024-07-05,113.68,114.94,113.085,114.46,2252408
2024-07-08,114.63,115.2,113.81,114.41,2185774
2024-07-09,114.77,115.08,112.82,114.45,2196109
2024-07-10,115.01,116.65,114.325,116.54,2998369
2024-07-11,118.48,120.855,118.07,120.41,4246270
2024-07-12,122,122.605,119.84,120.15,4003471
2024-07-15,120.085,121.35,119.1501,121.14,3264718
2024-07-16,122.025,122.17,120.9,121.49,4508572
2024-07-17,124.44,129.16,121.89,123.21,8941330
2024-07-18,122.5,127.32,122.08,122.62,4631926
2024-07-19,122.96,123.78,121.63,123.75,3485201
2024-07-22,124.65,127.25,123.545,126.66,6266120
2024-07-23,125.96,126.59,124.6,125.68,3708268
2024-07-24,125.41,126.95,122.845,123.08,4082518
2024-07-25,123.74,124.23,120.26,120.43,3402177
2024-07-26,121.18,123.27,120.3875,122.68,3374108
2024-07-29,122.89,124.43,121.38,123.95,2376510
2024-07-30,124.08,126.7,123.56,126.09,2663891
2024-07-31,126.1,128.54,125.25,126.05,3960127
2024-08-01,127.84,129.66,125.81,127.72,3871282
2024-08-02,127.15,128.45,122.42,123.98,5728468
2024-08-05,120,123.13,118.53,118.94,5157480
2024-08-06,118.96,122.32,118.08,121.05,4016224
2024-08-07,123.04,124.07,120,120.15,2967040
2024-08-08,120.6,122.52,119.73,121.99,2806552
2024-08-09,122.35,122.63,120.41,121.9,1901869
2024-08-12,120.68,120.89,118.75,119.99,2836854
2024-08-13,121.28,122.97,120.39,122.68,2719541
2024-08-14,122.77,124.34,122.25,123.42,2182252
2024-08-15,124.12,125.37,123.1819,124.77,2792312
2024-08-16,124.39,124.67,122.08,122.85,2899167
2024-08-19,123.14,124.91,122.875,124.7,1664858
2024-08-20,124.7,124.91,122.79,124.15,2108369
2024-08-21,124.26,125.17,123.335,124.47,2086448
2024-08-22,125.08,126.04,124.47,125.98,2770043
2024-08-23,126.71,129.37,126.185,128.86,2938701
2024-08-26,129.9,129.97,128.55,128.9,2278652
2024-08-27,128.19,129.26,128.19,128.94,2042750
2024-08-28,128.66,129.2,125.5,126.9,2500969
2024-08-29,126.9,126.99,124.64,125.33,2419865
2024-08-30,126.01,127.9696,125.11,127.82,3618100
2024-09-03,126.54,129.03,126.366,128.37,3526231
2024-09-04,128.61,130.48,127.22,128.27,3091466
2024-09-05,129.07,129.27,126.83,127.41,2402693
2024-09-06,127.5,128.22,126.05,127.23,2484242
2024-09-09,127.55,131.11,127.05,130.25,3599441
2024-09-10,131.18,132.57,130.45,132.4,3029827
2024-09-11,130.71,131.36,128.39,130.69,3890295
2024-09-12,131.1,131.66,128.36,130.29,5558070
2024-09-13,131.19,132.39,129.67,129.98,3689397
2024-09-16,129.83,130.16,128.24,129.28,3864315
2024-09-17,129.23,130.05,127.96,128.87,3171194
2024-09-18,128.82,129.315,126.68,127.02,3498603
2024-09-19,128.82,129.51,127.3,128.5,2604443
2024-09-20,127.69,127.93,125.24,125.47,8580953
2024-09-23,126.6,127.17,125.96,126.63,3386221
2024-09-24,126.41,127.5241,125.77,126.68,3979530
2024-09-25,126.73,127.22,124.78,125.39,3421749
2024-09-26,125.89,126.42,124.86,125.23,3235967
2024-09-27,125.99,127.3197,125.28,125.59,3775172
2024-09-30,124.78,126.43,124.56,126.28,3608385
2024-10-01,126.64,126.72,123.48,124.61,3401519
2024-10-02,122.56,124.25,121.95,124.18,3848941
2024-10-03,123.73,123.75,121.4977,122.04,3400637
2024-10-04,121.59,122.78,120.3601,122.42,2773995
2024-10-07,121.36,121.73,119.3111,120,3186533
2024-10-08,120.29,120.68,118.22,119.34,3035396
2024-10-09,118.19,119.47,117.9,118.84,3661744
2024-10-10,118.06,119.14,117.465,118.28,2767078
2024-10-11,118.78,120.42,118.145,120.24,2711999
2024-10-14,120.04,120.97,119.5,120.46,1978980
2024-10-15,120.74,123.05,120.74,121.39,5453625
2024-10-16,123.04,127.65,121.77,126.97,5565193
2024-10-17,126.04,126.92,122.7,122.7,5446792
2024-10-18,123.01,123.35,121.61,122.5,3690933
2024-10-21,120.72,121.46,117.57,117.77,3866160
2024-10-22,117.35,119.6,117.35,118.94,3374588
2024-10-23,118.93,121.11,118.9,120.83,4133260
2024-10-24,120.05,121.14,119.795,120.39,4332908
2024-10-25,119.8,120.33,117.44,117.54,3247349
2024-10-28,118.44,118.8,117.1,117.81,3648661
2024-10-29,117.78,118.14,115.31,115.31,3595926
2024-10-30,115.9,117.255,115.317,115.87,3780230
2024-10-31,115.17,115.675,112.86,112.94,5021280
2024-11-01,114.81,115.37,113.38,113.4,3941791
2024-11-04,114.035,115.09,113.12,113.86,2439949
2024-11-05,112.98,114.43,112.41,114.43,2370206
2024-11-06,115.71,115.71,111.4,113.74,5768134
2024-11-07,114.16,114.69,113.38,114.21,3035798
2024-11-08,114.5,116,113.94,115.83,3250928
2024-11-11,115.72,116.48,113.8,114.1,3547088
2024-11-12,114.1,115.115,112.47,112.75,2708257
2024-11-13,113.86,117.14,113.86,116.57,4772355
2024-11-14,116.4,116.7,114.27,114.75,4757159
2024-11-15,114.555,114.98,112.67,113.42,3889491
2024-11-18,112.7,114.69,112.41,114.65,2411412
2024-11-19,114.12,115.44,112.89,115.13,2950840
2024-11-20,114.715,114.715,113.6,114.54,2821839
2024-11-21,114.51,114.99,113.6,113.97,2626646
2024-11-22,114.16,115.94,113.96,115.8,2432985
2024-11-25,116.4,119.46,116.32,118.07,9970791
2024-11-26,117.495,118.07,115.515,116.17,3367172
2024-11-27,117.36,118.72,116.92,117.8,2655068
2024-11-29,117.79,118.62,116.66,116.78,3124312
2024-12-02,116.3,116.64,114.82,115.84,3386484
2024-12-03,116,117.1,115.59,116.4,4520322
2024-12-04,116.2,116.38,114.37,115.05,3761301
2024-12-05,114,114.39,112.89,113.79,2510271
2024-12-06,113.15,114.44,111.72,112,3650844
2024-12-09,112.99,115.45,112.5,115.42,4717444
2024-12-10,115.255,115.255,112.56,113.15,2908516
2024-12-11,113.245,114.0759,111.29,111.96,2804249
2024-12-12,111.855,113.33,111.3,111.65,2868471
2024-12-13,111.11,111.72,110.63,111.13,4741290
2024-12-16,110.335,111.315,108.52,108.87,5587066
2024-12-17,107.9282,109.811,107.9282,108.87,4687405
2024-12-18,108.6,109.12,103.84,103.91,5422777
2024-12-19,104.63,104.92,101.37,101.4,7787143
2024-12-20,101.64,104.81,100.82,103.32,11067206
2024-12-23,103,104.4178,102.56,104.14,4626320
2024-12-24,103.52,104.8,103.44,104.7,1883658
2024-12-26,104.34,107.47,103.57,106.89,4799034
2024-12-27,106.34,107.23,104.8137,105.24,3655299
2024-12-30,104.315,105.47,103.63,105.1,4038546
2024-12-31,106,106.41,104.79,105.7,4602661
2025-01-02,106.41,106.565,103.775,104.26,4180083
2025-01-03,105,105.925,103.64,105.63,3558791
2025-01-06,106.5,108.8391,105.75,106.66,4450283
2025-01-07,107.37,108.29,106.07,106.58,4958873
2025-01-08,106.62,106.625,104.91,105.5,3571520
2025-01-10,104,105,103.5,103.59,4230874
2025-01-13,103.59,105.46,103.225,105.37,5774741
2025-01-14,105.685,108.58,105.37,108.12,4444445
2025-01-15,111.305,112,107.74,107.85,4571140
2025-01-16,107.955,111.06,107.77,110.93,5499890
2025-01-17,111.2,111.605,109.42,109.48,5270766
2025-01-21,110.255,117.89,110.17,117.27,8040357
2025-01-22,116.26,117.475,114.52,115.13,5429457
2025-01-23,115.14,118.58,114.5,118.54,4788661
2025-01-24,117.91,120.07,117.21,118.93,4166063
2025-01-27,117.99,122.09,117.99,121.25,5253579
2025-01-28,121.25,121.56,119.81,120.21,3494633
2025-01-29,120.5,121.01,118.46,119.17,2758344
2025-01-30,120.49,122.25,119.38,120.65,2844084
2025-01-31,118.73,120.685,118.45,119.25,3753760
2025-02-03,116.025,118.51,114.46,117.84,3704128
2025-02-04,116.57,118.8099,116.18,118.31,2273404
2025-02-05,119.035,119.44,117.49,118.78,2798008
2025-02-06,118.995,119.23,116.84,118.54,3476416
2025-02-07,118.845,119.23,117,117.35,2873210
2025-02-10,118.38,119.59,117.63,119.47,2768987
2025-02-11,119.5,122.17,119,121.77,3673616
2025-02-12,118.62,120.65,118.62,119.77,3374728
2025-02-13,119.86,121.46,118.81,120.9,2443795
2025-02-14,121.51,122.61,120.65,120.85,2101458
2025-02-18,120.76,121.8246,120.25,121.31,2151230
2025-02-19,120.585,122.16,120.05,121.63,5276436
2025-02-20,121.01,121.63,120.18,120.9,2484743
2025-02-21,121.29,121.4506,119.63,120.97,3152031
2025-02-24,121.12,122.08,119.975,120.73,2708493
2025-02-25,121.11,123.07,120.95,122.61,3732747
2025-02-26,123,123.43,121.77,122.16,2324915
2025-02-27,121.5,124,121.5,122.77,2293358
2025-02-28,122.53,124.25,121.91,123.92,5562250
2025-03-03,123.96,124.99,122.74,123.54,3184096
2025-03-04,123.13,124.135,121.58,121.78,3242369
2025-03-05,120.97,124.67,120.52,124.04,4300737
2025-03-06,123.07,123.48,119.7253,120.3,4080290
2025-03-07,120.36,121.44,118.045,119.91,4004284
