Date,Open,High,Low,Close,Volume
2024-03-25,90.84,91.51,90.8,91.15,8673302
2024-03-26,91.35,91.46,90.3,90.38,7869975
2024-03-27,90.79,92.28,90.69,92.23,8796792
2024-03-28,92.53,92.7,91.55,91.62,5311911
2024-04-01,91.4,92.45,91.23,91.44,6476723
2024-04-02,91.43,92.29,91.4,91.82,4861641
2024-04-03,91.84,92.05,90.94,91,4823865
2024-04-04,91.59,91.59,90.005,90.1,5469111
2024-04-05,90.04,90.21,88.96,89.48,5119703
2024-04-08,89.83,90.42,89.5778,90.32,5302183
2024-04-09,90.5,91.215,90.41,91.07,5068339
2024-04-10,89.73,90.03,88.66,89.72,9601805
2024-04-11,89.9,89.91,88.865,89.43,5931980
2024-04-12,89.12,89.54,88.66,88.85,5517312
2024-04-15,89.27,89.6,87.82,88.6,7773987
2024-04-16,88.6,89.65,88.429,89.5,4617555
2024-04-17,89.89,90.63,89.3,90.58,4767021
2024-04-18,90.79,91.23,90.65,91.2,4041675
2024-04-19,91.54,94.025,91.38,93.81,8707564
2024-04-22,93.51,94.28,92.94,94.06,8656338
2024-04-23,94.39,97.71,93.84,97.66,13105528
2024-04-24,96.8,99.1,95.64,99.02,13572414
2024-04-25,99.5,99.9,95.945,96.09,7417723
2024-04-26,95.8,96.62,94.941,95.02,5391012
2024-04-29,95.05,95.74,95.03,95.6,3510851
2024-04-30,95.62,95.86,94.42,94.94,6589225
2024-05-01,94.64,97.23,94.6304,96.05,6462570
2024-05-02,96.38,97.99,95.88,97.31,5607868
2024-05-03,97.47,98.03,96.33,97.4,5611928
2024-05-06,97.76,97.9,96.65,97.45,4517746
2024-05-07,98,98.41,97.36,97.53,3960351
2024-05-08,97.55,98.51,97.18,98.25,5784348
2024-05-09,98.43,99.48,98.19,99.46,3840359
2024-05-10,99.6,99.99,99.34,99.66,4149342
2024-05-13,99.98,100.23,99.025,99.29,3853790
2024-05-14,99.5,100.1399,99.41,99.84,3292760
2024-05-15,100,100.64,99.84,100.57,3230563
2024-05-16,100.71,101.46,100.52,100.66,4417444
2024-05-17,100.94,100.94,99.8,99.83,5307800
2024-05-20,99.87,100.47,99.422,99.59,5340322
2024-05-21,99.9,100.81,99.34,100.23,6199576
2024-05-22,99.53,101.18,99.21,101.07,4407813
2024-05-23,100.61,100.61,99.205,99.65,4573188
2024-05-24,100.24,100.79,99.59,99.93,4053913
2024-05-28,99.34,100.13,99.0475,100.05,3560149
2024-05-29,99.85,99.99,99.21,99.6,4465027
2024-05-30,99.69,99.8,98.96,99.41,3875991
2024-05-31,99.28,101.52,99.28,101.38,7528798
2024-06-03,101.24,103.18,100.62,102.96,6332707
2024-06-04,102.91,104.11,102.56,103.79,5080937
2024-06-05,103.95,104.235,102.98,104.07,5266737
2024-06-06,104,104.9,103.53,104.24,4847607
2024-06-07,103.92,104.35,103.56,103.61,2506958
2024-06-10,103.55,103.88,102.6,103.68,3821639
2024-06-11,103.48,103.96,102.58,103.82,3751330
2024-06-12,104.25,104.31,102.24,102.65,4083643
2024-06-13,102.67,102.67,101.58,101.98,4264375
2024-06-14,101.95,102.325,101.51,102.2,5643631
2024-06-17,101.68,102.2,101.23,102.05,4838144
2024-06-18,99.33,101.87,99.3067,101.24,5990946
2024-06-20,101.46,101.735,100.6,101.2,4646060
2024-06-21,99.89,100.5,98.93,99.92,10033099
2024-06-24,100.19,102.055,99.86,101.87,6487138
2024-06-25,102,102.16,101.35,102.04,7268321
2024-06-26,101.47,102.26,101.45,101.96,4321716
2024-06-27,102.2,102.29,101.09,101.57,4145656
2024-06-28,101.53,101.76,100.92,101.33,7299472
2024-07-01,101.98,103.29,101.175,101.25,2906375
2024-07-02,101.29,101.94,101.11,101.64,3893055
2024-07-03,101.78,101.93,101.11,101.42,1647837
2024-07-05,101.15,102.35,100.8,102.12,3569063
2024-07-08,102.07,102.95,101.85,102.59,6081328
2024-07-09,102.72,102.9,101.62,101.67,4460097
2024-07-10,101.76,102.92,101.68,102.76,3089512
2024-07-11,102.76,105,102.75,105,3952547
2024-07-12,105.18,106.6299,105,105.95,3541781
2024-07-15,106,106.13,104.92,105.07,3607006
2024-07-16,105.23,106.14,104.84,106.1,2731570
2024-07-17,106.35,108.81,106.35,108.31,5411106
2024-07-18,107.26,109.18,107.184,107.46,4510489
2024-07-19,108.19,108.575,106.97,107.12,4819336
2024-07-22,107.63,107.72,106.76,107.22,5601159
2024-07-23,109.25,111.36,108,109.56,7560262
2024-07-24,109.93,111.69,109.37,111.44,7366125
2024-07-25,111.83,113.68,111.41,113.2,6976925
2024-07-26,113.2,113.5,112.56,113.36,5381717
2024-07-29,113.32,114.473,112.43,114.4,4835028
2024-07-30,114.09,114.83,113.62,114.7,5122843
2024-07-31,114.2,116.27,113.99,115.16,5519642
2024-08-01,115.78,117.83,114.91,117.46,7088736
2024-08-02,118.09,119.06,115.16,117.82,7405946
2024-08-05,116.92,117.96,113.15,113.56,10890810
2024-08-06,113.56,115.415,113.2,114.2,6275497
2024-08-07,114.4,116.425,114.2,115.74,3645019
2024-08-08,115.17,116.87,114.94,116.29,3548525
2024-08-09,116.29,116.58,115.62,116.01,3814669
2024-08-12,116.1,116.77,115.72,116.09,4860454
2024-08-13,116.13,118.07,115.87,117.91,5328216
2024-08-14,117.32,118.08,117.09,117.2,4067977
2024-08-15,117.19,117.95,116.61,117.89,4422255
2024-08-16,118.11,118.4,117.23,118.06,3707409
2024-08-19,118.14,118.84,117.95,118.45,3701451
2024-08-20,118.46,119.1,118.09,118.98,3837898
2024-08-21,119.17,120.09,118.96,120,4159668
2024-08-22,120.01,120.21,119.1,120.1,4156337
2024-08-23,120.1,120.27,119.57,120.15,2896459
2024-08-26,120.03,121.6,120.03,121.25,3061832
2024-08-27,121.76,122.545,121.29,122.41,3511787
2024-08-28,122.65,123.05,121.95,122.57,4430029
2024-08-29,122.86,122.86,121.76,122.55,3619544
2024-08-30,122.73,123.45,122.32,123.29,5602949
2024-09-03,123.57,126.185,123.21,125.71,6352596
2024-09-04,126,127.41,125.29,126.61,5340838
2024-09-05,126.88,127.45,125.03,125.18,5638231
2024-09-06,125.06,126.445,125,125.81,8412610
2024-09-09,125.72,128.22,125.72,127.45,4497526
2024-09-10,127.36,127.91,125.63,126.75,4922075
2024-09-11,126.5,126.5,124.22,125.26,4506307
2024-09-12,125,125.5,123.3,124.65,6055795
2024-09-13,124.92,125.87,124.46,125.62,3779628
2024-09-16,126.15,126.99,125.34,125.97,5549552
2024-09-17,124.8,125.08,122.07,123.23,6344954
2024-09-18,122.91,123,120.39,120.96,9398566
2024-09-19,120.6,120.755,119.4,119.74,7688559
2024-09-20,119.5,120.85,119.16,120.79,18374398
2024-09-23,120.93,121.6,120.42,121.09,4638986
2024-09-24,120.42,121.57,120.13,121.21,4056879
2024-09-25,121.9,122.76,121.04,121.69,6473964
2024-09-26,120.2,121.4325,119.695,120.85,6350876
2024-09-27,121.12,121.49,120.56,120.62,6046633
2024-09-30,121.25,121.77,120.55,121.4,6948421
2024-10-01,121.5,121.96,120.33,120.59,5466105
2024-10-02,120.3,120.37,119.27,119.6,3425069
2024-10-03,119.27,119.6,117.8,118.38,4523227
2024-10-04,117.74,119.11,117.53,119.1,4124746
2024-10-07,118.91,118.96,118.28,118.91,5110318
2024-10-08,119.24,119.58,118.25,118.8,3522076
2024-10-09,118.81,120.285,118.71,120.18,3212432
2024-10-10,120.62,121.58,119.125,119.39,3606720
2024-10-11,119.65,120.17,119.03,120.1,2630090
2024-10-14,120.01,120.39,119.58,120.08,3719421
2024-10-15,120.28,121.32,120.03,120.42,5496927
2024-10-16,120.13,120.99,119.81,120.89,2794279
2024-10-17,120.9,121.06,119.825,120.14,2929199
2024-10-18,120.06,120.76,119.25,120.21,4046070
2024-10-21,120.19,120.44,118.52,118.96,5595527
2024-10-22,123.32,131.97,123.22,131.41,14411776
2024-10-23,129.98,131.41,129.0301,131.41,6993514
2024-10-24,131.89,132.905,131.34,132.8,5378860
2024-10-25,133.015,133.27,129.57,129.86,3888565
2024-10-28,129.625,130.54,128.74,130.5,5526043
2024-10-29,130.3,132.13,130.12,131.57,5500599
2024-10-30,131.57,132.3,131,132.11,4385847
2024-10-31,132.25,134.15,131.87,132.7,5666642
2024-11-01,132.66,133.27,130.33,130.65,5833198
