Date,Open,High,Low,Close,Volume
2024-03-25,156.16,157.18,154.49,155.04,1136647
2024-03-26,155.14,156.37,154.74,155.03,1179228
2024-03-27,155.97,160.1,155.51,159.97,1712915
2024-03-28,159.98,162.24,159.88,161.6,1725504
2024-04-01,161.4,161.54,159.67,159.94,1396973
2024-04-02,159,159.37,157.46,157.54,1509187
2024-04-03,157.63,159.5275,156.29,157.14,1388699
2024-04-04,158.92,159.295,156.12,156.88,1548155
2024-04-05,156.75,157.71,155.82,157.37,1874032
2024-04-08,158.19,161.475,157.57,160.96,1950044
2024-04-09,161.26,162.14,159.35,161.4,1306833
2024-04-10,158.9,158.9,154.13,155.03,1827236
2024-04-11,155.43,155.43,151.8101,154.08,1361753
2024-04-12,150.17,152,149.69,150.63,1487412
2024-04-15,152.36,154.4199,149.31,149.56,2160034
2024-04-16,147.18,148,143.5184,146.54,3350292
2024-04-17,149.06,149.46,145.78,147.25,1897146
2024-04-18,147.36,149.12,146.89,147.89,1352896
2024-04-19,148.99,152.7,148.66,152.3,2368881
2024-04-22,152.76,156.07,152.24,155.93,2212315
2024-04-23,156.5,158.36,155.861,157.61,2137057
2024-04-24,156.17,158.33,155.8,158.06,1320921
2024-04-25,157.37,158,154.445,156.3,1220285
2024-04-26,156.07,157.67,155.357,156.11,979208
2024-04-29,156.13,157.15,155.48,155.78,1400872
2024-04-30,154.75,155.52,152.94,153.26,1632909
2024-05-01,153.24,156.72,152.895,153.98,1436631
2024-05-02,155.81,156.09,153.93,155.68,1172875
2024-05-03,157.36,158.25,156.12,156.22,1141551
2024-05-06,158,158.2,156,156.43,1189237
2024-05-07,157.04,157.37,155.595,156.15,1092292
2024-05-08,155.29,157.9,155.05,157.21,1254443
2024-05-09,155.9,157.76,155.36,157.12,1558822
2024-05-10,157.84,158.525,157.23,157.58,984955
2024-05-13,158.51,158.8,157.63,158.05,1359457
2024-05-14,159,159.81,158.21,159.4,1127862
2024-05-15,160.91,161.88,160.22,161.34,1313252
2024-05-16,161.32,161.485,160.041,160.89,1521944
2024-05-17,162.07,162.07,160.28,160.35,1075124
2024-05-20,160.32,160.6288,156.91,157.14,1428101
2024-05-21,157.29,158.66,157,158.55,1167970
2024-05-22,157.61,158.55,155.77,156.5,1141369
2024-05-23,156.41,156.49,152.66,152.77,1704495
2024-05-24,153.29,154.31,152.53,154.26,1486425
2024-05-28,154.33,154.73,152.27,152.34,1224159
2024-05-29,150.11,152.3,149.13,151.16,1832958
2024-05-30,152.51,154.79,151.64,153.92,2865664
2024-05-31,154.3,157.62,153.665,157.39,2894495
2024-06-03,158,158.35,153.29,155.01,1450738
2024-06-04,153.33,155.385,153.0384,154.16,2098871
2024-06-05,154.9,155.22,153.5,154.6,1219240
2024-06-06,154.56,155.79,154.2,154.97,1290781
2024-06-07,153.75,156.695,153.75,155.88,698758
2024-06-10,154.15,154.5,150.98,152.69,1783385
2024-06-11,151.4,151.4,148.08,150.25,2732300
2024-06-12,153.14,154.29,152.02,152.64,1669631
2024-06-13,152.33,152.66,150.37,151.75,918325
2024-06-14,150.07,151.4587,149.05,151.09,887888
2024-06-17,150.67,152.87,150.02,152.78,974065
2024-06-18,152.59,154.88,152,154.48,1420216
2024-06-20,153.01,153.955,152.37,153.18,1300128
2024-06-21,153.19,153.36,151.13,153.2,2598345
2024-06-24,154.05,156.845,152.945,154.9,1445466
2024-06-25,154.22,155.44,151.84,151.9,1420482
2024-06-26,150.98,152.5899,150.28,151.81,1842288
2024-06-27,151.13,152.39,150.6,151.93,1008781
2024-06-28,153.08,155.85,152.84,155.48,2706290
2024-07-01,155.94,157.72,155.46,156.14,1583461
2024-07-02,155.52,158.9,155.45,158.84,1326021
2024-07-03,159.12,159.12,157.57,157.79,914084
2024-07-05,158.1,158.31,155.9,156.51,975132
2024-07-08,158.87,159.94,157.565,158.77,1261470
2024-07-09,158.04,162.07,157.72,161.51,1879130
2024-07-10,161.25,164.46,161.185,164.3,2218936
2024-07-11,165.81,169.11,165.36,168.3,3299033
2024-07-12,167.5,169.68,167.17,168.56,2435860
2024-07-15,168.75,170.91,167.75,169.02,2719193
2024-07-16,168.75,177.83,168.75,176.98,5412704
2024-07-17,177.4,180.86,176.555,179.71,2562473
2024-07-18,178.46,180.97,174.98,176.07,2183854
2024-07-19,176.67,177.93,174.2,175.51,1601122
2024-07-22,175.19,177.23,173.01,177.15,1995217
2024-07-23,176.51,179.6,175.71,178.62,1401218
2024-07-24,179.49,180.65,176.46,177.4,2710404
2024-07-25,178.21,182.505,177.545,180,1843334
2024-07-26,180.48,182.42,180.05,181.21,1824138
2024-07-29,181.36,181.831,180.2,181,1782422
2024-07-30,182,182.84,180.8,181.98,1639885
2024-07-31,181.5,182.7924,180.3701,181.1,1863386
2024-08-01,181.33,181.86,175.28,175.99,2237926
2024-08-02,173.82,173.82,169.09,170,2917005
2024-08-05,166.14,166.81,162.15,165.82,3319115
2024-08-06,165.94,170.14,165.15,169.09,2114859
2024-08-07,171.7,172.73,166.63,166.75,1729130
2024-08-08,168.39,170.59,168.3219,170.28,1497312
2024-08-09,170.11,170.52,169.4,169.92,710475
2024-08-12,170.63,171.94,166.8,167.02,1772269
2024-08-13,168.37,168.37,166.4201,168.21,1567034
2024-08-14,168.31,169.2,167,168.37,1764379
2024-08-15,171.9,173.13,171.25,171.82,1838125
2024-08-16,171.8,174,171.8,173,1365469
2024-08-19,173.47,174.81,173.145,174.5,971523
2024-08-20,173.69,174.45,173.14,173.59,1323813
2024-08-21,174.1,174.35,172.19,173.37,1082923
2024-08-22,173.56,175.73,173.21,174.92,1531431
2024-08-23,176.15,180.19,175.75,178.1,1753016
2024-08-26,179.29,179.96,177.7,178.11,1009659
2024-08-27,178.02,179.27,177.355,179.15,1335678
2024-08-28,178.58,183.26,178.58,181.78,1577731
2024-08-29,182.71,184.56,180.12,183.04,1034043
2024-08-30,183.17,185.57,183.17,185.09,1978286
2024-09-03,184.19,185.84,183.45,184.5,1572343
2024-09-04,184.5,185.23,181.08,182.36,1621558
2024-09-05,183.8,184.27,179.72,180.95,1230953
2024-09-06,180.71,182.11,175.565,176.7,1679479
2024-09-09,178.48,183.365,177.57,182.61,2900717
2024-09-10,183.35,183.57,175.95,178.78,2628519
2024-09-11,176.97,177.5,172.89,177.12,1886290
2024-09-12,177.52,178.61,175.19,177.6,1939081
2024-09-13,178.1,180,176.23,177.24,1745198
2024-09-16,178.23,181.02,178.23,180.92,1187640
2024-09-17,181.52,182.88,180.73,181.49,2024652
2024-09-18,181.85,185.5,180.65,182.57,1458128
2024-09-19,185.09,187.78,183.82,187.2,2140267
2024-09-20,185.93,187.16,185.5521,186.36,2651660
2024-09-23,186.6,187.77,184.85,185.09,1545477
2024-09-24,185.88,186.325,183.33,184.62,1404208
2024-09-25,184.47,184.47,181.39,181.77,1209774
2024-09-26,183.73,184.3099,182.0902,183.32,1445546
2024-09-27,183.74,184.715,182.34,183.07,925650
2024-09-30,183.16,185.32,181.67,184.85,1493442
2024-10-01,183.49,183.71,178.3879,179.89,1664915
2024-10-02,179.55,182.07,178.75,179.4,1393969
2024-10-03,178.37,179.45,176.925,178.39,1706128
2024-10-04,181.35,182.9,179.94,182.26,1103791
2024-10-07,181.98,183.249,180.42,182.23,1427644
2024-10-08,183.14,183.4,180.44,180.86,1449473
2024-10-09,180.77,184.04,180.5,183.27,1085335
2024-10-10,182.68,184.425,182.23,183.37,1453912
2024-10-11,185,189.17,184.705,187.77,1386809
2024-10-14,187.26,189.69,186.125,188.52,2205755
2024-10-15,190.5,196.64,189.6841,192.34,2972480
2024-10-16,192.76,193.85,189.62,189.93,2920392
2024-10-17,190.96,192.929,188.74,188.8,2842933
2024-10-18,190.57,191.49,188.01,189.38,1852617
2024-10-21,188.49,189.805,185.34,185.64,1681152
2024-10-22,185.8,186.81,183.86,186.28,1870925
2024-10-23,185.85,188.53,185.8,188.21,2014666
2024-10-24,188.93,189.69,186.96,188.94,1223001
2024-10-25,190.27,190.64,185.63,185.82,1319036
2024-10-28,187.5,190.12,186.272,189.83,1189180
2024-10-29,189.5,189.9999,187.415,187.85,1005986
2024-10-30,187.26,191.87,186.77,190.22,1634894
2024-10-31,189.93,191.84,188.18,188.27,1802504
2024-11-01,189.5,191.37,187,187.15,1971479
2024-11-04,187.26,188.3,185.54,185.95,1429462
2024-11-05,186.21,188.86,185.7,188.8,1524103
2024-11-06,200.09,205.06,198.45,204.97,3940724
2024-11-07,202.88,203.835,200.88,203.21,3634289
2024-11-08,203.8,205.2,201.66,203.97,1888935
2024-11-11,206.52,210.43,206.28,209.71,2578705
2024-11-12,210,211.4,208.81,211.04,2207154
2024-11-13,211.95,214.19,208.69,209.3,1653217
2024-11-14,209.86,210.4,207.17,207.96,1482863
2024-11-15,207.8,210.04,206.4,207.68,2511633
2024-11-18,207.53,208.41,206.41,206.83,1652501
2024-11-19,205.005,206.8999,204.36,204.86,1841920
2024-11-20,205.275,205.62,203.4663,203.95,1606178
2024-11-21,205.31,207.905,203.95,205.75,3183070
2024-11-22,205.72,210.71,205.72,210.07,1675397
