Date,Open,High,Low,Close,Volume
2024-03-25,255.5,256.51,253.15,255.54,693136
2024-03-26,257.04,260.6,256.01,259.18,1093193
2024-03-27,261.94,262.01,258.395,259.75,626475
2024-03-28,259.69,261.34,259.06,259.8,745698
2024-04-01,259.86,260.37,257.03,259.26,810032
2024-04-02,256.93,256.93,252.69,256.1,917031
2024-04-03,255.28,263.11,255.28,262.29,862279
2024-04-04,264.95,265.82,256.88,258.29,969143
2024-04-05,259.49,265,259.49,263.2,652214
2024-04-08,263.95,264.39,260.73,262.26,534701
2024-04-09,263.19,263.52,253.645,256.4,1026894
2024-04-10,250.65,257.04,249.31,254.3,749914
2024-04-11,254.19,258.2307,251.95,258,617560
2024-04-12,255.99,257.87,252.94,254.69,632500
2024-04-15,258.71,259.71,248.27,248.89,794727
2024-04-16,247.75,250.08,245.3,248.69,756348
2024-04-17,249.07,250.255,243.015,245.96,911892
2024-04-18,246.92,251.61,244.47,245.68,1114463
2024-04-19,246.66,248.2067,242.61,243.35,1134676
2024-04-22,246.03,248.49,243.6,245.56,739984
2024-04-23,248.12,252.535,246.3001,251.95,816974
2024-04-24,253.85,259.41,251.625,253.18,1027751
2024-04-25,251.28,256.26,247.74,255.19,604248
2024-04-26,256.33,262.91,255.2,261.66,1180022
2024-04-29,263.97,265.71,261.33,262.34,884687
2024-04-30,260.9,264.89,257.635,258.56,1066683
2024-05-01,258,260.74,252.91,256.01,1184277
2024-05-02,245,257.81,245,255,1442824
2024-05-03,257.46,257.8658,251.29,256.33,970817
2024-05-06,259.86,270.4199,259.4717,269.5,1382064
2024-05-07,270.62,271.965,266.81,266.88,1116727
2024-05-08,265.84,266.99,263.88,264.98,977864
2024-05-09,266.43,271.91,264.99,270.17,1013320
2024-05-10,272.54,272.87,267.805,271.48,949873
2024-05-13,272,273,265.15,265.43,743476
2024-05-14,266.18,268.12,260.15,263.36,1041883
2024-05-15,265.51,271.54,265.5,270.79,803195
2024-05-16,269.72,271.16,263.74,263.82,701969
2024-05-17,266.84,266.84,262.73,264.4,795648
2024-05-20,264.4,268.57,264.4,267.66,657249
2024-05-21,266.28,272.68,266.28,272.05,751227
2024-05-22,272.96,274.13,268.45,271.1,588444
2024-05-23,275.79,281.08,273.118,276.55,2084216
2024-05-24,278,285.97,278,283.43,1165810
2024-05-28,286.87,286.87,278.74,279.64,1251315
2024-05-29,276.25,281.8,276.25,277.97,877550
