Date,Open,High,Low,Close,Volume
2024-03-25,63.78,64.179,63.37,63.41,2368151
2024-03-26,63.03,63.07,62.15,62.17,2938202
2024-03-27,62.42,63.49,62.37,63.46,2217128
2024-03-28,63.53,63.9,63.225,63.74,3254646
2024-04-01,64.33,64.68,64.08,64.18,2363575
2024-04-02,65,65.34,64.61,65.09,3300435
2024-04-03,64.46,64.8,63.72,64.6,5273669
2024-04-04,65.26,65.26,63.29,63.3,3151945
2024-04-05,62.92,63.11,62.615,63,3896851
2024-04-08,65.15,66.23,65.15,66.08,4714143
2024-04-09,67.38,67.71,66.6291,67.26,3709706
2024-04-10,65.72,66.54,65.4892,66.51,3062651
2024-04-11,66.51,66.545,65.4,66.27,2101933
2024-04-12,67.5,68.05,65.99,65.99,4339891
2024-04-15,67.9,68.05,66.535,66.77,3848447
2024-04-16,65.37,65.86,64.85,65.69,3176963
2024-04-17,67.55,68.01,66.5601,66.78,3839522
2024-04-18,67.54,67.62,66.27,66.68,3823540
2024-04-19,66.54,67.22,66.44,66.999,2773892
2024-04-22,66.97,67.45,66.47,67.2,3867206
2024-04-23,65.87,66.795,65.66,66.64,2522653
2024-04-24,68.35,68.35,67.42,68.14,3406791
2024-04-25,67.19,68.12,66.71,67.78,2964653
2024-04-26,68.86,68.86,67.895,68.24,3019687
2024-04-29,68.6,69.02,68.39,69.01,2466253
2024-04-30,68.7,68.8,67.77,67.83,3281797
2024-05-01,67.9,68.35,67.27,67.5,2330493
2024-05-02,67.91,68.38,67.55,68.28,2263071
2024-05-03,68.99,69.12,68.42,68.94,3193760
2024-05-06,69.5,69.93,69.17,69.82,1835867
2024-05-07,70,70.355,69.95,70.04,2081206
2024-05-08,68.85,69.21,68.705,69.02,1817470
2024-05-09,69.62,70.135,69.52,70,2213961
2024-05-10,70.5,70.565,69.77,69.8,2140013
2024-05-13,69.75,70.12,69.75,69.84,1725435
2024-05-14,70,70.08,69.53,69.69,2925736
2024-05-15,70.45,70.45,68.99,70.33,2576832
2024-05-16,71.08,72,70.81,71.91,4283150
2024-05-17,72.99,73.645,72.785,73.61,3545405
2024-05-20,73.32,73.59,73.025,73.39,3373862
2024-05-21,73.56,74.24,73.41,73.48,4017779
2024-05-22,72.94,73.07,71.82,72.22,3413771
2024-05-23,72.59,72.66,71.155,71.42,2580135
2024-05-24,72.15,72.3,71.71,71.85,1769346
2024-05-28,71.96,72.005,70.69,70.86,2478198
2024-05-29,69.91,69.97,69.41,69.53,2372017
2024-05-30,69.24,69.92,69.19,69.74,2410060
2024-05-31,70.1,70.25,69.31,70.1,1764412
2024-06-03,69.55,69.6,68.675,69.42,2100906
2024-06-04,68.26,68.4,67.87,68.31,2611751
2024-06-05,68.125,68.44,67.73,68.08,2125587
2024-06-06,68.24,69.27,68.07,69.2,1377077
2024-06-07,68.42,68.45,67.82,68,1775432
2024-06-10,67.835,68.46,67.67,68.25,1210893
2024-06-11,66.48,67.2,66.23,67.18,1962657
2024-06-12,68.16,68.27,66.91,67.08,2226373
2024-06-13,66.91,67.09,66.645,66.92,1818647
2024-06-14,66,66.65,65.845,66.51,1633293
2024-06-17,65.53,66.15,65.38,65.99,1797419
2024-06-18,65.81,66.495,65.77,66.26,1984403
2024-06-20,66.74,67.05,66.46,66.92,1823581
2024-06-21,66.03,66.44,66.01,66.4,1805813
2024-06-24,66.53,67.04,66.21,66.45,1681432
2024-06-25,66.65,66.84,66.33,66.52,1543989
2024-06-26,66.84,66.95,66.505,66.8,1368663
2024-06-27,66,66.16,65.5,65.82,2081348
2024-06-28,66.17,66.39,65.755,65.93,1756282
2024-07-01,66.39,66.92,66.1175,66.41,1988895
2024-07-02,65.46,66.02,65.3,66.01,1717960
2024-07-03,67.7,68.43,67.67,67.9,2029388
2024-07-05,67.75,67.86,67.05,67.64,1950929
2024-07-08,67.17,67.38,66.74,67.17,1911023
2024-07-09,66.95,67.2683,66.73,66.98,1784122
2024-07-10,66.9,67.59,66.77,67.49,1995298
2024-07-11,68.31,68.32,67.78,68.08,1673275
2024-07-12,68.25,68.87,68.22,68.52,1617379
2024-07-15,67.66,68.14,67.3429,67.55,1936721
2024-07-16,65.01,66.35,64.66,66.32,4562343
2024-07-17,66.56,66.82,65.76,65.77,3407271
2024-07-18,65.83,65.87,64.2,64.37,3453720
2024-07-19,63.69,63.99,63.41,63.78,2312432
2024-07-22,63.835,64.1526,63.71,63.99,2678717
2024-07-23,63,63.6091,62.87,63.53,2702497
2024-07-24,64.01,64.155,63.46,63.49,3065978
2024-07-25,64.09,64.78,63.52,64.33,2484252
2024-07-26,65.13,65.45,64.615,65.06,2229465
2024-07-29,64.51,64.84,64.37,64.7,2285290
2024-07-30,63.52,63.8199,63.275,63.53,3318005
2024-07-31,65.15,65.58,64.385,65.16,3822851
2024-08-01,64.82,65.22,63.31,63.49,3489316
2024-08-02,64.07,64.14,63.08,63.67,3892186
2024-08-05,62.35,63.34,62.105,62.97,4053673
2024-08-06,62.11,63.45,61.97,63.06,4396186
