Date,Open,High,Low,Close,Volume
2024-03-25,95.71,96.24,95.265,95.63,5229440
2024-03-26,95.63,96.545,95.5786,96.06,5474493
2024-03-27,96.43,97.5,96.3322,97.45,7267849
2024-03-28,97.69,98.08,97.47,97.53,10700981
2024-04-01,97.46,98.165,97.14,97.76,9504452
2024-04-02,97.76,98.7,97.5776,98.55,6759573
2024-04-03,97.27,98.06,97.03,97.55,14050302
2024-04-04,98.28,99.335,97.9,99.31,13373158
2024-04-05,99.45,101.75,99.45,101.69,10216540
2024-04-08,101.69,102.26,101.27,101.88,9901335
2024-04-09,101.07,101.64,100.29,101.6,12904034
2024-04-10,100.92,101.76,100.23,101.36,5532873
2024-04-11,101.35,101.57,99.79,100.78,6786050
2024-04-12,101.715,102.35,99.47,100.1,7327324
2024-04-15,101.56,101.82,99.9,100.02,9636631
2024-04-16,100.25,101.32,100.23,100.84,7088598
2024-04-17,101.26,101.79,100.15,100.75,5377573
2024-04-18,100.52,101.9,100.51,100.71,4238563
2024-04-19,101.53,102.26,101.03,101.56,10327705
2024-04-22,102,102.25,101.365,101.56,7594052
2024-04-23,101,103.89,99.88,101.38,8568154
2024-04-24,101.72,101.89,100.01,101.02,7722056
2024-04-25,100.9,101.88,100.59,101.71,6186056
2024-04-26,101.54,101.8,100.29,101.41,4428318
2024-04-29,101.85,102.61,101.65,102.44,4470389
2024-04-30,102.34,102.82,101.47,101.52,5421771
2024-05-01,101.32,102.03,101.14,101.22,9982561
2024-05-02,101.2,101.91,101.02,101.89,6084415
2024-05-03,102,102.17,100.67,101.4,13324869
2024-05-06,101.79,102.05,101.615,101.91,3408663
2024-05-07,102.27,103.26,102.12,103.23,6933236
2024-05-08,103.24,104.0899,102.81,103.94,5177766
2024-05-09,104.11,105.76,104.08,105.74,7211300
2024-05-10,106,106.53,105.54,106.32,5626052
2024-05-13,106.44,107.815,105.68,105.8,6045495
2024-05-14,105.8,106.29,105.65,105.7,3726206
2024-05-15,105.49,105.98,105.14,105.35,5688303
2024-05-16,104.5,105.36,104.15,104.24,8723795
2024-05-17,104.69,104.775,103.71,104.18,8501013
2024-05-20,104.41,105.42,104.35,105.02,4412797
2024-05-21,105.2,105.93,105.1,105.43,4754825
2024-05-22,105.63,106.45,105.41,106.31,3626254
2024-05-23,106.44,107.32,105.34,105.41,5787127
2024-05-24,105.83,106.57,105.83,106.27,3431308
2024-05-28,106.03,106.35,105.28,105.52,5137171
2024-05-29,105.02,105.22,104.5,104.57,4796924
2024-05-30,104.9,105.85,104.58,105.72,4398900
2024-05-31,105.82,107.88,105.46,107.81,10411930
2024-06-03,107.24,108.65,106.82,107.37,5908797
2024-06-04,107.41,108.385,106.92,107.9,7998037
2024-06-05,108.01,108.515,107.481,108.44,3141222
2024-06-06,108.38,108.47,107.75,108.18,3875136
2024-06-07,108.1,108.56,107.875,108.11,3526533
2024-06-10,108,108.1,106.6701,107.09,5918493
2024-06-11,106.39,107.145,106.14,106.92,5769457
2024-06-12,107.01,107.72,106.58,106.77,3429992
2024-06-13,106.57,106.855,103.84,105.03,7112945
2024-06-14,104.59,104.9889,103.44,104.23,4917244
2024-06-17,104,104.49,103.47,104.47,3943685
2024-06-18,104.57,105.31,104.375,104.77,3991507
2024-06-20,104.63,105.73,104.55,105.07,6996421
2024-06-21,105.19,106.19,104.68,105.61,13311891
2024-06-24,105.74,107.475,100.94,101.96,13704767
2024-06-25,101.39,102.7,100.03,101.57,10306697
2024-06-26,100.93,101.39,100.1529,101.26,6953826
2024-06-27,101.47,101.78,100.425,100.62,6955459
2024-06-28,100.9,100.9,100.06,100.39,13853219
2024-07-01,100.88,101.68,99.31,99.55,4475275
2024-07-02,99.29,100.63,99.071,100.41,8299941
2024-07-03,100.9,101.04,100.383,100.74,2149212
2024-07-05,100.49,100.57,99.5648,100.37,6153519
2024-07-08,100.65,101.2053,99.98,100.1,8738074
2024-07-09,100.24,101.68,100.02,101.11,5649424
2024-07-10,100.9,101.18,99.42,100.68,6483597
2024-07-11,100.52,102.65,100.22,101.72,7595589
2024-07-12,102,102.85,101.02,101.28,6003137
2024-07-15,102.29,102.65,101.52,101.62,3776299
2024-07-16,101.87,103.69,101.75,103.68,4341192
2024-07-17,103.82,105.28,103.82,104.99,5432970
2024-07-18,105,105.46,103.78,103.84,4450279
2024-07-19,104.5,104.5,102.64,102.81,7229794
2024-07-22,102.68,103.82,102.62,103.77,6208088
2024-07-23,103.77,105.575,103.62,104.97,7602039
2024-07-24,105.05,105.86,104.02,104.83,7180244
2024-07-25,110.23,115.82,109.45,113.47,14996998
2024-07-26,113.96,115.23,113.5,113.95,7526513
2024-07-29,114,114.63,113.3,114.44,4138929
2024-07-30,115.2,117.03,114.56,116.88,6074374
2024-07-31,117.5,118.22,116.46,117.49,6780361
2024-08-01,117.72,117.99,116.06,116.74,5135066
2024-08-02,116.25,118.3,115.07,116.44,4578404
2024-08-05,115.11,116.44,114.37,115.17,5888641
2024-08-06,115.59,116.82,114.115,114.4,4642357
2024-08-07,114.3,115.98,113.61,114.15,5553236
2024-08-08,113.9,115.8411,113.7,115.1,8889121
2024-08-09,115.04,116.29,114.87,116.15,5534344
2024-08-12,116.86,117.44,115.76,116.6,8602006
2024-08-13,116.79,117.26,116.07,116.86,5911873
2024-08-14,116.84,117.83,116.645,117.65,5826695
2024-08-15,118.51,118.9948,117.53,118.36,5629874
2024-08-16,117.87,118.62,117.57,117.95,5251477
2024-08-19,118,118.52,117.975,118.35,5389909
2024-08-20,118.33,118.68,117.24,117.95,6129166
2024-08-21,118.5,118.64,116.95,117.26,3050998
2024-08-22,117.36,118.06,117.175,118.02,3743600
2024-08-23,118.29,118.89,117.91,118.52,3427510
2024-08-26,118.69,119.73,118.385,118.7,6260578
2024-08-27,118.68,119.59,118.39,119.49,4101156
2024-08-28,119.77,121.35,119.68,120.84,4287172
2024-08-29,121.09,122.74,120.54,122.29,3547768
2024-08-30,122.05,123.7,121.96,123.34,6371993
2024-09-03,123.12,123.66,120.68,120.99,5543868
2024-09-04,121.1,122.32,120.77,121.11,4484234
2024-09-05,121.19,121.61,118.65,119.64,5764523
2024-09-06,119.65,120.77,118.07,118.44,3983706
2024-09-09,119.64,121.33,119.17,121.16,4492038
2024-09-10,121.51,121.71,119.91,120.3,3806717
2024-09-11,119.87,119.87,117.3506,119.26,4857224
2024-09-12,119,120.15,118.8,120.1,4229793
2024-09-13,119.9,120.195,118.89,119.12,4708012
2024-09-16,119.97,120.55,118.06,119.2,6025495
2024-09-17,118.5,119.035,117.75,118.73,5101720
2024-09-18,118.97,119.61,117.77,118.04,4435027
2024-09-19,118.7,119.21,117.26,118.82,5270761
2024-09-20,118.2,118.89,117.86,118.15,16958535
2024-09-23,118.67,120.48,118.21,120.27,6755416
2024-09-24,120.13,120.25,119.08,120.04,5844638
2024-09-25,120.51,121.45,120.36,120.9,5713608
2024-09-26,120.24,121.88,120.13,120.32,6202637
2024-09-27,119.94,121.24,119.62,120.39,7941918
2024-09-30,120.84,121.29,119.77,121.16,5477095
2024-10-01,121.18,124.59,120.14,124.39,7206947
2024-10-02,125.22,125.53,123.64,124.04,3802912
2024-10-03,124.5,124.9,123.2001,123.67,4765675
2024-10-04,123.7,124.98,123.15,124.91,3056543
2024-10-07,124.85,125.68,124.25,125.05,4606101
2024-10-08,125.43,125.935,123.27,123.5,3194492
2024-10-09,123.03,124.7399,122.6,123.95,3210389
2024-10-10,123.63,124.07,122.41,122.94,2785344
2024-10-11,123,123.93,122.9,123.93,2556167
2024-10-14,123.74,124.83,123.27,124.64,1929867
2024-10-15,125.97,126.82,124.695,125.03,7521307
2024-10-16,124.77,126.24,124.195,126.22,3127407
2024-10-17,126.47,127,125.13,125.75,2463726
2024-10-18,126.15,126.27,125.035,125.92,4356338
2024-10-21,125.9,126.43,124.7,125.9,4768646
2024-10-22,127.99,128.7,123.53,125.53,5746084
2024-10-23,126.91,127.5,125.63,127.21,5451442
2024-10-24,126.38,126.675,125.12,125.17,4171807
2024-10-25,126.06,126.25,124.795,125.16,4716205
2024-10-28,125.23,125.91,124.63,125.43,4453440
2024-10-29,125.41,125.5,122.68,122.79,5102653
2024-10-30,122.34,122.81,121.75,121.86,4852087
2024-10-31,121.3,122.0899,120.5757,120.99,4112743
2024-11-01,121.5,121.62,118.74,118.75,5235060
2024-11-04,119.07,119.63,117.83,118,6856069
2024-11-05,118.49,119.1,117.7,118.98,8093630
2024-11-06,122.55,122.8567,120.26,121.59,9631913
2024-11-07,122,122.25,119.96,120.08,4415193
2024-11-08,120.95,124.22,120.9,123.55,6382044
2024-11-11,124.075,125.54,124.02,124.56,4012288
2024-11-12,124.89,125.2799,122.295,123.37,3896236
2024-11-13,123.45,123.95,122.96,123.75,2802784
2024-11-14,123.33,123.5,117.56,118.92,6113203
2024-11-15,117.95,118.85,117.13,118.53,6970495
2024-11-18,118.9,119.72,118.37,119.39,4462475
2024-11-19,121.24,121.35,118.5,118.96,4654074
2024-11-20,118.88,119.28,117.67,119.15,3990801
2024-11-21,119.5,120.88,118.86,120.53,4848286
2024-11-22,120.99,121.88,120.5,120.77,3585477
2024-11-25,120.5,121,118.02,118.65,8322352
2024-11-26,118.795,121.04,118.5904,120.61,3176003
2024-11-27,120.97,121.75,120.325,120.34,3604221
2024-11-29,120.78,121.87,120.655,121.83,2728552
2024-12-02,121.83,121.99,118.535,118.68,4468706
2024-12-03,119.02,119.45,117.89,118.1,3620258
2024-12-04,117.76,119.37,117.5,119.23,3774623
2024-12-05,118.85,119.005,117.69,118.52,3328836
2024-12-06,118.25,118.35,117.4,117.99,4792353
2024-12-09,117.3979,117.85,114.22,116.58,7255401
2024-12-10,116.58,118.22,116,117.61,3725524
2024-12-11,117.64,117.98,116.3,116.94,4298311
2024-12-12,117.085,117.25,115.62,116.05,3848629
2024-12-13,116.25,117.93,115.97,117.75,5061628
2024-12-16,117.3,118.3493,116.8,118.11,3986443
2024-12-17,117.69,118.13,117.001,117.42,3012393
2024-12-18,116.86,117.45,114.37,114.45,4113615
2024-12-19,115.95,117.25,115.25,115.46,5446927
2024-12-20,114.865,116.78,114.595,116.48,13389425
2024-12-23,116.165,116.89,115.79,116.63,3589080
2024-12-24,116,116.96,115.88,116.83,1663027
2024-12-26,116.83,117.62,116.39,117.04,2147102
2024-12-27,115.8374,117.53,115.8374,116.71,3847470
2024-12-30,115.43,115.9182,114.5252,115.22,2822191
2024-12-31,115.4,116.0999,114.905,115.72,2445270
2025-01-02,116.97,117.45,115.5371,116.01,3207521
2025-01-03,116.5,116.67,115.83,115.87,2902721
2025-01-06,116.16,116.28,113.73,114.1,3832296
2025-01-07,114.1,115.28,113.925,114.8,3588513
2025-01-08,114.83,116.2,114.41,115.92,4294465
2025-01-10,115.92,116.53,114.81,115.11,4287362
2025-01-13,114.65,117.93,114.58,117.74,5414874
2025-01-14,118.83,119.52,118.18,119.47,3804908
2025-01-15,120.15,120.37,118.17,119.09,4279973
2025-01-16,119.13,120.51,119.1,120.46,3897153
2025-01-17,120.46,121.35,119.86,121.11,4368575
2025-01-21,122.73,125.805,122.5,125.75,6071066
2025-01-22,125.6,125.88,123.645,124.38,5103799
2025-01-23,125.87,127,124.7,126.29,5501596
2025-01-24,125.725,126.28,125.08,125.31,3483366
2025-01-27,126.8,127.99,124.38,125.05,6207816
2025-01-28,131.175,132.43,126.13,128.35,8451630
2025-01-29,127.8,129.76,125.01,125.13,5179013
2025-01-30,125.55,129.22,125.55,128.98,4343560
2025-01-31,129.3,129.93,127.51,128.95,5570633
2025-02-03,128.56,130.545,127.55,129.92,6067319
2025-02-04,129.59,130.46,128.02,128.37,4036842
2025-02-05,129.685,129.89,128.285,129.16,4881490
2025-02-06,129.17,129.745,127.53,128.78,3363639
2025-02-07,128.58,129,127.33,127.95,3827457
2025-02-10,128.37,128.5,126.9,128.25,5345158
2025-02-11,129.14,129.42,127.8,129.11,3320669
2025-02-12,127.81,128.605,126.44,126.78,5155318
2025-02-13,127.36,127.64,125.265,125.84,6580412
2025-02-14,125.375,125.45,121.38,122.41,7715889
2025-02-18,124.24,125.325,123.41,123.76,5386280
2025-02-19,124.74,126.61,124.1,125.41,5124631
2025-02-20,124.76,125.31,123.1908,125.11,3131993
2025-02-21,124.1446,125.48,122.68,123.29,4846056
2025-02-24,124.625,126.225,124.625,125.43,4460973
2025-02-25,125.91,127.93,125.66,127.34,6008104
2025-02-26,127.67,128.33,126.835,127.31,3904462
2025-02-27,128.355,130.99,127.83,130.52,5758937
2025-02-28,131.26,133.09,130.615,132.99,7460961
2025-03-03,134.5,135.356,132.92,133.83,6215800
2025-03-04,133.465,134.725,128.49,128.7,7911240
2025-03-05,129.59,130.54,128.23,129.64,5774924
2025-03-06,128.62,128.8647,125.96,128.28,6258256
2025-03-07,127.725,128.9,126.26,128.4,6418493
2025-03-10,127,129.84,126.41,128.52,4916819
2025-03-11,128.69,129.05,127.1,128.11,4405170
2025-03-12,128.425,128.55,126.81,127.96,4702043
2025-03-13,128.25,129.64,128,129.2,3434129
2025-03-14,128.915,130.69,128,129.99,5380720
2025-03-17,130,132.71,130,132.05,4934891
2025-03-18,132.135,133.27,131.7063,132.69,4128358
2025-03-19,134.01,135.74,133.51,135.32,7080717
2025-03-20,134.13,135.32,133.885,134.47,4311706
2025-03-21,133.735,134.5,131.7,132.37,9545861
2025-03-24,132.81,134.89,131.94,134.69,5525337
2025-03-25,134.69,135.94,133.98,135.66,3990614
2025-03-26,135.98,136.17,134.055,134.33,4465244
2025-03-27,134.82,134.96,133.16,133.43,3914327
2025-03-28,132.97,133.6399,131.64,131.72,3935448
2025-03-31,131.01,133.14,130.5809,132.46,5521080
2025-04-01,132.15,133.035,131.36,132.85,4799312
2025-04-02,131.39,133.68,131.21,133.15,3352854
2025-04-03,131.38,133.71,129.94,130.23,4605222
2025-04-04,126.26,126.38,117.35,117.45,8526668
2025-04-07,113.83,119.92,112.27,117.32,8774845
2025-04-08,123.62,123.97,118.7,120.46,8108564
2025-04-09,119.02,128.9325,118.17,128.43,6747432
2025-04-10,126.95,129.29,123.77,127.07,6458136
2025-04-11,126.58,129.32,125,128.26,3654538
2025-04-14,129.145,129.95,128.28,129.14,4100156
2025-04-15,128.825,129.95,128.24,128.64,6315551
2025-04-16,129.9,130.2036,128.44,129.25,5382955
2025-04-17,129.32,130.5,127.7001,128.89,5228349
2025-04-21,128.73,128.73,124.7301,126.12,6397392
2025-04-22,114.53,117.19,112.63,113.75,17094447
2025-04-23,117.375,122.62,117.275,120.28,10456256
2025-04-24,120.03,122.06,119.51,121.97,4512821
2025-04-25,122.7,125.5,122.4101,125.22,6205882
2025-04-28,125.725,126.31,123.675,124.8,5460524
2025-04-29,124.73,126.035,124.39,125.73,4313759
2025-04-30,125.865,126.57,123.6,126.13,5674133
2025-05-01,126.365,128.09,125.43,127.41,4820896
2025-05-02,129.19,131,127.85,130.21,5002524
2025-05-05,130,130.055,128.28,128.59,3293615
2025-05-06,127.94,128.67,126.9075,128.16,2596062
2025-05-07,127.81,128.81,127.38,127.5,4029332
2025-05-08,127.965,130.53,127.495,128.67,4748536
2025-05-09,128.81,128.85,126.0308,128.67,4857755
2025-05-12,129.91,130.8,127.39,130.56,4686395
2025-05-13,130.925,132.045,130.46,130.72,4334673
2025-05-14,131.49,131.8499,129.11,130.79,4843557
2025-05-15,131.94,135.65,131.75,135.52,6772214
2025-05-16,135.705,136.4,134.48,135.48,4776005
2025-05-19,135.87,137.72,135.1883,137.2,5180765
2025-05-20,136.31,137.745,135.885,137.18,4998572
2025-05-21,138.52,138.82,134.8462,134.95,5514901
2025-05-22,134.735,134.98,133.51,134.07,3790937
2025-05-23,131.85,133.39,131.32,132.35,5510145
2025-05-27,134.355,134.9,132.15,134.19,5160835
2025-05-28,134.64,135,130.9,132.85,5426329
2025-05-29,132.19,135.09,131.9,134.8,3635315
2025-05-30,134.97,137.3,134.37,136.48,8195383
2025-06-02,136.42,137.5199,135.43,137.46,3946233
2025-06-03,137.32,138.79,136.43,137.5,3493879
2025-06-04,138.125,138.86,137.645,138.55,3200650
2025-06-05,139.23,139.32,138.235,139.07,3512205
2025-06-06,139.74,140.65,138.325,139.1,4510956
