Date,Open,High,Low,Close,Volume
2024-03-25,99.55,100.11,99.39,99.42,7055977
2024-03-26,99.43,99.75,99.04,99.15,529454
2024-03-27,99.11,100.4,99.11,100.4,591949
2024-03-28,100.4,101.26,100.195,100.88,594635
2024-04-01,100.88,101,99.83,100.3,566291
2024-04-02,99.9,100,99.24,99.61,1757129
2024-04-03,99.49,100.72,99.36,100.26,1741516
2024-04-04,101.11,102.32,100.51,100.98,2542805
2024-04-05,101,102.54,100.7,102.34,784681
2024-04-08,102.35,103.08,102.21,103.05,771942
2024-04-09,103.3,103.88,101.84,102.78,831807
2024-04-10,101.49,101.49,100.2,100.94,1374112
2024-04-11,100.88,100.95,99.56,100.36,822467
2024-04-12,99.46,99.88,98.135,98.53,826478
2024-04-15,99.29,99.72,97.5,97.92,583599
2024-04-16,97.33,97.42,96.2,96.4,911309
2024-04-17,96.56,97.93,96.13,96.78,821002
2024-04-18,96.73,97.7,96.43,96.9,675645
2024-04-19,97,98.12,96.73,97.85,882467
2024-04-22,98.38,99.32,98.07,99.2,3192867
2024-04-23,99.49,100.25,99.255,99.85,1954008
2024-04-24,98.79,98.81,96.82,97.27,3537112
2024-04-25,96.44,97.97,95.838,97.68,649138
2024-04-26,97.97,98.45,97.6,98.16,502507
2024-04-29,98.31,98.67,97.6,97.99,697407
2024-04-30,97.18,97.96,96.74,96.83,799543
2024-05-01,96.98,98.29,96.52,97.38,534757
2024-05-02,98.04,99.34,97.72,99.22,1936711
2024-05-03,100.11,101.31,99.99,101.17,2470596
2024-05-06,101.84,102.04,100.96,101.82,1595965
2024-05-07,102,102.12,100.89,101.02,634532
2024-05-08,100.62,101.98,100.32,101.85,564941
2024-05-09,102.1,103.105,101.96,103.09,618636
2024-05-10,103.48,104.08,103.18,103.21,540065
2024-05-13,103.5,104.71,103.3,104.61,561560
2024-05-14,104.99,105,103.92,104.3,593245
2024-05-15,104.55,105.52,104.22,105.49,606142
2024-05-16,105.32,106.49,105.18,105.99,812742
2024-05-17,106.15,106.87,105.765,106.79,1492648
2024-05-20,106.79,107.195,105.84,105.84,327990
2024-05-21,105.48,106.38,105.26,105.88,658566
2024-05-22,105.39,106.43,105,105.96,933911
2024-05-23,106.48,106.65,104.28,104.61,570303
2024-05-24,104.29,105.77,104.19,105.3,862648
2024-05-28,105.31,105.49,104.62,105.04,427922
2024-05-29,104.19,104.31,102.8,102.85,668772
2024-05-30,105.1,108.66,105.0016,108.4,1630508
2024-05-31,109.25,109.47,107.455,109.27,1654522
2024-06-03,109.5,109.51,107.52,108.6,614638
2024-06-04,107.41,108.44,107,107.48,568281
2024-06-05,107.83,108.07,106.4,107.11,605105
2024-06-06,107.3,107.6665,106.5868,107.62,418502
2024-06-07,107.1,107.23,106.22,106.39,395016
2024-06-10,106.07,106.42,105.66,106.23,1807216
2024-06-11,105.6,105.78,105.02,105.38,382767
2024-06-12,106.15,106.69,105.25,105.5,652157
2024-06-13,105.31,105.32,104.005,104.39,537516
2024-06-14,103.69,104.06,102.44,103.94,597137
2024-06-17,103.7,103.78,102.69,103.59,884787
2024-06-18,103.59,104.39,103.36,103.81,979829
2024-06-20,103.41,103.65,102.83,103.38,1024886
2024-06-21,103.03,103.83,102.52,103.63,954576
2024-06-24,104.12,106.36,104.12,106.22,814301
2024-06-25,106.385,106.7,105.61,106.36,1031947
2024-06-26,105.6,105.69,105.06,105.6,482560
2024-06-27,105.7,106.23,105.21,106.13,482216
2024-06-28,106.13,106.73,105.95,106.38,632923
2024-07-01,106.83,107.32,105.97,105.98,420147
2024-07-02,106,107.67,105.925,107.52,714288
2024-07-03,108.19,109.6,107.95,109.02,473703
2024-07-05,110,110.21,108.77,108.8,828559
2024-07-08,109,109.45,108.78,109.19,2193837
2024-07-09,109.01,110.27,108.77,109.59,2244183
2024-07-10,109.91,110.81,109.65,110.76,2750739
2024-07-11,111.24,111.4,110.27,110.27,675536
2024-07-12,110.54,111.49,110.32,111.21,737713
2024-07-15,111.33,111.4,110.61,110.81,676192
2024-07-16,110.82,110.95,110.18,110.54,665336
2024-07-17,110.15,112.28,110.01,112.01,629448
2024-07-18,112.05,112.628,111.57,112.08,791361
2024-07-19,111.86,112.67,110.95,111.13,1723367
2024-07-22,111.65,112.01,111.0301,111.6,1218104
2024-07-23,111.82,111.82,110.415,110.51,3533595
2024-07-24,110.33,110.82,109.77,110.31,2307197
2024-07-25,108.83,110.1,108.62,109.59,1688030
2024-07-26,109.78,111.02,109.65,110.67,667352
2024-07-29,110.63,110.9,109.98,110.22,448763
2024-07-30,110.42,111.94,110.2822,111.14,722700
2024-07-31,111.42,112.52,111.19,111.74,434535
2024-08-01,111.64,111.9,109.15,109.87,771359
2024-08-02,108.5,108.94,107.06,107.46,681685
2024-08-05,103,106.07,102.89,105.65,788251
2024-08-06,105.75,107.57,105.31,107.22,888903
2024-08-07,108.18,108.335,106.35,107.38,979923
2024-08-08,107.69,109.505,107.61,108.73,1920705
2024-08-09,108.95,109.17,108.24,109.13,1726914
2024-08-12,109.22,109.22,108.1,108.26,1138933
2024-08-13,108.89,109.53,108.52,109.48,637053
2024-08-14,109.48,110.52,109.45,110.37,601032
2024-08-15,111,111.44,110.6,110.71,722984
2024-08-16,110.85,111.86,110.85,111.81,729376
2024-08-19,111.87,113.11,111.87,112.78,4058843
2024-08-20,112.74,112.74,112.14,112.58,555973
2024-08-21,112.58,113.24,112.55,112.94,656972
2024-08-22,112.98,113.51,112.545,113.34,790377
2024-08-23,113.95,116.56,113.905,115.52,995417
2024-08-26,115.77,116.3,115.49,115.68,531549
2024-08-27,115.82,116.64,115.7,116.4,710530
2024-08-28,117.25,119.92,116.9,118.84,1523481
2024-08-29,119.81,120.68,119.02,119.2,908622
2024-08-30,119.22,121.12,119.15,120.78,940217
2024-09-03,120.17,121.22,120.03,120.84,855044
2024-09-04,120.68,122.28,120.37,122.08,713023
2024-09-05,122.51,122.91,121.11,121.49,464131
2024-09-06,121.84,122.31,119.94,120.93,759529
2024-09-09,121.29,123.19,121.27,122.98,737248
2024-09-10,122.81,122.81,121.06,122.27,697804
2024-09-11,121.85,123.54,120.7904,123.28,528037
2024-09-12,123.2,124,122.98,123.96,533989
2024-09-13,124.31,124.31,123.375,123.59,589274
2024-09-16,124,124.46,122.85,123.33,696711
2024-09-17,123.48,123.53,122.28,122.86,555823
2024-09-18,122.78,123.72,122.05,122.56,588208
2024-09-19,123.6,124,122.2,123.06,656976
2024-09-20,123.2,123.2,121.67,121.92,1270266
2024-09-23,122.19,123.28,121.83,123.14,607215
2024-09-24,123.37,123.96,122.86,123.66,416674
2024-09-25,123.66,123.86,123.15,123.55,477175
2024-09-26,124,124.815,123.72,124.54,695926
2024-09-27,124.67,124.86,123.95,124.26,837107
2024-09-30,124.1,125.11,123.93,124.73,543658
2024-10-01,124.86,125.28,122.9,123.8,597209
2024-10-02,123.99,124.23,122.76,122.89,536188
2024-10-03,122.51,122.535,120.96,121.39,765694
2024-10-04,121.79,122.42,121.59,122.42,526970
2024-10-07,122.22,122.61,121.01,121.76,975464
2024-10-08,121.51,122.02,120.94,121.81,521979
2024-10-09,121.62,122.56,121.4,122.27,1022742
2024-10-10,122.05,122.46,120.4,121.47,1995606
2024-10-11,121.75,123.95,121.75,123.79,1973765
2024-10-14,123.7,123.89,123.17,123.43,473334
2024-10-15,123.21,124.96,122.89,124.41,725777
2024-10-16,124.63,126.55,124.53,126.11,775055
2024-10-17,125.48,126.955,125.48,126.47,927771
2024-10-18,126.27,126.6,125.07,126.05,2787538
2024-10-21,125.97,126.01,124.41,124.99,423323
2024-10-22,124.55,125.31,124.125,125.09,6284856
2024-10-23,124.6,125.37,124.48,125.18,563362
2024-10-24,123.83,124.7,122.83,123.53,1293999
2024-10-25,124,124.36,122.44,122.46,3608422
2024-10-28,122.45,124.46,122.45,124.03,731575
2024-10-29,123.74,124.45,123,123.47,659051
2024-10-30,123.28,124.04,122.86,123.58,851284
2024-10-31,123.15,123.37,120.82,120.89,911850
2024-11-01,121.7,122.15,121.1,121.79,713334
2024-11-04,121.89,122.9,121.13,122.27,1023697
2024-11-05,122.67,123.46,122.15,123.15,648888
2024-11-06,123.99,124.23,121.82,122.72,1111410
2024-11-07,123.48,124.75,123.42,124.55,1271153
2024-11-08,124.08,124.08,122.88,123.63,425359
2024-11-11,124.07,124.79,123.87,124.04,503365
2024-11-12,124.37,124.37,123.04,123.89,2361628
2024-11-13,123.74,123.9,122.79,123.15,926714
2024-11-14,123.35,123.35,122.23,122.39,3808737
2024-11-15,121.23,121.8,120.255,121.47,1969208
2024-11-18,121.25,122.49,121,122.43,3239410
