Date,Open,High,Low,Close,Volume
2024-03-25,4.45697,4.51351,4.44764,4.48524,6226571
2024-03-26,4.50408,4.52294,4.48524,4.49466,2807095
2024-03-27,4.54178,4.57004,4.54178,4.56063,2570894
2024-03-28,4.57946,4.59831,4.54178,4.56063,2385210
2024-04-01,4.56063,4.57004,4.51351,4.52294,1666931
2024-04-02,4.51351,4.54178,4.50408,4.54178,2234448
2024-04-03,4.58889,4.64543,4.58889,4.62658,2707453
2024-04-04,4.73966,4.7585,4.636,4.65486,3904962
2024-04-05,4.61716,4.64543,4.58889,4.61716,2165734
2024-04-08,4.68312,4.71138,4.66428,4.69255,5222015
2024-04-09,4.69255,4.70902,4.60774,4.636,2359947
2024-04-10,4.57004,4.62187,4.54178,4.58889,3107370
2024-04-11,4.48524,4.50408,4.40044,4.48524,3470651
2024-04-12,4.42871,4.43812,4.37217,4.38159,2851733
2024-04-15,4.45697,4.47582,4.36745,4.37217,2621396
2024-04-16,4.37217,4.37688,4.29678,4.3062,6642437
2024-04-17,4.41929,4.43341,4.37217,4.39102,3291476
2024-04-18,4.47582,4.52294,4.45697,4.47582,3146481
2024-04-19,4.47582,4.50408,4.45697,4.47582,3098938
2024-04-22,4.57004,4.63553,4.57004,4.57946,9246736
2024-04-23,4.72081,4.74898,4.69255,4.70196,11840073
2024-04-24,4.74908,4.76792,4.73966,4.7585,5662830
2024-04-25,4.73023,4.77263,4.69255,4.76792,5273301
2024-04-26,4.85273,4.87157,4.80562,4.81504,2992617
2024-04-29,4.83567,4.85971,4.80684,4.84529,4414085
2024-04-30,4.67224,4.7059,4.61457,4.61457,4722451
2024-05-01,4.5665,4.66264,4.54727,4.61457,1743616
2024-05-02,4.66264,4.70109,4.63379,4.68186,3186764
2024-05-03,4.67224,4.67224,4.62418,4.6434,1563202
2024-05-06,4.66264,4.71071,4.65783,4.71071,1722718
2024-05-07,4.83567,4.86452,4.82607,4.83567,2737299
2024-05-08,4.84529,4.89336,4.84529,4.85491,3245284
2024-05-09,4.86452,4.90298,4.85491,4.85491,2655462
2024-05-10,4.87413,4.87894,4.83088,4.83567,2668604
2024-05-13,4.87413,4.89336,4.85491,4.86452,1291049
2024-05-14,4.86452,4.91259,4.86452,4.89336,1982435
2024-05-15,4.95105,5.02796,4.95105,5.02796,3338560
2024-05-16,4.97989,4.99911,4.94143,4.94143,2021874
2024-05-17,4.99911,5.06641,4.9895,5.04718,2941308
2024-05-20,5.04718,5.05679,5.00872,5.00872,1098490
2024-05-21,4.97989,5.00872,4.96065,4.99911,840971
2024-05-22,4.9895,5.00392,4.93182,4.93182,1544644
2024-05-23,4.95105,4.96065,4.87413,4.89336,1641559
2024-05-24,4.87413,4.93182,4.86933,4.91259,1166719
2024-05-28,4.91259,4.94143,4.88374,4.9222,1710882
2024-05-29,4.85491,4.85491,4.80684,4.82607,2437727
2024-05-30,4.9222,4.96065,4.9222,4.94143,4075762
2024-05-31,4.97027,5.04718,4.94624,5.03756,2416768
2024-06-03,5.01834,5.05679,4.9895,5.04718,2130702
2024-06-04,4.94143,4.96892,4.89336,4.89336,1825112
2024-06-05,4.87413,4.89336,4.83567,4.86452,1356715
2024-06-06,4.89336,4.93182,4.88374,4.91259,1183667
2024-06-07,4.91259,4.9222,4.86452,4.87413,1263294
2024-06-10,4.81645,4.84529,4.78761,4.83567,1857004
2024-06-11,4.72993,4.73954,4.66264,4.72993,2694837
2024-06-12,4.80684,4.81164,4.72993,4.73954,3106889
2024-06-13,4.62418,4.63379,4.48959,4.54727,4861236
2024-06-14,4.4319,4.47997,4.40306,4.46075,4759901
2024-06-17,4.4992,4.55688,4.49093,4.54727,2322494
2024-06-18,4.53766,4.57611,4.53766,4.55688,1571166
2024-06-20,4.51842,4.55688,4.4992,4.53766,1606260
2024-06-21,4.39345,4.44152,4.36711,4.44152,3774824
2024-06-24,4.47997,4.52804,4.47824,4.4992,2409974
2024-06-25,4.47997,4.47997,4.44152,4.45113,2464646
2024-06-26,4.41268,4.46556,4.40787,4.45113,2557662
2024-06-27,4.42229,4.45113,4.41268,4.44152,2622105
2024-06-28,4.40306,4.46075,4.39825,4.45113,3695222
2024-07-01,4.55688,4.57611,4.53766,4.5665,1995802
2024-07-02,4.4319,4.47027,4.4319,4.45113,1678867
2024-07-03,4.51842,4.57611,4.51842,4.5665,1169610
2024-07-05,4.58573,4.60495,4.54727,4.59533,2126680
2024-07-08,4.6434,4.66264,4.5665,4.5665,1522329
2024-07-09,4.52804,4.55688,4.50977,4.52804,1453420
2024-07-10,4.62418,4.66264,4.59533,4.65302,1498596
2024-07-11,4.67224,4.67224,4.61457,4.62418,1209889
2024-07-12,4.65302,4.70109,4.64821,4.67224,1508609
2024-07-15,4.67224,4.67224,4.60495,4.60495,1268470
2024-07-16,4.59533,4.65302,4.5713,4.6434,1639873
2024-07-17,4.65302,4.69147,4.65302,4.67224,1428408
2024-07-18,4.69147,4.7059,4.62418,4.6434,1392422
2024-07-19,4.61457,4.6434,4.59533,4.61457,1264642
2024-07-22,4.70109,4.72993,4.68186,4.72993,1401202
2024-07-23,4.70109,4.76838,4.69147,4.74916,2142995
2024-07-24,4.85491,4.90298,4.84529,4.85491,3665515
2024-07-25,4.72031,4.75877,4.67234,4.72031,2419122
2024-07-26,4.69147,4.72993,4.67234,4.72993,1477372
2024-07-29,4.67224,4.69147,4.61466,4.67224,5242311
2024-07-30,4.67224,4.71071,4.67224,4.71071,2669535
2024-07-31,4.6434,4.68186,4.61457,4.66264,2251896
2024-08-01,4.52804,4.52804,4.38384,4.39345,3147819
2024-08-02,4.2877,4.29732,4.22041,4.23963,2622284
2024-08-05,4.1435,4.24925,4.12907,4.20118,5505514
2024-08-06,4.12427,4.25405,4.10504,4.22041,5587668
2024-08-07,4.29732,4.33577,4.23963,4.23963,3188879
2024-08-08,4.29732,4.30693,4.24925,4.26847,2815134
2024-08-09,4.27808,4.34539,4.25895,4.34539,2933868
2024-08-12,4.32615,4.34058,4.27808,4.31654,2227619
2024-08-13,4.32615,4.37422,4.31654,4.36461,2688018
2024-08-14,4.37422,4.38384,4.34539,4.37422,1661246
2024-08-15,4.44152,4.47997,4.44152,4.46075,1522384
2024-08-16,4.47035,4.50882,4.46556,4.50882,1586227
2024-08-19,4.52804,4.58092,4.52804,4.57611,2761162
2024-08-20,4.52804,4.54727,4.50882,4.50882,1580396
2024-08-21,4.55688,4.5665,4.53766,4.5665,1375210
2024-08-22,4.5665,4.59533,4.55207,4.5665,2311429
2024-08-23,4.59533,4.70109,4.59533,4.67224,3088393
2024-08-26,4.6434,4.67224,4.62418,4.63379,1776143
2024-08-27,4.75877,4.78761,4.74916,4.75877,2403199
2024-08-28,4.76838,4.79722,4.74925,4.778,2184804
2024-08-29,4.81645,4.82607,4.74916,4.76838,2629507
2024-08-30,4.76838,4.79722,4.75877,4.78761,1839084
2024-09-03,4.66264,4.69147,4.59533,4.61457,1775647
2024-09-04,4.65302,4.67224,4.61457,4.63379,1468669
2024-09-05,4.71071,4.72993,4.65312,4.68186,2232390
2024-09-06,4.67224,4.69147,4.54727,4.55688,2872203
2024-09-09,4.58573,4.6434,4.58573,4.61457,2549298
2024-09-10,4.58573,4.58573,4.47035,4.51842,3609257
2024-09-11,4.51842,4.57611,4.45113,4.5665,4074063
2024-09-12,4.55688,4.63379,4.53285,4.60495,2245967
2024-09-13,4.65302,4.72993,4.65302,4.70109,1797655
2024-09-16,4.72993,4.778,4.72993,4.778,1606467
2024-09-17,4.82607,4.83567,4.778,4.80684,2118504
2024-09-18,4.83567,4.90298,4.80684,4.83567,2829462
2024-09-19,4.89336,4.93182,4.8501,4.9222,2279004
2024-09-20,4.93182,4.93182,4.86452,4.88374,2293866
2024-09-23,4.83567,4.84529,4.78761,4.79722,1984604
2024-09-24,4.84529,4.88374,4.83567,4.87413,2682386
2024-09-25,4.90298,4.90298,4.80684,4.81645,2145570
2024-09-26,4.94143,4.97027,4.93182,4.97027,2883426
2024-09-27,4.97027,4.9895,4.93182,4.94143,2704925
2024-09-30,4.9222,4.93182,4.87413,4.90298,1373995
2024-10-01,4.72031,4.72512,4.59053,4.63379,4734201
2024-10-02,4.65302,4.71071,4.65302,4.70109,2733429
2024-10-03,4.66264,4.72031,4.6434,4.70109,3714200
2024-10-04,4.71071,4.76838,4.71071,4.75877,2361197
2024-10-07,4.82607,4.83567,4.778,4.81645,3290265
2024-10-08,4.81645,4.83567,4.79126,4.81645,1595340
2024-10-09,4.75877,4.80684,4.73954,4.778,1344450
2024-10-10,4.80684,4.80684,4.75108,4.778,1631921
2024-10-11,4.778,4.82607,4.77319,4.81645,1653136
