Date,Open,High,Low,Close,Volume
2024-03-25,195.15,196.24,194.78,195.28,419485
2024-03-26,197.68,198.56,196.58,196.66,557011
2024-03-27,199.2,199.285,196.28,197.09,852713
2024-03-28,195.49,196.3,194.495,195.03,376225
2024-04-01,196.37,197.02,195.375,196.03,554245
2024-04-02,192.33,192.55,190.33,192.12,644920
2024-04-03,190.96,193.58,190.87,193.24,870007
2024-04-04,193.22,194.02,191.03,191.03,1249411
2024-04-05,191.41,193.23,190.95,191.82,639292
2024-04-08,192.78,193.46,191.59,191.63,519609
2024-04-09,189.8,190.13,186.71,187.89,995403
2024-04-10,184.88,185.83,183.5,184.22,682379
2024-04-11,183.98,185.97,181.99,185.67,1037220
2024-04-12,181.59,182.75,180.57,180.78,986987
2024-04-15,184.17,184.45,180.2,180.23,529741
2024-04-16,181.5,182.34,180.13,180.56,799423
2024-04-17,181.76,181.76,179.23,179.94,489789
2024-04-18,179.91,180.83,178.08,178.64,1502909
2024-04-19,178.21,178.63,175.08,175.73,954103
2024-04-22,176.59,178.99,176.14,178.18,1062911
2024-04-23,184.83,188.25,184.82,188.01,1649249
2024-04-24,188.53,189.27,186.61,188.07,1188988
2024-04-25,181.37,185.27,180.16,185.09,1557175
2024-04-26,185.69,186.87,185.58,186.18,920934
2024-04-29,184.77,184.85,183.07,183.77,477571
2024-04-30,182.65,183.46,180.92,181.21,773268
2024-05-01,181.7,183.43,179.153,180.07,622186
2024-05-02,181.49,181.64,179.71,180.64,731401
2024-05-03,183.61,184.26,182.83,183.45,377178
2024-05-06,183.99,185.47,183.72,185.41,419159
2024-05-07,187.04,188.305,186.65,187.54,483637
2024-05-08,188.89,190.37,188.64,190.31,907600
2024-05-09,190.41,192.03,190.18,191.99,652583
2024-05-10,189.7,190.69,189.41,190.05,541770
2024-05-13,190.91,191.2,189.705,189.96,356188
2024-05-14,189.15,189.93,188.527,189.7,495758
2024-05-15,189.98,192.45,189.84,192.44,528353
2024-05-16,192.55,192.91,190.64,190.67,855457
2024-05-17,191.12,193.09,190.8,192.8,570039
2024-05-20,194.14,195.75,193.85,195.3,701764
2024-05-21,195.19,195.81,194.59,194.72,843010
2024-05-22,194,195.08,193.63,193.91,540824
2024-05-23,196.75,196.9875,193.9701,195.02,844081
2024-05-24,194.62,195.64,193.26,195.38,651789
2024-05-28,193.91,194.04,191.67,192.52,794943
2024-05-29,189.96,191.14,189.74,190.37,747464
2024-05-30,185.25,185.53,179.76,180.25,1950765
2024-05-31,181.98,182.6499,179.4311,182.44,848719
2024-06-03,183.9,184.4,181.8401,184.24,755011
2024-06-04,184,184.99,183.23,184.22,470463
2024-06-05,186.17,188.78,185.37,188.75,697672
2024-06-06,194.31,194.47,192.7,193.04,852121
2024-06-07,191.73,192.33,190.91,191.1,512919
2024-06-10,188.83,190.515,188.755,190.24,456357
2024-06-11,187.19,189.55,186.4,188.74,1006310
2024-06-12,195.17,197.4311,194.9,197.2,1325123
2024-06-13,195.1,195.52,190.33,192.42,909625
2024-06-14,188.16,188.69,186.5,187.82,1359746
2024-06-17,188.71,190.409,188.17,190.02,1070256
2024-06-18,188.8,189.8212,188.45,188.62,681623
2024-06-20,190.49,193.44,190.21,191.47,1168790
2024-06-21,192.88,194.3,192.01,194.16,650838
2024-06-24,192.14,193.33,191.59,191.69,709854
2024-06-25,193.01,195.79,192.41,195.74,696221
2024-06-26,197.33,199.34,197.04,198.59,1205798
2024-06-27,199.67,201.4499,199.6121,200.75,763223
2024-06-28,201.76,204.332,200.89,201.71,843472
2024-07-01,200.54,200.84,198.58,199.42,753359
2024-07-02,197.68,199.33,197.5469,198.58,596360
2024-07-03,201.16,203.25,201.11,203.02,471633
2024-07-05,205.71,206.08,203.73,205.94,552350
2024-07-08,205.65,205.73,202.46,202.79,544975
2024-07-09,202.65,202.65,199.585,200.28,654171
2024-07-10,201.27,202.415,200.59,202.29,465931
2024-07-11,203.77,204.135,201.37,201.73,612985
2024-07-12,202.88,206.34,202.47,205.11,635298
