Date,Open,High,Low,Close,Volume
2024-03-25,71.46,72.32,70.99,71.33,6578712
2024-03-26,71.39,71.53,70.9139,71,5659141
2024-03-27,71.4,72.45,71.3,72.38,7358004
2024-03-28,72.4,72.6,71.7,72.34,6865003
2024-04-01,72.29,72.63,71.85,72.37,4070802
2024-04-02,72,72.16,70.97,71.46,5373777
2024-04-03,71.43,72.24,71.28,71.42,5296040
2024-04-04,72.23,72.97,71.08,71.35,7855327
2024-04-05,71.48,72.125,71.21,71.89,4255194
2024-04-08,72.27,72.775,71.82,72.37,5846226
2024-04-09,72.54,72.8,71.49,72.28,5024227
2024-04-10,71.55,72.07,70.12,71.1,7750362
2024-04-11,70.86,71.28,69.82,70.62,5891810
2024-04-12,69.71,70.87,69.47,70.03,8614981
2024-04-15,70.5,73.65,70.47,71.23,14417612
2024-04-16,71.5,73.26,70.37,73.07,12021566
2024-04-17,73.5,73.8765,72.32,72.5,9852765
2024-04-18,72.53,73.84,71.96,72.93,8208306
2024-04-19,73.4,73.88,72.86,73.42,8480177
2024-04-22,73.96,74.98,73.22,74.26,8847494
2024-04-23,74.35,75.37,74.18,75.23,9244359
2024-04-24,74.47,75.55,74.36,75.19,6038846
2024-04-25,74.93,75.46,74,74.89,6375353
2024-04-26,74.96,75.3,74.52,74.99,5560677
2024-04-29,74.91,75.49,74.43,74.56,5778877
2024-04-30,74.37,74.44,73.62,73.95,6725674
2024-05-01,73.96,75.37,73.45,74.57,7016117
2024-05-02,75.37,75.47,74.35,75.33,5591287
2024-05-03,76.08,76.47,75.17,76.04,5414735
2024-05-06,76.5,76.93,75.87,76.86,4857630
2024-05-07,76.99,77.05,75.41,75.54,7337005
2024-05-08,75.44,76.615,75.32,76.4,5190121
2024-05-09,75.99,76.345,75.44,75.44,6091501
2024-05-10,75.8,76.25,75.53,76.11,5103040
2024-05-13,76.17,76.41,74.665,74.7,5488050
2024-05-14,75,77.27,74.85,77.07,9566077
2024-05-15,77.42,78.79,77.38,78.68,6601314
2024-05-16,78.07,78.52,77.32,78.04,7992947
2024-05-17,78.3,79.22,77.77,78.78,6467194
2024-05-20,78.8,79.13,78.15,78.66,5559412
2024-05-21,78.5,79.34,78.08,78.9,6067529
2024-05-22,78.66,79.49,75.01,75.27,13806620
2024-05-23,74.59,74.73,71.69,72.34,14676487
2024-05-24,72.64,73.09,72.17,72.27,6152159
2024-05-28,72.09,72.09,70.56,70.79,8486314
2024-05-29,69.9,70.76,69.48,70.53,5617442
2024-05-30,70.73,72,70.6,71.88,7080032
2024-05-31,71.76,73.37,71.58,73.28,8617439
2024-06-03,73.21,73.33,72.0364,72.37,4365000
2024-06-04,71.83,72.54,71.65,71.99,3887905
2024-06-05,72.42,74.665,72.33,74.39,7010057
2024-06-06,74.46,74.6,73.73,74.25,4669390
2024-06-07,74,74.87,73.72,73.93,5371097
2024-06-10,73.44,74.18,73.14,74.11,5337768
2024-06-11,73.77,73.87,72.62,73.45,6048493
2024-06-12,74.55,75,73.49,73.56,5587336
2024-06-13,73.52,73.7,72.71,73.39,4147276
2024-06-14,72.49,73.49,72.11,73.25,5756153
2024-06-17,72.91,72.92,72.025,72.81,5689243
2024-06-18,72.76,73.1386,72.435,72.84,5868562
2024-06-20,72.54,73.02,72.18,72.7,5785202
2024-06-21,72.58,73.575,71.93,73.34,12242913
2024-06-24,73.36,74.97,73.19,74.53,8341007
2024-06-25,74.3,74.3495,73.49,73.9,5892959
2024-06-26,73.57,74.06,73.18,73.26,4684139
2024-06-27,72.78,73.62,72.51,73.56,5564410
2024-06-28,74,74.21,73.1,73.69,8997560
2024-07-01,73.97,74.17,73.27,73.42,3902863
2024-07-02,73.25,74.18,73.22,74.15,4925305
2024-07-03,74.25,74.61,73.8,74.13,2502054
2024-07-05,73.87,74.15,73.15,73.2,3232980
2024-07-08,74.2,74.51,73.11,73.24,5338165
2024-07-09,73.03,74.89,72.89,74.53,4973600
2024-07-10,74.35,74.73,74.06,74.63,4527335
2024-07-11,74.97,76.44,74.7,76.08,5797584
2024-07-12,76.32,76.7001,75.18,75.38,6543509
2024-07-15,73.61,76.1,73.36,75.07,10069319
2024-07-16,70.21,70.71,67.39,67.43,34310850
2024-07-17,66.26,66.6,61.01,63.8,42877566
2024-07-18,62.89,63.4,61.85,62.27,21576167
2024-07-19,62.67,62.78,61.32,62.08,14768627
2024-07-22,62.94,64.89,62.87,64.75,16727152
2024-07-23,64.64,66.37,64.64,65.14,14758591
2024-07-24,65.31,66.39,64,64.08,11836521
2024-07-25,64.39,66.89,64.39,66.24,12194250
2024-07-26,66.54,67.4,66.48,66.6,11168799
2024-07-29,65.97,66.39,65.04,65.3,9962882
2024-07-30,65.92,65.99,64.17,64.91,8022574
2024-07-31,65.32,65.56,64.57,65.19,6982733
2024-08-01,65.2,65.55,63.405,63.71,9895981
2024-08-02,62.74,64.1,62.13,63.39,10258521
2024-08-05,61.62,62.92,61.1506,62.29,7873798
2024-08-06,62.42,63.77,61.58,62.8,7691941
2024-08-07,63.54,63.95,62.075,62.22,7331055
2024-08-08,62.79,63.19,62.13,62.78,6138735
2024-08-09,62.38,62.8,62.08,62.41,4255160
2024-08-12,62.69,62.78,61.21,61.77,6993993
2024-08-13,61.97,62.51,61.32,62.49,8774010
2024-08-14,63.75,65.96,63.16,65.36,15942067
2024-08-15,66,66.38,64.59,65.23,7612773
2024-08-16,65.02,65.57,64.925,65.55,5335188
2024-08-19,65.58,66.145,65.31,65.58,4303599
2024-08-20,65.5,65.63,64.72,64.84,5381434
2024-08-21,65,65.11,64.21,64.57,7814383
2024-08-22,62.675,64.5,62.6,64.27,19988762
2024-08-23,64.7,65.13,63.75,64.39,13127823
2024-08-26,64.65,65.2964,64.15,64.48,7439339
2024-08-27,64.36,64.4699,63.705,63.91,7006043
2024-08-28,63.91,64.425,63.21,63.98,8135498
2024-08-29,64.29,65.04,63.83,64.93,6429705
2024-08-30,65.1,65.54,64.54,65.1,6549183
2024-09-03,64.22,65,64.15,64.79,6540792
2024-09-04,64.8,65.06,63.38,63.9,5489875
2024-09-05,64.54,64.66,63.4,63.69,5552141
2024-09-06,63.77,64.36,62.45,62.9,8331675
2024-09-09,63.54,63.64,62.8616,63.01,6247119
2024-09-10,63.16,63.16,61.83,63.06,8567949
2024-09-11,62.8,63.6595,61.49,63.41,8781343
2024-09-12,63.46,63.67,61.16,61.74,10626193
2024-09-13,62,62.77,61.81,62.12,10840600
2024-09-16,63.01,64.1,62.37,63.69,11797162
2024-09-17,63.57,64.41,63.42,63.84,8158192
2024-09-18,63.56,64.49,63.2501,63.56,8802809
2024-09-19,64.29,65.1,63.36,64.76,9825513
2024-09-20,65.69,65.97,64.53,65.39,12332380
2024-09-23,65.62,65.84,64.815,64.93,5872886
2024-09-24,64.83,65.1,64.285,64.58,6030106
2024-09-25,64.51,64.79,63.72,64.04,5097545
2024-09-26,64.09,64.535,63.59,63.84,7602066
2024-09-27,64.05,64.575,63.7227,64.42,6521248
2024-09-30,64.34,64.85,64.23,64.81,6079979
2024-10-01,64.62,64.68,63.45,63.91,6331489
2024-10-02,63.83,64.1678,63.214,63.35,4817375
2024-10-03,63,63.68,62.41,63.4,8144374
2024-10-04,64.17,64.99,64.07,64.75,7144429
2024-10-07,64.48,65.4,64.16,64.29,7060225
2024-10-08,64.53,65.08,64.26,64.9,7510076
2024-10-09,65.25,66.73,64.97,66.7,11115649
2024-10-10,66.4,67.16,66.2504,66.65,6463318
2024-10-11,66.96,68.0901,66.81,67.68,7369930
2024-10-14,67.86,68.345,67.54,67.82,7672196
2024-10-15,72.6,73.92,71.42,71.96,21705731
2024-10-16,72.68,74.18,71.71,72.08,13643735
2024-10-17,72.52,72.71,71.755,71.91,8717821
2024-10-18,72.58,72.61,71.19,71.36,8948366
2024-10-21,71.2,71.254,70.48,70.87,5438513
2024-10-22,70.82,71.05,69.925,70.91,5559567
2024-10-23,70.835,71.99,70.74,71.71,6593984
2024-10-24,71.9,72.65,71.32,72.59,6727594
2024-10-25,72.76,72.91,71.52,71.82,4503918
2024-10-28,72.27,72.5837,71.65,72.04,5758736
2024-10-29,72.16,72.46,71.87,71.89,6006317
2024-10-30,71.75,72.25,70.96,71.1,6426075
2024-10-31,70.72,71.55,70.48,70.83,6997051
2024-11-01,70.95,71.365,70.42,70.94,6266153
2024-11-04,70.94,71.15,70.2923,70.96,3924602
2024-11-05,70.43,71.4,70.3802,71.31,4232106
2024-11-06,74.57,76.23,73.41,75.75,16218392
2024-11-07,75.64,75.64,72.9,73.17,10380229
2024-11-08,73.46,74.99,73.1333,73.9,8728207
2024-11-11,75.05,77.9625,75.005,77.85,13162847
2024-11-12,77.405,78.54,77.405,78.19,10244780
2024-11-13,77.82,79.05,77.75,78.25,8731464
2024-11-14,82.15,82.5,79.81,80.19,14718015
2024-11-15,80,81,79.89,80.64,9372796
2024-11-18,81,81.88,80.39,81.39,9448608
2024-11-19,80.385,80.73,79.9001,80.19,6549282
2024-11-20,79.69,80.52,79.42,80.46,6613684
2024-11-21,80.28,81.695,80.22,80.8,5081846
2024-11-22,80.9395,81.77,80.81,81.26,7737956
2024-11-25,81.95,82.4,81.11,81.77,13029512
2024-11-26,81.76,82.33,81.23,82.25,5121077
2024-11-27,81.79,82.655,81.79,82.6,3977499
2024-11-29,82.86,83.35,82.635,82.76,3201579
2024-12-02,82.76,83.05,81.34,81.39,5658518
2024-12-03,81.875,81.97,80.88,81.12,4840172
2024-12-04,80.815,81.685,80.185,81.51,6035356
2024-12-05,80.01,82.23,80,81.81,6796947
2024-12-06,81.71,82.17,81.41,81.47,5071471
2024-12-09,82.375,82.82,80.95,81.51,9564266
2024-12-10,81.51,83.125,81.23,82.32,5923662
2024-12-11,82.5,82.72,81.9201,82.41,6323776
2024-12-12,82.68,83.3,82.4,82.85,7469481
2024-12-13,82.76,83.08,78.7128,79.54,14089420
2024-12-16,79.8,79.99,77.67,77.94,12314038
2024-12-17,77.51,77.815,76.58,76.76,8409445
2024-12-18,76.76,77.165,73.51,73.97,14116670
2024-12-19,74.51,75.1611,73.4,73.62,9749009
2024-12-20,73.57,75,73.32,74.31,12322449
2024-12-23,73.995,74.74,73.74,74.71,6863597
2024-12-24,74.71,74.86,74.12,74.84,2150265
2024-12-26,74.55,75.1106,74.445,75.05,2926975
2024-12-27,74.67,75.15,74.17,74.74,3967595
2024-12-30,74.24,74.32,73.32,73.93,5321733
2024-12-31,74.03,74.35,73.68,74.01,4082367
2025-01-02,74.38,74.6,73.28,73.84,5870169
2025-01-03,74.2,74.51,73.32,74.45,4541840
2025-01-06,74.56,75.86,74.29,74.48,7435090
2025-01-07,74.96,75.029,71.45,72.26,12617618
2025-01-08,72.715,73.03,71.785,73,9576686
2025-01-10,71.915,73.46,71.4801,72.77,10866902
2025-01-13,72.5,72.75,71.85,72.66,6701543
