Date,Open,High,Low,Close,Volume
2024-03-25,11.8,11.89,11.74,11.84,720275
2024-03-26,11.82,11.89,11.815,11.86,1389955
2024-03-27,11.85,11.86,11.71,11.81,1002418
2024-03-28,11.76,11.81,11.75,11.77,1589434
2024-04-01,11.44,11.45,11.34,11.43,1017539
2024-04-02,11.35,11.4099,11.31,11.36,976529
2024-04-03,11.46,11.625,11.46,11.6,622274
2024-04-04,11.72,11.74,11.54,11.55,935939
2024-04-05,11.54,11.62,11.5,11.56,765741
2024-04-08,11.65,11.78,11.65,11.7,1774117
2024-04-09,11.7,11.73,11.6,11.63,1373268
2024-04-10,11.52,11.6,11.47,11.54,823487
2024-04-11,11.75,11.79,11.655,11.76,1351291
2024-04-12,11.56,11.6,11.48,11.51,1014904
2024-04-15,11.61,11.73,11.52,11.52,2548045
2024-04-16,11.24,11.24,11.145,11.17,1277327
2024-04-17,11.17,11.17,11.05,11.1,853178
2024-04-18,11.16,11.215,11.12,11.14,1102987
2024-04-19,11.15,11.2,11.14,11.16,946635
2024-04-22,11.28,11.35,11.265,11.31,898093
2024-04-23,11.37,11.43,11.36,11.41,723352
2024-04-24,11.4,11.41,11.32,11.38,639145
2024-04-25,11.3,11.38,11.255,11.38,508552
2024-04-26,11.26,11.29,11.18,11.22,802020
2024-04-29,11.28,11.33,11.25,11.32,785900
2024-04-30,11.43,11.45,11.32,11.32,814150
2024-05-01,11.39,11.4593,11.33,11.36,709694
2024-05-02,11.44,11.47,11.405,11.44,417235
2024-05-03,11.52,11.59,11.5,11.56,708545
2024-05-06,11.61,11.63,11.58,11.61,499338
2024-05-07,11.58,11.595,11.51,11.54,758015
2024-05-08,11.39,11.46,11.34,11.44,797291
2024-05-09,11.47,11.53,11.46,11.51,574280
2024-05-10,11.57,11.61,11.57,11.6,408761
2024-05-13,11.73,11.73,11.63,11.66,1050578
2024-05-14,11.69,11.81,11.68,11.81,576916
2024-05-15,12.27,12.345,12.23,12.27,1314540
2024-05-16,12.1,12.13,12.01,12.02,1038526
2024-05-17,12.45,12.57,12.41,12.53,1168519
2024-05-20,12.64,12.71,12.61,12.64,803859
2024-05-21,12.64,12.67,12.61,12.65,913509
2024-05-22,12.6,12.6,12.483,12.51,719650
2024-05-23,12.52,12.54,12.39,12.42,724279
2024-05-24,12.5,12.56,12.49,12.56,464173
2024-05-28,12.78,12.88,12.78,12.81,894523
2024-05-29,12.68,12.705,12.615,12.64,570530
2024-05-30,12.89,12.89,12.785,12.82,681920
2024-05-31,13.09,13.115,13.02,13.11,849801
