Date,Open,High,Low,Close,Volume
2024-03-25,48.23,50.5,48.2,49.44,3649565
2024-03-26,49.19,49.83,49.16,49.75,3615192
2024-03-27,49.67,49.85,49.53,49.54,2529821
2024-03-28,49.25,49.445,48.3,48.6,2415333
2024-04-01,49.07,49.07,48.01,48.29,1297716
2024-04-02,48.21,48.22,47.68,47.7,1305784
2024-04-03,48,48.25,47.78,47.96,1362631
2024-04-04,48.67,48.67,47.795,47.8,1757527
2024-04-05,46.94,47.375,46.89,47.25,1289898
2024-04-08,47.33,47.39,47.1,47.15,1510783
2024-04-09,47.14,47.59,47.07,47.53,3324857
2024-04-10,47.38,47.45,46.96,47.13,2947031
2024-04-11,47.4,47.45,46.2911,46.6,1217944
2024-04-12,45.98,46.16,45.8325,45.93,1693869
2024-04-15,46.76,46.9,46.01,46.24,1997215
2024-04-16,46.03,46.27,45.8,45.8,1356647
2024-04-17,46.33,46.42,45.8797,46.11,3714876
2024-04-18,45.47,45.71,45.22,45.39,4359566
2024-04-19,45.89,46.73,45.81,46.29,3272047
2024-04-22,46.14,47.16,46.12,47.15,2086303
2024-04-23,47.07,48.38,47,47.69,1664860
2024-04-24,47.56,47.57,46.31,46.61,1662201
2024-04-25,48.8,49.83,48.65,49.36,6469838
2024-04-26,48.84,49.47,48.17,49.13,4148180
2024-04-29,49.17,49.495,49.01,49.09,3286189
2024-04-30,49.57,49.885,49.22,49.23,3182534
2024-05-01,49.17,50.37,48.85,50.03,1363472
2024-05-02,49.04,49.47,48.27,49.46,4596609
2024-05-03,49.48,49.595,48.97,49.01,1113911
2024-05-06,49.25,49.45,48.98,49.33,1187885
2024-05-07,49.42,49.82,49.3481,49.57,1243281
2024-05-08,50.23,50.36,49.9508,50.1,1604076
2024-05-09,48.19,48.82,48.1,48.69,1122012
2024-05-10,48.8,49.28,48.7,49.28,1062734
2024-05-13,49.82,50.31,49.76,50.21,1254461
2024-05-14,49.09,49.835,49.08,49.5,2757468
2024-05-15,49.53,49.685,48.81,49.01,4258023
2024-05-16,49,49.1,48.71,48.82,1963607
2024-05-17,48.61,48.67,48.31,48.67,838711
2024-05-20,48.39,48.76,48.3451,48.42,1273831
2024-05-21,48.6,49,48.59,48.95,725653
2024-05-22,48.71,50.59,48.65,50.36,2119999
2024-05-23,49.5,49.61,48.58,49,2781532
2024-05-24,48.69,48.85,48.44,48.54,1423816
2024-05-28,48.43,48.47,47.8,47.94,1804535
2024-05-29,47.26,47.59,47.19,47.57,1150644
2024-05-30,47.69,48.149,47.5,47.83,1167944
2024-05-31,48.14,49.07,48.11,49.03,2096334
2024-06-03,48.52,49.4,48.5,49.25,1976104
2024-06-04,49.58,49.725,49.041,49.21,1512396
2024-06-05,49.63,49.77,49.07,49.13,1956219
2024-06-06,49.09,49.6,49.03,49.51,1065211
2024-06-07,49.26,49.42,48.94,48.98,1284163
2024-06-10,48.24,48.86,48.11,48.86,3570027
