Date,Open,High,Low,Close,Volume
2024-03-25,69.9,70.1,69.52,69.76,2065233
2024-03-26,69.55,69.72,69.15,69.27,4360519
2024-03-27,69.64,71.07,69.6,71.05,4328426
2024-03-28,71.02,71.905,70.8,71.74,4731193
2024-04-01,71.49,71.7,70.56,71.1,3147543
2024-04-02,71.24,72.08,71.09,71.34,3829581
2024-04-03,71.44,71.71,70.8,70.98,3798424
2024-04-04,70.98,71.37,69.66,70.05,6240921
2024-04-05,69.55,70.16,69.1583,69.91,5302559
2024-04-08,69.76,70.32,69.63,70.06,3400339
2024-04-09,70.36,70.6,69.86,70.59,4811688
2024-04-10,69.37,69.9098,68.97,69.77,8425060
2024-04-11,70.11,70.11,68.96,69.58,3297590
2024-04-12,69.84,69.93,68.32,68.73,4818437
2024-04-15,68.99,69.48,67.95,68.39,3974105
2024-04-16,68.24,68.24,67.53,67.77,4426792
2024-04-17,68.09,69.98,68.02,69.8,6705788
2024-04-18,70,70.69,69.43,70.57,4602141
2024-04-19,70.87,72.18,70.7,72.15,6549238
2024-04-22,71.9,73.149,71.66,72.98,5387553
2024-04-23,72.97,73.77,72.55,73.25,6054440
2024-04-24,72.75,74.22,72.11,73.91,5661791
2024-04-25,73.87,74.85,73.215,74.37,6164493
2024-04-26,74.37,74.44,73.14,73.21,5478762
2024-04-29,73.67,74.48,73.67,74.39,3852228
2024-04-30,73.91,74.55,73.23,73.5,5271494
2024-05-01,73.375,75.13,73.2,74.52,5241882
2024-05-02,75.01,75.92,74.635,75.33,5468360
2024-05-03,75.85,75.98,74.91,75.85,4578202
2024-05-06,75.51,76.28,74.88,75.47,8062133
2024-05-07,75.2,77.07,75.2,76.95,8919697
2024-05-08,76.89,77.77,76.66,77.63,6695181
2024-05-09,77.59,78.295,77.1,78.25,5542603
2024-05-10,78.69,78.74,77.84,78.14,4939759
2024-05-13,78.5,78.94,78.34,78.7,4420295
2024-05-14,79,79.16,78.37,78.71,5224306
2024-05-15,79.11,79.77,79.03,79.29,4130014
2024-05-16,79.23,79.85,79.23,79.38,5718812
2024-05-17,78.67,79.68,78.23,79.54,4833749
2024-05-20,79.68,79.7,78.97,79.19,2984142
2024-05-21,79.31,80.14,79.25,79.78,3694089
2024-05-22,79.32,79.61,78.56,78.69,3356215
2024-05-23,78.33,78.34,77.115,77.17,3889953
2024-05-24,77.33,77.82,77.25,77.75,2424732
2024-05-28,77.56,78.33,77.28,77.54,2941821
2024-05-29,77.05,77.38,76.64,77.2,4413800
2024-05-30,77.4,78.1,76.87,78.08,4238121
2024-05-31,78.33,80.23,78.15,80.14,7168035
2024-06-03,79.78,80.49,79.28,80.39,4539793
2024-06-04,80.25,80.84,79.56,80.71,5106570
2024-06-05,80.67,80.67,79.165,79.42,4245697
2024-06-06,79.47,79.875,78.59,78.65,4210920
2024-06-07,78.23,78.61,77.89,77.94,3865793
