Date,Open,High,Low,Close,Volume
2024-03-25,417.44,418.835,412.795,418.48,1342495
2024-03-26,418.94,421.19,417.18,419.49,1331759
2024-03-27,422.96,423.48,418.67,422.81,1252916
2024-03-28,424.52,427.16,422.37,425.45,1881566
2024-04-01,429.09,431.16,426.86,427.09,1682336
2024-04-02,426.58,427.2,422.6806,426.11,1409100
2024-04-03,424.93,426.95,424.215,426.46,1027052
2024-04-04,429.12,437.39,427.22,428.42,1588409
2024-04-05,428.33,432.11,424.025,431.59,1158022
2024-04-08,432.02,435.64,431.83,434.11,1049744
2024-04-09,437.39,438.31,432.29,435,739438
2024-04-10,428.79,430.31,423.32,424.04,954413
2024-04-11,424.26,425.99,422.04,422.92,1129158
2024-04-12,419.23,421.94,416.45,417.81,1182229
2024-04-15,421.83,422.64,408.26,409.56,1054066
2024-04-16,409.25,413.51,407.75,408.56,1058852
2024-04-17,411.39,413.94,409.51,412.11,851067
2024-04-18,414.96,415.78,408.395,413.37,1155181
2024-04-19,414.69,414.85,409.905,412.56,1138194
2024-04-22,415,417.9,413.04,416.93,1168550
2024-04-23,417.04,418.185,411.375,413.26,2356251
2024-04-24,412.13,414.58,408.95,413.28,3357530
2024-04-25,428.04,429.99,407.69,415.5,2419060
2024-04-26,416.01,418.855,412.85,415.78,1611466
2024-04-29,418,418,414.41,415.31,1667261
2024-04-30,414.9,417.35,410.48,415.83,2004273
2024-05-01,413.86,421.05,413.86,416.2,1083082
2024-05-02,417.54,419.24,408.84,416.96,1222004
2024-05-03,421.96,425.37,420.52,425.18,1917839
2024-05-06,427.39,427.77,420.8855,425.76,1316550
2024-05-07,425.1,428.81,425.1,428.56,795106
2024-05-08,428.4,430.4,427.465,429.21,748992
2024-05-09,429.09,432.43,428.68,432.29,1289369
2024-05-10,433.75,435.26,431.14,431.57,859036
2024-05-13,432.48,433.58,427.62,428.01,1135347
2024-05-14,428.01,429.74,420.37,428.03,1692636
2024-05-15,429.31,435.97,428.13,435.7,1272200
2024-05-16,435.86,440.86,432.33,438.02,1105952
2024-05-17,439.68,442.1,437.14,441.88,1236193
2024-05-20,439.54,441.57,437,437.74,1080006
2024-05-21,437.74,441.23,436.9,439.87,1516040
2024-05-22,439.84,442.62,438.57,442.3,922680
2024-05-23,441.13,441.13,434.97,436.28,1142337
2024-05-24,437.9,439.9,435.01,438.24,661893
2024-05-28,436.46,437.67,429,431,1199973
2024-05-29,426.27,428.39,424.09,424.96,870962
2024-05-30,424.15,424.79,420.3,421.59,1086288
2024-05-31,421.98,427.71,419.49,427.51,1849656
2024-06-03,428.44,432.27,424.82,429.26,1230051
2024-06-04,428.99,433.4201,427.27,431.84,657559
2024-06-05,432.72,436.99,427.835,436.29,879872
2024-06-06,437.38,438.95,434.1,434.66,613128
2024-06-07,431.67,432.89,428.225,428.74,810159
2024-06-10,427.66,430.26,425.49,430,694665
2024-06-11,429.91,429.91,427.19,428.81,1148234
2024-06-12,434.2,441.81,432.11,440.25,1219007
2024-06-13,440,440.67,435.37,437.19,689589
2024-06-14,434.73,436,429.875,434.4,789413
2024-06-17,432.29,434.82,429.87,433.3,765999
2024-06-18,434.04,436.21,431.4,435.85,983460
2024-06-20,436.15,440.33,434.47,438.71,1006596
2024-06-21,438.68,440.23,436,439.22,1367436
2024-06-24,440.5,446.55,438.34,444.97,958493
2024-06-25,445.79,449.24,442.77,448.78,999134
2024-06-26,446.32,449.12,443.56,448.36,1630769
2024-06-27,450,450.975,446.45,448.91,1100954
2024-06-28,446.6,447.97,442.03,446,3028270
2024-07-01,448.38,451.11,444.09,446.32,1079599
2024-07-02,446.36,450.77,446.36,450.45,731357
2024-07-03,449.86,451.64,448.57,449.44,462147
2024-07-05,451.37,454.05,448.01,453.27,777064
2024-07-08,454.24,457.06,453.52,455.89,833067
2024-07-09,458.77,461.38,456.8401,460.3,892307
2024-07-10,461.35,466.06,458.4,466,1233385
2024-07-11,466.88,473.26,466.88,473.22,1376174
2024-07-12,474.71,481.17,474,478.32,1355550
2024-07-15,478.9,483.22,477.2,482.55,1083514
2024-07-16,484.5,488.845,482.74,488.79,1215164
2024-07-17,488.43,489.96,486.01,489.87,1411248
2024-07-18,487.89,491.4845,484.15,484.69,1250271
2024-07-19,485.38,485.54,478.98,479.84,1094592
2024-07-22,484.93,487.98,481.98,487.32,1094720
2024-07-23,487.86,498.15,487.1,495.56,1024181
2024-07-24,494.9,496.575,480.21,481.66,1091192
2024-07-25,478.04,492,476.97,483.33,785691
2024-07-26,486.7,492.67,484.7,489.82,823325
2024-07-29,491.48,493.31,488.51,489.83,1122546
2024-07-30,495.6,502.95,480.65,488.51,1400000
2024-07-31,491.55,492.7,481.21,484.73,1644687
2024-08-01,489.91,491.6,486.135,490.53,1049106
2024-08-02,485.85,489.73,480.12,486.04,1214394
2024-08-05,477.33,477.885,467.69,471.99,1562642
2024-08-06,474.98,487.165,473.33,479.48,1473522
2024-08-07,483.81,490.43,477.42,478.12,1305967
2024-08-08,478.79,488.155,477.29,487.19,932212
2024-08-09,488,490.2,485.52,488.51,611235
2024-08-12,488.43,489.99,483.48,484.47,731868
2024-08-13,488.56,491.16,486.295,489.69,639981
2024-08-14,489.01,493.445,487.84,492.65,736224
2024-08-15,494.02,497.47,491.5825,492.93,778515
2024-08-16,494,494.15,489.015,490.87,1012874
2024-08-19,491.89,495.895,491.89,495.74,972861
2024-08-20,497.76,499.31,495.99,497.86,2046926
2024-08-21,497.86,499.29,495.46,498.98,857178
2024-08-22,498.98,500.72,496.7,498.72,1347711
2024-08-23,500.48,502.7336,497.8,500.59,679849
2024-08-26,502.43,505.85,501.23,502.02,850832
2024-08-27,500.33,506.79,499.63,505.39,1123390
2024-08-28,505.36,510.29,500.55,505.27,1368284
2024-08-29,506.42,511.8796,505.01,508.05,1096285
2024-08-30,509.65,514,507.2,513.24,1245375
2024-09-03,514.98,517.46,506.9859,510.8,1059363
2024-09-04,510.97,513.95,509.17,513.31,781256
2024-09-05,514.8,518.59,513.72,517,1171677
2024-09-06,517.09,521.5,510.12,510.64,1037683
2024-09-09,514.79,519.87,513.55,515.83,937916
2024-09-10,517.7,520.98,513.66,519.95,972239
2024-09-11,516.95,517.71,504.5,515.81,1176131
2024-09-12,514.13,521.005,512.59,520.01,889675
2024-09-13,522,524.14,518.07,519.45,1148777
2024-09-16,521.86,528.02,520.62,527.38,1015789
2024-09-17,525.1,525.825,517.58,522.38,1124036
2024-09-18,520.64,525.27,516.02,519.52,951103
2024-09-19,525,526.8,522.081,524.22,936381
2024-09-20,523.39,525.23,520,523.67,1814714
2024-09-23,520.02,527.84,518.12,521.08,960811
2024-09-24,517.28,519.505,513.01,518.11,1070887
2024-09-25,519.51,522.06,513.16,514.82,931132
2024-09-26,513.24,515.93,509.26,511.7,1209354
2024-09-27,511.6,516.6811,511.19,512.72,806724
2024-09-30,510.8,517.465,510.31,516.62,1000065
2024-10-01,518.64,518.87,511.45,512.22,978395
2024-10-02,514.07,516.65,511.05,514.71,962333
2024-10-03,514.57,516.98,513.43,514.6,753947
2024-10-04,513.58,516.14,508.3501,512.17,683778
2024-10-07,512.55,513.56,505.14,506.42,816052
2024-10-08,511.32,519.56,510.46,518.35,1005353
2024-10-09,519,524.35,518.56,521.47,819229
2024-10-10,519.95,521.49,513.95,515.12,719164
2024-10-11,517.52,522.72,516.67,522.01,662119
2024-10-14,522.56,528.535,522.56,527.52,639248
2024-10-15,530,533.29,527.83,528.45,1298371
2024-10-16,524.86,529.61,522.01,529,628964
2024-10-17,531.74,532,515.21,518.96,1447631
2024-10-18,523.91,525.58,520.88,524.8,1831979
2024-10-21,521.17,524.75,518.69,523.19,808176
2024-10-22,519.06,519.375,510.63,513.52,1316361
2024-10-23,513.5,514.55,509.595,510.92,1023251
2024-10-24,499,504.42,492.04,493.21,1761343
2024-10-25,497.59,498.93,488.64,490.61,984517
2024-10-28,493.85,494.93,486.31,487.24,1303620
2024-10-29,487.69,489.82,486.03,486.75,1615523
2024-10-30,487.63,490.585,484.75,485.94,1109398
2024-10-31,484.87,485.88,480.03,480.36,1326736
2024-11-01,481.87,487.23,480.88,483.31,940345
2024-11-04,483.93,486.7493,482.9202,485.77,1908729
2024-11-05,485.97,489.82,484.84,489.71,1879497
2024-11-06,503.62,503.62,477.29,489.99,2389611
2024-11-07,494.72,498.32,492.31,497.1,1314775
2024-11-08,497.24,507.49,497.24,502.82,1343093
2024-11-11,500.32,509.96,500.01,507.26,1125668
2024-11-12,507.305,508.05,503.21,503.47,1035111
2024-11-13,504.56,515.7967,503.535,510.29,1098395
2024-11-14,512.75,515.7336,510.289,510.64,794242
2024-11-15,507.105,510.79,502.06,503.29,1187616
2024-11-18,501.645,504.73,499.15,503,1449874
2024-11-19,501.4,505.88,499.8,502.31,1403007
2024-11-20,502.61,507.47,496.13,503.13,1258413
2024-11-21,504.32,513.56,504.32,511.37,1159515
2024-11-22,510.05,517.42,510,514.46,1230025
2024-11-25,516.845,520.83,514.81,520.51,1890273
2024-11-26,522.67,524,515.97,521.96,948065
2024-11-27,523.355,526.8199,519.5301,522.86,1391858
2024-11-29,524.425,526.75,521.41,522.51,842466
2024-12-02,522.07,524.29,518.28,522.87,1460402
2024-12-03,524.26,524.9699,517.73,518.19,1253000
2024-12-04,519.705,527.89,519.26,520.26,1295855
2024-12-05,519.23,519.38,511.8,513.89,991987
2024-12-06,514.56,520.58,513.13,516.77,914277
