Date,Open,High,Low,Close,Volume
2024-03-25,353.25,354.24,349.845,351.03,792529
2024-03-26,351.17,352.99,350,350.38,785798
2024-03-27,351.99,359.08,351.89,358.71,1404675
2024-03-28,359.2,359.5,355.685,357.87,1074753
2024-04-01,357.03,357.15,353.39,354.67,760827
2024-04-02,352.29,353.85,348.45,349.38,997013
2024-04-03,350.86,354.88,350.22,351,905918
2024-04-04,354.23,354.59,346.8301,347.38,888870
2024-04-05,348.48,351.67,348.19,351.02,686625
2024-04-08,350.46,350.99,347.41,349.75,786526
2024-04-09,351.11,351.265,347.42,350.91,946487
2024-04-10,348.11,351,345.79,347.33,646025
2024-04-11,349.16,349.42,344.15,346.29,822222
2024-04-12,342.9,344.12,339.31,342.05,1056840
2024-04-15,345.79,346.33,337.97,339.13,1087797
2024-04-16,341.14,341.4325,334.19,337.66,1239358
2024-04-17,338.61,339.395,334.59,336.03,1066062
2024-04-18,336.07,337.03,326.59,327.45,2143604
2024-04-19,330.38,330.38,324.68,325.34,1883872
2024-04-22,327.71,329.43,323.75,327.68,1688622
2024-04-23,328.55,335.12,327,334.91,1430549
2024-04-24,335.28,342.595,334.2,336.85,1515676
2024-04-25,335.84,337.87,333.33,337.15,1615335
2024-04-26,335.19,338.51,334.44,335.61,1063790
2024-04-29,334.67,340.42,334.67,338.87,1528296
2024-04-30,337.65,340.41,336.32,336.5,2480636
2024-05-01,333.58,335.725,320.715,328.12,2766931
2024-05-02,331.68,331.68,322.51,326.63,1846993
2024-05-03,328.65,331.7625,326.701,328.45,1589424
2024-05-06,330.3,331,324.59,325.5,1722244
2024-05-07,327.93,332.39,326.63,332.14,1331236
2024-05-08,331.94,335.395,327.6,329.28,1214050
2024-05-09,330.41,332.7453,329.29,330.86,980439
2024-05-10,331.8,332.815,330.15,330.58,1307926
2024-05-13,331.32,331.32,323.51,324.56,1609587
2024-05-14,324.09,326.0225,322.5,324.3,1712601
2024-05-15,325.91,332.22,324.3,331.99,1989178
2024-05-16,332,335,331.35,333.98,1168494
2024-05-17,334.6,334.98,330.46,334.68,940474
2024-05-20,334.95,335.33,329.21,329.73,1217831
2024-05-21,330.35,331.43,328.58,330.51,1256481
2024-05-22,333.57,336.26,332.46,335.42,1611455
2024-05-23,334.79,335.61,329.87,330.12,943455
2024-05-24,330.69,336.85,330.69,335.54,1230572
2024-05-28,337,339.89,335.77,339.31,1872435
2024-05-29,336.69,344.86,336.2,341.14,1918939
2024-05-30,340.54,342.55,338.915,340.52,1347259
2024-05-31,340.52,342.23,337.35,341.09,2175319
2024-06-03,339.38,341.14,336.88,339.39,1218298
2024-06-04,339,343.825,338.53,342,1729911
2024-06-05,342,346.91,341.51,345.99,1121558
2024-06-06,346.44,349.94,344.52,349.63,1050410
2024-06-07,349.82,351.5605,348.215,349.33,847236
2024-06-10,348.09,348.67,344.76,348.17,898364
2024-06-11,347.92,348.43,341.05,346.4,1129032
2024-06-12,348.08,349.93,345.12,346.41,835076
2024-06-13,345.23,347.3464,341.72,343.02,939195
2024-06-14,343.62,345.07,341.01,344.98,746530
2024-06-17,343.21,345.2,341.74,344.7,815848
2024-06-18,345,348.93,344.455,348.67,839609
2024-06-20,348.14,349,340.666,341.35,1670398
2024-06-21,343.28,343.28,339.41,342.64,1837959
2024-06-24,342.94,345.83,339.02,339.07,1040845
2024-06-25,339.82,340.76,336.265,339.55,892402
2024-06-26,338.16,341.77,336.12,340.51,1140399
2024-06-27,341.37,343.755,339.45,340.54,723354
2024-06-28,341,342.76,338.08,340.25,1894420
2024-07-01,341.2,344.9433,335.49,336.5,778896
2024-07-02,335.41,337.69,332.01,334.3,844126
2024-07-03,334,334.71,331.76,332.02,522400
2024-07-05,334.23,337.34,330.2,337.25,1007929
2024-07-08,336.27,337.21,333.5,334.11,585985
2024-07-09,335.28,336.66,332.79,335.57,789570
2024-07-10,336.2,337.39,333.75,337.34,729566
2024-07-11,336.92,339.92,336.56,338.09,852737
2024-07-12,338.07,340.99,336.2,339.37,835719
2024-07-15,338.53,338.58,327.82,328.56,1363394
2024-07-16,328.9,333.76,328.01,333.43,1336432
2024-07-17,332.81,344.49,331.275,334.64,1246310
2024-07-18,330.94,337.08,330.17,331.23,920353
2024-07-19,333.37,341.39,331.97,340.95,2421857
2024-07-22,342.12,344.19,339.38,342.39,1136559
