Date,Open,High,Low,Close,Volume
2024-03-25,17.035,17.13,16.965,17.12,30944596
2024-03-26,17.13,17.28,17.045,17.18,33048622
2024-03-27,17.29,17.59,17.29,17.55,37488391
2024-03-28,17.55,17.7,17.52,17.6,33461501
2024-04-01,17.19,17.535,17.15,17.5,31980058
2024-04-02,17.48,17.695,17.48,17.52,40169511
2024-04-03,17.59,17.71,17.49,17.61,38155914
2024-04-04,17.62,17.88,17.56,17.57,31850269
2024-04-05,17.52,17.54,17.28,17.42,37768986
2024-04-08,17.4,17.46,17.215,17.25,27372186
2024-04-09,17,17.08,16.81,16.9,32802499
2024-04-10,16.77,16.79,16.51,16.73,39046811
2024-04-11,16.67,16.695,16.42,16.42,40831195
2024-04-12,16.41,16.46,16.2525,16.31,41785200
2024-04-15,16.46,16.54,16.13,16.24,40249909
2024-04-16,16.22,16.23,15.9401,16.09,56368796
2024-04-17,16.11,16.25,16.06,16.12,27177523
2024-04-18,16.11,16.345,16.09,16.33,29566457
2024-04-19,16.33,16.525,16.26,16.51,45813230
2024-04-22,16.69,16.73,16.17,16.31,54178101
2024-04-23,16.38,16.53,16.29,16.5,47804980
2024-04-24,16.9,17.03,16.38,16.81,74197830
2024-04-25,16.7,17,16.5,16.58,46680422
2024-04-26,16.47,16.88,16.39,16.75,37852681
2024-04-29,16.99,17.28,16.99,17.02,43593396
2024-04-30,16.91,16.98,16.8,16.89,31822752
2024-05-01,16.83,17.1,16.78,16.92,39355576
2024-05-02,16.99,16.99,16.73,16.82,32204956
2024-05-03,16.82,16.92,16.73,16.85,24023192
2024-05-06,16.95,17.04,16.91,16.99,24182291
2024-05-07,17.06,17.21,17,17.08,28086765
2024-05-08,17.03,17.2,17,17.11,25292093
2024-05-09,17.1,17.19,17.04,17.18,22547745
2024-05-10,17.2,17.22,17.12,17.17,19229583
2024-05-13,17.18,17.34,17.15,17.26,28014807
2024-05-14,17.28,17.34,17.22,17.3,23545315
2024-05-15,17.35,17.44,17.18,17.33,30877916
2024-05-16,17.31,17.37,17.15,17.3,24686192
2024-05-17,17.4,17.41,17.26,17.4,25891151
2024-05-20,17.38,17.56,17.355,17.52,28266552
2024-05-21,17.51,17.52,17.14,17.27,31173261
2024-05-22,17.19,17.51,17.185,17.5,30647457
2024-05-23,17.4,17.51,17.32,17.47,32477713
2024-05-24,17.49,17.61,17.4201,17.5,24995960
2024-05-28,17.46,17.525,17.2,17.27,25458305
2024-05-29,17.25,17.31,17.11,17.12,23503818
2024-05-30,17.17,17.64,17.16,17.62,33266527
2024-05-31,17.53,18.27,17.47,18.22,67619456
2024-06-03,18.13,18.33,17.96,18.01,38332732
2024-06-04,17.97,18.36,17.9,18.35,30089135
2024-06-05,18.31,18.32,18.16,18.3,28101804
2024-06-06,18.29,18.45,18.22,18.28,22319231
2024-06-07,18.22,18.22,17.97,18.1,36626732
2024-06-10,18,18.04,17.75,17.86,32419553
2024-06-11,17.84,17.95,17.725,17.86,29956969
2024-06-12,17.99,18.04,17.57,17.61,35652177
2024-06-13,17.545,17.68,17.42,17.67,30691967
2024-06-14,17.59,17.745,17.49,17.64,22652283
2024-06-17,17.56,17.7,17.49,17.67,27451581
2024-06-18,17.88,18.2,17.86,18.05,33711093
2024-06-20,17.94,18.16,17.9,18.11,32100613
2024-06-21,18.17,18.455,18.07,18.4,72567207
2024-06-24,18.42,18.7,18.4,18.65,42162152
2024-06-25,18.64,18.73,18.53,18.69,34090642
2024-06-26,18.64,18.81,18.61,18.76,32029654
2024-06-27,18.78,18.79,18.61,18.75,28916349
2024-06-28,18.8,19.13,18.78,19.11,52825162
2024-07-01,19.24,19.32,18.83,18.98,36095656
2024-07-02,18.98,19,18.68,18.82,31606880
2024-07-03,18.88,18.915,18.66,18.68,19462997
2024-07-05,18.7,18.8,18.645,18.77,30727771
2024-07-08,18.84,18.9,18.69,18.81,23277383
2024-07-09,18.82,18.98,18.705,18.8,27840906
2024-07-10,18.57,18.75,18.46,18.74,33408233
2024-07-11,18.7,18.87,18.62,18.86,23633151
