Date,Open,High,Low,Close,Volume
2024-03-25,59.79,60.125,59.535,59.6,3010220
2024-03-26,60.04,60.09,59.63,59.63,1981560
2024-03-27,59.93,60.64,59.8,60.64,1946495
2024-03-28,60.78,60.82,60.13,60.38,3079479
2024-04-01,60.36,60.47,59.87,60.24,1911409
2024-04-02,60.08,60.16,59.19,59.38,1906775
2024-04-03,59.34,60.15,59.29,59.61,1791760
2024-04-04,60.14,60.55,59.58,59.82,5610245
2024-04-05,59.66,59.67,58.88,59.32,4395712
2024-04-08,58.73,59.19,58.67,58.77,8232751
2024-04-09,59.17,59.41,58.62,59.07,2343324
2024-04-10,58.43,58.54,57.27,57.58,3530815
2024-04-11,57.52,57.915,56.84,57.78,4076570
2024-04-12,57.33,57.49,56.59,56.83,2637644
2024-04-15,57.38,57.56,56.35,56.57,2921734
2024-04-16,56.32,56.41,55.855,56.13,2805446
2024-04-17,56.76,57.11,56.27,56.82,2417572
2024-04-18,56.94,57.4262,56.82,57.25,2912370
2024-04-19,57.32,58.23,57.14,58.1,3750412
2024-04-22,58.15,58.73,58.15,58.56,5891042
2024-04-23,58.66,58.96,58.43,58.92,2028913
2024-04-24,58.74,58.81,58.35,58.67,1594046
2024-04-25,58.14,59.15,58.115,59.11,5682239
2024-04-26,59.18,59.44,58.895,59.38,2542598
2024-04-29,59.26,59.5,58.955,59.33,2009986
2024-04-30,58.98,59.44,58.91,59.32,2183605
2024-05-01,59.08,59.405,58.68,58.69,2792343
2024-05-02,59.02,59.18,57.96,58.08,5515957
2024-05-03,58.3,58.56,54.115,54.66,8094543
2024-05-06,54.2,55.9,54.18,54.97,5679549
2024-05-07,55.14,55.74,55.08,55.32,3546759
2024-05-08,55.15,56.115,55.13,56.01,2318721
2024-05-09,55.97,56.35,55.92,56.13,2358604
2024-05-10,56.35,56.8,56.29,56.62,3927323
2024-05-13,56.98,57.18,56.565,56.76,1988447
2024-05-14,56.97,57.37,56.63,56.72,2761303
2024-05-15,56.9,57.12,56.52,56.89,1992295
2024-05-16,56.9,57.07,56.74,56.88,2016138
2024-05-17,57.02,57.38,56.715,57.24,2552836
2024-05-20,57.24,57.4,56.8,56.81,805516
2024-05-21,56.67,57.39,56.61,56.86,1800758
2024-05-22,56.55,56.67,55.985,56.1,2275514
2024-05-23,56.91,57.05,54.59,55.01,5549500
2024-05-24,55.46,56.82,55.4,56.56,2701031
2024-05-28,56.52,56.58,55.39,55.53,2160814
2024-05-29,55.03,55.03,54.52,54.66,2644743
2024-05-30,54.66,55.295,54.65,54.96,2032189
2024-05-31,55.16,55.945,55.01,55.92,2919256
2024-06-03,55.94,56.21,54.94,55.32,3775465
2024-06-04,54.87,55.745,54.71,55.63,2314686
2024-06-05,55.71,55.99,55.39,55.97,2116761
2024-06-06,55.87,56.28,55.73,56.05,1678251
2024-06-07,55.49,55.81,55.47,55.59,1351777
2024-06-10,55.32,55.44,54.89,55.21,1347539
2024-06-11,55,55,54.64,54.79,2271284
2024-06-12,55.45,55.73,55.08,55.17,2010516
2024-06-13,55,55.1,53.95,54.3,2883971
2024-06-14,53.93,54.29,53.52,54.24,2070427
2024-06-17,54.14,54.24,53.56,53.85,1922263
2024-06-18,53.78,54.585,53.73,54.22,2064415
2024-06-20,53.99,54.3,53.88,54.02,2928592
2024-06-21,53.79,54.26,53.75,54.02,3800750
2024-06-24,54.17,55.22,54.04,55.22,3982339
2024-06-25,54.91,55.07,54.635,54.7,1588526
2024-06-26,54.27,54.725,54.075,54.7,1818322
2024-06-27,54.73,55.06,54.6,54.87,2510726
2024-06-28,55.07,55.19,54.74,54.96,1830757
2024-07-01,55.2,55.31,54.51,54.54,917283
2024-07-02,54.63,55.35,54.54,55.28,3627585
2024-07-03,55.3,56.14,55.3,55.7,3164043
2024-07-05,55.91,56.07,55.2,55.23,2263640
2024-07-08,55.28,55.685,55.25,55.64,8095683
2024-07-09,55.56,55.9,55.38,55.9,4576942
2024-07-10,55.18,55.94,55.08,55.82,4055324
2024-07-11,56.04,56.33,55.8,56.3,2140722
2024-07-12,56.37,56.92,56.27,56.75,1772936
2024-07-15,56.9,57.44,56.75,57.25,3418386
2024-07-16,57.11,58.42,56.93,58.41,2350704
2024-07-17,58.06,58.655,57.95,58.45,3888917
