Date,Open,High,Low,Close,Volume
2024-03-25,99.53,99.59,98.14,98.18,6915521
2024-03-26,98.25,99.39,98.21,99.3,5256995
2024-03-27,100.08,101.61,100.08,101.08,5461791
2024-03-28,101.22,102.039,100.885,101.42,4778175
2024-04-01,101.05,101.16,99.36,99.7,3731319
2024-04-02,99.37,99.52,98.59,99.47,4350074
2024-04-03,99.41,99.71,97.15,97.28,5036200
2024-04-04,97.86,98.2544,95.575,95.75,5660753
2024-04-05,96.16,97.28,95.925,96.81,5866238
2024-04-08,96.47,96.965,96.22,96.23,5390170
2024-04-09,96.98,97.29,96.3,97.1,7992425
2024-04-10,96.61,97.095,96.11,96.28,3910812
2024-04-11,96.18,96.51,94.84,95.86,4845190
2024-04-12,94.92,95.335,93.92,94.42,3951575
2024-04-15,95.33,95.43,92.95,92.98,5194979
2024-04-16,93.01,93.89,92.99,93.38,4063743
2024-04-17,94.26,94.26,92.81,93.13,4768378
2024-04-18,93.65,93.7,92.52,92.66,3290813
2024-04-19,93.02,93.39,92.35,93.38,6043942
2024-04-22,94.13,94.61,93.32,94.08,4114541
2024-04-23,94.47,94.67,93.49,94.5,5843642
2024-04-24,94.08,95.49,93.83,95.28,6897233
2024-04-25,97.35,97.48,94.47,96.42,6248858
2024-04-26,96.64,97.88,96.29,96.36,3748411
2024-04-29,96.07,96.29,94.62,94.87,4682350
2024-04-30,94.61,94.91,94.045,94.09,5117134
2024-05-01,93.56,94.42,93.3925,93.82,5363964
2024-05-02,95.5,95.58,94.32,94.91,6314648
2024-05-03,95.27,95.5,94.51,95.11,5894076
2024-05-06,95.42,97.66,95.38,97.45,6229725
2024-05-07,97.6,98.27,97.48,97.92,4749324
2024-05-08,97.8,98.56,97.47,98.5,5814495
2024-05-09,98.7,99.29,98.55,98.91,6000580
2024-05-10,99.27,99.58,98.56,98.81,2906111
2024-05-13,99.07,99.61,98.57,98.75,4146742
2024-05-14,99.02,99.31,98.08,99.04,5709593
2024-05-15,98.5,99.35,98.195,98.48,4246806
2024-05-16,98.82,99.46,98.74,98.92,3592104
2024-05-17,99.21,100.38,98.71,100.29,6467499
2024-05-20,99.55,99.89,97.72,97.79,7054067
2024-05-21,98.4,98.74,97.525,97.7,7664727
2024-05-22,102.1,104.98,100.79,101.12,14857272
2024-05-23,99.66,100.99,99.22,100.16,7430616
2024-05-24,100.89,102.57,100.7,102.14,5625167
2024-05-28,102,102.98,101.33,101.42,5090366
2024-05-29,101.07,101.99,101.01,101.44,5367050
2024-05-30,101.99,104.296,101.8,103.37,9088931
2024-05-31,103.45,104.27,102.9,103.1,26987121
2024-06-03,103.7,105.67,103.7,105.44,7160220
2024-06-04,105.07,105.9499,104.25,105.87,5068209
2024-06-05,106.06,107.82,105.525,107.79,5377026
2024-06-06,107.8,107.95,106.51,106.93,9230051
2024-06-07,107.4,108.58,107.12,107.44,8043391
2024-06-10,107.26,107.52,106.37,107.32,4502860
2024-06-11,107.3,107.4,106.82,107.08,4010637
2024-06-12,107.13,107.66,106.18,107.09,4297720
2024-06-13,107.14,108.46,106.89,108.26,5636575
2024-06-14,107.94,108.82,107.84,108.5,3698667
2024-06-17,108.1,110.58,108.1,110.22,5444889
2024-06-18,110.2,110.71,109.73,110.26,4869143
2024-06-20,110.07,111.34,109.73,110.38,7622172
2024-06-21,110.17,111.11,109.9019,111.01,9238040
2024-06-24,111.11,111.565,110.78,111.05,4657478
2024-06-25,111.12,111.37,109.95,110.67,4070060
2024-06-26,110.27,111.786,110.13,110.54,5966750
