Date,Open,High,Low,Close,Volume
2024-03-25,252.11,253.42,251.04,252.41,196883
2024-03-26,253.89,254.7899,253.39,253.72,214946
2024-03-27,253.7,254.2,250.3301,252.15,242749
2024-03-28,251.14,252.8489,251.14,251.68,124952
2024-04-01,242.85,242.86,240.22,242.15,527985
2024-04-02,239,240.2377,237.96,239.89,296550
2024-04-03,239.5,242.45,239.5,241.78,307482
2024-04-04,243.2,243.6655,239.02,239.16,196284
2024-04-05,239,241.83,238.58,240.74,191129
2024-04-08,243.4,245.84,243.325,244.21,218942
2024-04-09,247.86,248.47,245.68,246.93,232598
2024-04-10,246,246.12,243.86,244.79,214693
2024-04-11,246.5,247.1537,244.4701,246.99,172561
2024-04-12,245.01,245.27,242.63,242.97,207683
2024-04-15,245.71,246.07,241.33,241.67,158402
2024-04-16,236.29,237.37,234.64,236.52,306118
2024-04-17,234.59,235.29,233.01,233.97,306805
2024-04-18,233.73,234.11,231.695,231.84,220216
2024-04-19,229.5,229.79,227.38,228.69,425686
2024-04-22,228.18,231.1525,227.88,230.3,448187
2024-04-23,228.1,230.6439,227.82,230.41,361978
2024-04-24,232.85,233.99,231.83,232.88,273446
2024-04-25,223,225.49,222.385,225.36,319153
2024-04-26,225,226.98,224.57,226.71,242281
2024-04-29,228,228.45,227.18,227.94,228266
2024-04-30,229.94,229.94,227,227.31,334235
2024-05-01,228.31,228.84,226.56,226.83,264613
2024-05-02,230.3,231.41,229.3702,230.8,228134
2024-05-03,232.06,233.35,231.358,232.87,165241
2024-05-06,233.62,235.68,233.57,235.6,208217
2024-05-07,233.28,233.28,230.91,231.26,248944
2024-05-08,231.12,232.43,227,231.78,371657
2024-05-09,227.51,228.03,226.73,227.24,329111
2024-05-10,220.93,221.055,218.14,218.78,563937
2024-05-13,217.1,217.13,215.3,215.64,466171
2024-05-14,216.5,217.61,216.21,217.12,268659
2024-05-15,218.9,219.9399,218.3035,219.55,280881
2024-05-16,216.84,217.0371,215.6,215.63,296807
2024-05-17,219.93,220.42,219.0901,219.76,265728
2024-05-20,220.31,221.0888,219.9,220.5,175501
2024-05-21,219.8,220.44,219.19,219.36,145591
2024-05-22,217.47,217.61,216.28,216.63,166513
2024-05-23,218.09,218.09,214.3109,214.72,260814
2024-05-24,216.1,217.02,215.95,216.84,134402
2024-05-28,219,219.53,217.41,218.72,262299
2024-05-29,215.37,215.37,213.74,213.95,191322
2024-05-30,213.52,214.905,213.2938,214.17,279024
2024-05-31,216.89,217.51,215.54,217.51,254072
2024-06-03,212.29,213.54,211.1801,212.17,351367
2024-06-04,211,211.34,210.04,210.38,224059
2024-06-05,208,208.565,206.29,208.33,338451
2024-06-06,209.59,210.94,209.28,210.04,245992
2024-06-07,206.5,207.7,206.2,206.36,537570
2024-06-10,207.5,208.61,207.28,208.02,268951
2024-06-11,206.5,207,204.5,205.31,250363
2024-06-12,207.52,207.52,205.58,205.65,245222
2024-06-13,200.25,200.38,198.18,199.35,528034
2024-06-14,196.5,197.79,195.42,197.13,483308
2024-06-17,193.2,195.67,193.2,195.2,453614
2024-06-18,193.89,194.73,193.4512,194.14,347816
2024-06-20,194,194.74,193.31,194.54,234568
2024-06-21,193.7,194.2,193.38,193.58,284460
2024-06-24,197.5,199.4299,197.2749,198.98,375613
2024-06-25,205.5,206.61,205.13,206.22,517908
2024-06-26,203.55,204.2208,202.38,203.18,306116
2024-06-27,203.4,204.94,203.34,203.88,284050
2024-06-28,205.07,206.27,204.41,204.97,273852
2024-07-01,204.8,205.13,203.205,203.71,267469
2024-07-02,205,206.21,204.75,206.21,259313
2024-07-03,205.87,206.31,205.17,206.25,212267
2024-07-05,206.29,206.55,205.09,206.45,190511
2024-07-08,204.72,205.67,204.3036,204.94,200506
2024-07-09,203,203.19,201.67,201.67,230713
2024-07-10,204.63,206.18,203.78,205.88,209204
2024-07-11,205.31,205.65,203.73,203.73,246343
2024-07-12,206.53,208.8599,206.03,207.59,218220
2024-07-15,208.18,208.21,206.76,206.91,207913
2024-07-16,206.23,206.8142,205.68,206.6,206038
2024-07-17,204.73,205.145,203.31,204.39,266398
2024-07-18,201.93,202.22,199.54,199.85,292917
2024-07-19,199.28,199.28,197.03,197.15,236379
2024-07-22,198.7,200.1487,198.1183,200.14,315548
2024-07-23,200.18,201.33,200.03,200.79,283874
2024-07-24,199.79,199.79,197.08,197.2,211404
2024-07-25,197.43,197.43,193.73,195.25,212333
2024-07-26,190.74,192.84,190.51,192.52,317184
2024-07-29,193,193.2,191.8067,192.48,205888
2024-07-30,194.96,195.48,192.265,193.11,284277
2024-07-31,194.18,194.89,192.9,193.55,372318
2024-08-01,181.57,184.6799,178.565,179.07,820909
2024-08-02,173.72,173.89,171.5,173.02,674170
2024-08-05,160.89,170.95,159.04,168.35,1023943
2024-08-06,169.91,170.5,167.585,169.6,489778
2024-08-07,171.61,172.6,167.06,167.18,444632
2024-08-08,169.17,170.1,167.6,169.37,255002
2024-08-09,167.49,169.48,166.7462,168.59,274487
2024-08-12,169,169.57,167.561,167.97,296537
2024-08-13,171.05,172.6573,170.77,172.39,429098
2024-08-14,176.99,178.01,175.94,177.01,350406
2024-08-15,181.93,182.32,180.77,181.79,693483
2024-08-16,182.24,183.26,182,182.67,337340
2024-08-19,183.52,183.8,182.72,183.7,242684
2024-08-20,182.86,183.63,181.11,181.34,180405
2024-08-21,184.16,184.3782,182.8,183.62,298350
2024-08-22,183.37,183.71,181.31,181.5,179895
2024-08-23,184.09,186,183.5,185.09,241860
2024-08-26,180.73,181.825,180.39,180.57,337565
2024-08-27,185.36,186.35,185.25,185.75,657287
2024-08-28,189.6,190.23,187.135,187.67,366430
2024-08-29,188.11,189.15,187.35,187.77,215603
2024-08-30,190,190.65,188.4,189.8,240715
2024-09-03,187.8,189.7,185.595,186.15,329844
2024-09-04,183.92,185.94,183.62,184.71,218261
2024-09-05,182.79,183.41,181.77,182.8,224551
2024-09-06,181.19,181.55,176.8881,177.18,288730
2024-09-09,175.6,177.0899,174.58,176.08,408351
2024-09-10,174.73,175.79,171.6,174.18,479244
2024-09-11,172.39,174.85,170.51,174.69,415192
2024-09-12,175.56,177.195,174.305,176.18,267808
2024-09-13,174.99,176.18,174.86,175.39,217804
2024-09-16,175.71,176.61,175.0683,176.23,274319
2024-09-17,172.38,174.59,171.32,173.15,502580
2024-09-18,175.66,178.52,175.66,176.71,563819
2024-09-19,184.29,184.68,183.0001,183.47,494500
2024-09-20,184.58,184.92,182.5429,184.07,534072
2024-09-23,184.75,185.81,184.13,185.4,357927
2024-09-24,183.11,184.87,183.11,183.53,284990
2024-09-25,184.01,184.8375,183.5,184.16,213818
2024-09-26,188.55,190.44,188.4654,189.36,449748
2024-09-27,184.37,185.19,181.7,182.82,575172
2024-09-30,179.82,179.82,177.37,178.57,458900
2024-10-01,179.98,179.98,176.87,178.06,391166
2024-10-02,179,180.61,178.55,180.5,295144
2024-10-03,176.92,176.92,175.3901,176.17,394835
2024-10-04,178.3,180.51,177.96,180.02,309545
2024-10-07,177.79,178.22,176.855,177.32,228881
2024-10-08,175.73,176.99,174.65,175.76,326089
2024-10-09,172.88,174.36,171.8,173.99,416309
2024-10-10,172.84,174.58,172.76,174.35,241574
2024-10-11,172.06,174.52,171.8,174.06,344600
2024-10-14,174.22,175.39,174.08,175.1,316342
2024-10-15,171.605,171.6823,169.31,169.55,858871
2024-10-16,170.76,171.8,170.51,171.5,508130
2024-10-17,172.48,172.77,171.1,171.2,516184
2024-10-18,171.7,171.925,170.6924,171.53,400413
2024-10-21,170.1,170.2599,168.655,169.17,420176
2024-10-22,169.58,170.2999,169.29,169.93,393126
2024-10-23,172,172.36,170.33,171.33,398124
2024-10-24,170.37,171.4045,169.3,170.43,288576
2024-10-25,171.9,173,171.59,172,273877
2024-10-28,175.7,176.88,175.3095,176.63,457277
2024-10-29,176.5,177.15,175.64,176.03,357259
2024-10-30,176.25,176.33,175.2,175.21,222769
2024-10-31,174.64,174.64,172.2,173.02,235011
2024-11-01,172.68,173.69,172.27,172.83,234233
2024-11-04,173,173.89,172.29,172.7,253412
2024-11-05,173.01,174.81,172.64,174.73,353403
2024-11-06,175.25,176,172.02,175.15,633028
2024-11-07,179,179.6788,177.26,178.45,638020
2024-11-08,174.35,174.54,171.8,172.03,504146
2024-11-11,172.5,174.8,172.48,174.1,310349
2024-11-12,176,176.72,173.86,174.99,324742
2024-11-13,172.42,172.92,171.29,172.35,268587
2024-11-14,173.22,174.64,173.0137,173.48,424919
2024-11-15,173.54,173.55,171.78,172.84,282329
2024-11-18,172.96,175.82,172.8444,174.78,289389
2024-11-19,175.2,176.09,175,175.39,254581
2024-11-20,173.5007,174.21,171.77,172.91,295507
2024-11-21,173.09,174.26,172.98,173.38,314749
2024-11-22,172.715,174.78,172.64,174.4,369057
2024-11-25,175.76,176.56,175.17,175.83,347925
2024-11-26,173.18,173.43,172.31,172.52,410685
2024-11-27,169.933,170.3472,169.12,169.72,478541
2024-11-29,169.88,170.63,169.42,170.63,247724
2024-12-02,173.36,176.1445,173.155,175.81,634891
2024-12-03,176.76,176.76,175.57,176,412181
2024-12-04,176.1,176.25,174.2506,174.78,400545
2024-12-05,175.605,176.15,174.4,174.4,405527
2024-12-06,175.68,176.24,175.29,175.95,290724
2024-12-09,176.34,178.6015,176.21,177.01,375985
2024-12-10,177,177.35,175.34,175.71,237127
2024-12-11,177.29,178.44,176.48,178.15,290341
2024-12-12,177.964,178.59,176.82,176.9,214096
2024-12-13,176.07,176.27,175.05,175.86,226009
2024-12-16,174.575,174.9726,173.85,174.25,327358
2024-12-17,174,174.63,173.28,173.28,420959
2024-12-18,177.33,179.3692,173.55,173.62,457921
2024-12-19,174.64,175.8,173.7701,174.21,405896
2024-12-20,176,179.9215,175.84,178.17,425694
2024-12-23,179.1,180.62,177.97,180.45,422688
2024-12-24,181,181.72,180.83,181.43,168580
2024-12-26,195.97,198,193.1323,197.36,1297220
2024-12-27,200.68,200.9999,198.18,199.52,779542
2024-12-30,198,198,195.61,195.66,463609
2024-12-31,195.615,196.57,193.94,194.61,442617
2025-01-02,194.4,194.8,192,193.12,615743
2025-01-03,194.205,195.5,193.23,195.25,611381
2025-01-06,192.98,193.27,189.84,190.39,664416
2025-01-07,194.59,194.9688,192.42,193.12,585541
2025-01-08,192.96,193.02,191.52,192.55,436715
2025-01-10,185.69,186.35,183.43,183.47,473091
2025-01-13,181.4803,183.5,181.4803,183.25,310719
2025-01-14,185.21,185.94,184.58,185.41,326349
2025-01-15,186.6,186.635,183.9862,184.84,416639
2025-01-16,181.51,182.35,181.25,181.48,422396
2025-01-17,180.34,181.39,179.7173,180.78,432102
2025-01-21,184.97,186.93,184.46,186.93,330436
2025-01-22,187.5,187.5,186.395,186.52,247825
2025-01-23,186,186.7,185.05,186.27,237653
2025-01-24,186.14,187.46,185.4,186.61,278913
2025-01-27,186.825,187.06,185.815,186.5,308124
2025-01-28,186.15,186.4,184.15,185.29,382635
2025-01-29,187.73,188.04,186.48,186.98,258228
2025-01-30,190.94,191.72,189.765,190.97,410142
2025-01-31,191.6,191.84,188.29,188.93,420262
2025-02-03,182.62,185.86,181.135,183.65,477917
2025-02-04,186.43,187.56,185.805,187.56,408392
2025-02-05,194.14,196.62,192.4,195.35,585960
2025-02-06,191.25,191.6,189.66,190.5,364086
2025-02-07,187.225,187.7,183.32,183.98,478652
2025-02-10,185.77,186.3699,184.78,185.06,172562
2025-02-11,184.2663,186.2576,184.18,185.74,237289
2025-02-12,182.25,183.52,181.5289,182.69,269081
2025-02-13,183.95,185.1497,183.4601,184.01,237842
2025-02-14,185,185.74,183.455,184.24,231510
2025-02-18,184.72,184.72,183.72,184.07,206935
2025-02-19,181.31,181.31,179.5981,180.1,347921
2025-02-20,180.48,180.79,179.3801,180.68,176157
2025-02-21,180.06,180.17,176.94,177.11,639145
2025-02-24,177.5947,177.7999,176,176.62,237802
2025-02-25,180.55,180.93,178.135,179.46,263343
2025-02-26,181.415,183.06,181.16,181.21,250383
2025-02-27,185,185.7,182.2532,182.28,277326
2025-02-28,179.745,181.53,179.12,181.48,363620
2025-03-03,188.33,189.11,182.835,183.79,523699
2025-03-04,182.52,183,178.3245,180.66,436151
2025-03-05,190.45,192.92,189.59,192.35,634457
2025-03-06,188.54,189.92,186.95,187.51,467601
2025-03-07,189.6,190.5,187.44,190.18,280463
2025-03-10,190.15,190.9,186.76,188.35,347938
2025-03-11,185.45,186.19,183,184.53,294996
2025-03-12,186.53,186.53,184.53,185.65,255695
2025-03-13,183.78,184.87,182.28,182.97,363916
2025-03-14,185.397,186.88,185.34,186.67,274616
2025-03-17,186.54,189.4998,186.44,188.41,306987
2025-03-18,189.94,191,188.94,190.2,274848
2025-03-19,192.48,193.715,191.758,193.14,280826
2025-03-20,190.2,192.65,190.2,192.17,258851
2025-03-21,190.685,191.62,189.48,190.7,229174
2025-03-24,192.04,192.71,191.4,192.47,186585
2025-03-25,192.81,193.5,191.925,193.01,167515
2025-03-26,191.665,191.7,189.075,189.28,228506
2025-03-27,184.6,185.23,182.52,183.98,484989
2025-03-28,181.495,181.61,177.79,179.07,459563
2025-03-31,176.11,177.29,174.66,176.53,335931
2025-04-01,175.66,175.8,173.37,174.42,474743
2025-04-02,176.105,178.295,175.24,177.31,307923
2025-04-03,170.49,171.54,167.5,168.07,614145
2025-04-04,159.99,161.44,156.73,158.63,919788
2025-04-07,155.25,166.11,155,160.34,1022774
2025-04-08,167.27,167.855,157.61,159.32,624540
2025-04-09,161.57,174.48,160,174.14,1149147
2025-04-10,169.68,169.68,163.71,167.22,736138
2025-04-11,167.42,170,165.86,169.42,486935
2025-04-14,169.13,173.0699,168.93,172,423648
2025-04-15,174.63,176.5,173.94,174.24,427803
2025-04-16,175.985,177.47,173.72,175.1,384875
2025-04-17,175.985,177.82,175.34,176.38,330259
2025-04-21,175.56,175.6957,172.6613,174.52,331594
2025-04-22,176.72,178.9972,176.585,178.7,359375
2025-04-23,182.58,184.06,181.26,181.43,336162
2025-04-24,185.52,186.82,183.65,186.61,433901
2025-04-25,188.07,188.46,186.01,188.21,378288
2025-04-28,193.895,194.54,192.379,193.13,554375
2025-04-29,194.365,195.78,193.59,195.39,422018
2025-04-30,189.96,191.735,188.55,191.22,343876
2025-05-01,191.005,191.865,190.27,190.58,327023
2025-05-02,192.81,192.97,190.72,192.24,225487
2025-05-05,193.875,193.875,192.09,192.48,204035
2025-05-06,192.33,193.67,191.85,192.43,301414
2025-05-07,188.67,190.23,188.3799,188.9,303019
2025-05-08,185.54,191.4097,185.54,187.92,709883
2025-05-09,186.45,187.82,186.1,187.53,465261
2025-05-12,190.97,192.91,190.7,192.32,387603
2025-05-13,192.75,194.33,192.22,193.97,370546
2025-05-14,188.17,188.61,186.49,187,487847
2025-05-15,182.735,183.81,181.95,183.45,451728
2025-05-16,182.19,183.63,182.19,183.19,355694
2025-05-19,183.74,185.32,183.0534,185.32,289837
2025-05-20,185.68,186.42,185.41,186.36,309961
2025-05-21,185.26,186.7,184.31,184.47,257408
2025-05-22,182,183.76,181.13,182.82,378945
2025-05-23,181.68,182.34,180.655,182.3,485206
2025-05-27,185.16,186.95,185.04,186.68,331124
2025-05-28,183,183.83,182.44,182.88,400907
2025-05-29,186.65,186.99,184.87,186.11,392575
2025-05-30,190.02,191.2999,189.3,190.57,396583
2025-06-02,188.415,189.14,187.8,189.14,375026
2025-06-03,189,192.45,188.6,191.4,577309
2025-06-04,189.54,190.155,187.96,187.96,598104
2025-06-05,185.44,185.95,183.62,184.4,509057
2025-06-06,184.94,185.655,184.685,185.14,307873
2025-06-09,183.58,184.33,183.02,183.94,335874
2025-06-10,184.325,185.33,183.43,185.25,405883
2025-06-11,184.58,184.58,182.61,182.61,322127
2025-06-12,182.06,182.4,181.32,181.99,385859
2025-06-13,178.3,179.98,178.17,178.75,432042
2025-06-16,178.03,179.34,177.67,177.67,433750
2025-06-17,175.5,175.52,173.45,173.95,555479
2025-06-18,176.45,177.44,175.59,175.59,458602
2025-06-20,173.3,173.36,171.89,172.4,469716
