Date,Open,High,Low,Close,Volume
2024-03-25,583.21,585.03,571.09,573.56,1226909
2024-03-26,574.01,574.985,567.84,568.82,1784927
2024-03-27,572.52,579.77,571.08,579.37,1525832
2024-03-28,579.3,582.295,576.19,581.21,1081545
2024-04-01,581.05,581.53,572.84,577.45,837591
2024-04-02,570.75,572.39,565.78,571.56,1381269
2024-04-03,571.23,578.25,569.19,576,1151569
2024-04-04,580.41,582,568.57,570.61,1231899
2024-04-05,570.22,583.84,569.06,579.46,1181253
2024-04-08,579.35,582.41,575.71,578.8,998949
2024-04-09,583.78,589.93,583.23,589.2,1026320
2024-04-10,577.29,579.675,571.89,573.71,1282843
2024-04-11,579.56,580.355,571.36,574.57,1295511
2024-04-12,570.91,573.385,561.64,565.23,1201602
2024-04-15,570.72,570.72,554.51,557.87,1031658
2024-04-16,559.04,559.04,552.685,554.55,1010299
2024-04-17,555.86,556,546.45,547.25,1610057
2024-04-18,534.8,544.87,529.64,541.52,2075785
2024-04-19,542.95,546.14,539.17,545,1738408
2024-04-22,549.15,552.86,543.15,548.38,1522884
2024-04-23,567.51,576.89,560,574.59,2543991
2024-04-24,578,586.4623,565.23,577.39,2035044
2024-04-25,577.4,577.99,569.98,571.73,1184004
2024-04-26,567.94,575,566.95,573.6,1438184
2024-04-29,575.09,579.49,571.3,576.89,962351
2024-04-30,574.7,576.46,567.97,568.72,1515137
2024-05-01,569.86,581.9,568.4,574.99,1171977
2024-05-02,579.48,579.795,565.49,571.25,1357370
2024-05-03,579.84,579.84,571.63,572.38,1749670
2024-05-06,575.41,576.385,570.345,573.55,1140684
2024-05-07,571.5,576.59,565.34,572.87,1890726
2024-05-08,572.71,575.345,567.71,573.64,1598138
2024-05-09,574.23,579.065,572.5,577.93,1513316
2024-05-10,580.17,594.025,578.81,593.03,1328832
2024-05-13,591.27,594.525,588.95,590.7,944626
2024-05-14,591.16,597.18,586.65,594.8,1040938
2024-05-15,600,602,595.03,599.02,1188732
2024-05-16,598.25,600.09,593.28,597.15,1409375
2024-05-17,596.95,597.1,589.36,595.3,1398449
2024-05-20,593.63,597.235,592.75,594.01,805710
2024-05-21,594,594,585.32,590.12,1133164
2024-05-22,589.67,596.63,587.62,590.8,872991
2024-05-23,590,592,584.16,585.03,1184975
2024-05-24,586,587.955,581.345,584.05,883271
2024-05-28,581.67,581.97,569.17,572.57,1435576
2024-05-29,570.11,570.11,563.67,567.3,1324775
2024-05-30,551.53,563.97,550.33,562.76,2431317
2024-05-31,564.59,568.58,560.4,567.98,2106711
2024-06-03,569.39,573.63,563.005,569.58,943688
2024-06-04,570.79,573.7529,565.24,569.67,994975
2024-06-05,569.85,575.58,566.72,575.28,896124
2024-06-06,575.29,581.665,571.94,579.84,1153843
2024-06-07,579.51,585.95,577.085,581.09,1231957
2024-06-10,580,582.28,575.86,581.48,1540561
2024-06-11,578.95,580,573.91,575.89,1407737
2024-06-12,579.26,581.97,574.6,575.69,1397925
2024-06-13,573.36,574.63,565.001,572.63,1304701
2024-06-14,572.86,573.1,566.74,572.05,1413701
2024-06-17,566.45,569.305,563.745,568,1318499
2024-06-18,569.56,572.04,564.62,569.17,1398080
2024-06-20,560.85,560.85,551.71,557.21,3071545
2024-06-21,558.71,568.59,558.105,564.6,3198558
2024-06-24,565.61,571.51,562.32,565.95,1557605
2024-06-25,564.84,568.34,556.19,556.52,1943699
2024-06-26,556.8,561.38,554.84,558.17,1091353
2024-06-27,556.72,558.26,549.23,550.78,1506859
2024-06-28,552.93,558.27,545.63,553,6150885
2024-07-01,553.45,557.5655,539.4,541.72,1459439
2024-07-02,539.31,541.59,533.46,533.93,1316367
2024-07-03,533,539.81,532.435,535.61,908266
2024-07-05,538.65,540.165,533.85,540.1,1233257
2024-07-08,541.45,543.02,535.43,536.29,1140129
2024-07-09,538.09,538.33,528.37,531.86,1567536
2024-07-10,533.25,537,528.82,536.87,1976237
2024-07-11,539.76,548.63,537.87,542.69,1403938
2024-07-12,542.69,551.66,540.855,548.09,945210
2024-07-15,546.59,549.68,542.99,544.68,1326049
2024-07-16,549.24,555.775,547.72,555.42,1122114
2024-07-17,553,559.96,550.85,555.06,1131158
2024-07-18,551.69,557.16,537.77,540.62,1744967
2024-07-19,541.15,542.23,531.475,534.35,1667269
2024-07-22,540.67,547.12,535.98,546.42,1163691
2024-07-23,570.97,572.24,550.67,552.24,2005647
2024-07-24,552.92,575.25,552.65,574.73,2857263
2024-07-25,576.14,603.82,572.13,594.5,3625187
2024-07-26,600.85,614.65,599.3,607.14,2715365
2024-07-29,604.25,607.81,595.2,604.12,1621893
2024-07-30,609.81,615.737,602.85,615.06,1627170
2024-07-31,614.23,620.63,609.295,613.34,1702277
2024-08-01,616.4,622.3,612.87,621.77,1458185
2024-08-02,621.95,622,605.47,615.69,1564731
2024-08-05,607.54,611.37,592.81,598.03,2117077
2024-08-06,600.26,612.88,596.6074,602.02,1316881
2024-08-07,600.97,601.78,585.68,587.37,1692238
2024-08-08,589.74,601.14,587.5,600.04,1116715
2024-08-09,600,601.35,593.875,596.18,963806
2024-08-12,596.26,599.53,591.59,599.07,1164022
2024-08-13,599.98,605.57,599.458,604.21,1042544
2024-08-14,602.09,603.47,595.8,602.1,1128139
2024-08-15,605.52,608.62,599.98,603.69,1241073
2024-08-16,601.79,606.58,599.59,603.98,1076197
2024-08-19,604.19,610.88,603.95,607.6,959411
2024-08-20,609.92,614.8,608.33,614.54,1075495
2024-08-21,615,618.12,609,610.17,965573
2024-08-22,613.17,613.7,602,603.86,1138403
2024-08-23,606.77,607.7,600.56,606.12,777265
2024-08-26,606,606.9099,602.25,605.59,519485
2024-08-27,605.6,610.98,602,610.4,737395
2024-08-28,610.25,618,609.21,613.14,790456
2024-08-29,614.43,616.55,609.66,611.68,722498
2024-08-30,616.11,618,605,615.07,1058979
2024-09-03,611.47,615.03,603.645,606.43,1282258
2024-09-04,605.66,612.67,604.23,611.9,1005979
2024-09-05,611.04,614.17,601.26,606.88,1467659
2024-09-06,607.49,619.7,607.49,611.33,1868789
2024-09-09,614.51,622.26,614.1,620.42,1443321
2024-09-10,620.62,627.88,618.25,624.21,1302892
2024-09-11,622.08,623,608.855,618.46,1324098
2024-09-12,615.71,619.31,604.18,614.16,1397629
2024-09-13,614.84,617.04,607.8107,611.17,1125097
2024-09-16,615.59,616.48,607.26,614.15,1198221
2024-09-17,613.18,616.58,607,610.49,1333012
2024-09-18,609.14,614.92,601.86,610.12,1092625
2024-09-19,617.61,623.75,611.81,620.25,1474247
2024-09-20,619.04,619.04,608.2,613.69,1983068
2024-09-23,615.64,616.41,607.8,610.35,883226
2024-09-24,611.21,613.96,607.815,611.88,1361146
2024-09-25,613.87,613.905,596,599.78,1282532
2024-09-26,604.56,620.54,604.56,619.33,1312919
2024-09-27,619.39,623.765,614.04,614.42,871044
2024-09-30,610.84,619.02,609.0301,618.57,1041296
2024-10-01,620,620,610.5701,612.94,1169248
2024-10-02,610,616.57,605.33,612.72,665365
2024-10-03,609.86,611.49,599.35,600.92,1258287
2024-10-04,602.63,603.99,596.53,598.61,871514
2024-10-07,592.32,599.295,592.32,598.85,1165872
2024-10-08,599.05,602.3,594.705,595.45,883538
2024-10-09,594.11,600.065,593.11,599.25,890916
2024-10-10,597.17,597.17,589.87,593.79,1221166
2024-10-11,595.64,602.41,594.31,596.92,2138162
