Date,Open,High,Low,Close,Volume
2024-03-25,299.6,300.75,298.42,299.63,592526
2024-03-26,299,301.655,299,299.28,469217
2024-03-27,300.72,301.88,296.89,299.71,607044
2024-03-28,297.88,300.77,296,300.2,753994
2024-04-01,299.5,299.91,296.11,296.73,884755
2024-04-02,297.91,298.95,293.08,297.51,1134377
2024-04-03,297.81,303.14,297.585,301.34,734036
2024-04-04,304.97,306.13,296.77,297.51,764397
2024-04-05,299.96,305.59,298.93,304.67,811443
2024-04-08,306,306.98,302.79,303.84,673427
2024-04-09,305.69,305.99,295.59,301.22,911318
2024-04-10,296.24,300.28,294.175,298.54,648843
2024-04-11,297.44,299.43,295.95,297.24,834701
2024-04-12,295.06,297.6299,294.17,296.96,996306
2024-04-15,301.82,304.15,293.83,293.88,844845
2024-04-16,292.99,296.84,290.28,295.63,752199
2024-04-17,297.02,298.69,290.3101,293.09,883509
2024-04-18,295.54,295.54,289.34,289.56,649916
2024-04-19,291.42,293.245,286.32,288.38,800778
2024-04-22,291.12,294.42,288.95,291.15,1009452
2024-04-23,293.45,296.17,292.28,295.09,1031855
2024-04-24,296.54,303.4,293.39,296.49,908037
2024-04-25,295.01,301.415,291.37,299.37,1401798
2024-04-26,299.15,305.43,299.15,304.53,961790
2024-04-29,304.53,307.95,300.14,300.86,1920759
2024-04-30,314.98,327.09,314.98,317.34,2419736
2024-05-01,316.42,319.17,311.88,314.98,1378698
2024-05-02,317.75,318,313.23,316.79,1153185
2024-05-03,320.3,321,315.8,319.29,1074535
2024-05-06,321.98,326.5273,321.98,325.74,707048
2024-05-07,325.72,327.47,324.48,325.89,796185
2024-05-08,326.89,329.14,325.095,327.6,647461
2024-05-09,327.61,333.42,327.275,332.92,807644
2024-05-10,334.27,335.2792,331.14,331.98,744929
2024-05-13,332.69,333.82,326.52,326.64,785758
2024-05-14,327.76,331.01,325.325,330.06,861415
2024-05-15,331.23,334.1599,330.27,332.29,912513
2024-05-16,331.63,332.95,323.29,324.72,1220444
2024-05-17,326.59,328.97,323.58,328.64,908441
2024-05-20,329.26,334.25,327.62,330.91,835651
2024-05-21,329.87,336.17,329.06,335.58,822130
2024-05-22,332.83,336.37,331.015,333.53,728295
2024-05-23,336.53,336.66,331.6,332.92,720530
2024-05-24,333.16,338.09,331.92,337.92,539795
2024-05-28,337.05,337.99,327.19,328.31,1103884
2024-05-29,325.8,326.895,321.54,322.07,1147412
2024-05-30,322,326.53,320.5,325,1275456
2024-05-31,325.77,327.65,319.16,327.46,1884474
2024-06-03,331.53,331.66,316.265,321.5,1051472
2024-06-04,323.49,325,315.89,319.53,1038470
2024-06-05,319.74,323.6,318.52,323.25,1346727
