Date,Open,High,Low,Close,Volume
2024-03-25,68.13,68.65,67.4,68.29,1557755
2024-03-26,68.72,68.72,67.59,67.65,1713141
2024-03-27,68.13,68.59,67.99,68.42,1781236
2024-03-28,68.51,69.02,68.42,68.83,821221
2024-04-01,69.28,69.81,68.65,69.74,943377
2024-04-02,70.74,71.7,70.46,71.7,3379227
2024-04-03,71.79,72.34,71.54,72.2,1091784
2024-04-04,72.86,72.97,72.41,72.56,1098675
2024-04-05,72.64,72.91,72.17,72.87,950619
2024-04-08,73.54,74.06,73.43,73.67,1087717
2024-04-09,73.73,73.88,72.78,73.03,805609
2024-04-10,72.82,73.37,72.43,73.36,1374630
2024-04-11,73.93,73.93,72.25,72.95,930506
2024-04-12,73.31,73.74,72.37,72.49,974783
2024-04-15,72.91,73.07,72,72.17,3077308
2024-04-16,71.83,72,71.22,71.75,1326422
2024-04-17,71.99,72.42,71.0883,71.75,1680635
2024-04-18,71.8,71.99,70.71,70.83,2048911
2024-04-19,71.22,72.071,71.1,72.06,1361575
2024-04-22,71.93,72.83,71.59,72.59,864718
2024-04-23,72.53,73.16,72.2,72.97,775699
2024-04-24,72.86,72.94,72.26,72.74,1125187
2024-04-25,72.47,73.76,72.25,73.75,1390425
2024-04-26,74.71,74.97,74,74.56,2495383
2024-04-29,74.46,74.66,74.17,74.48,1499791
2024-04-30,74.3,74.32,72.45,72.47,1735406
2024-05-01,72.52,72.6,71.53,71.68,894440
2024-05-02,71.3,72.05,71.3,71.4,1322311
2024-05-03,71.58,71.666,71.1,71.63,744251
2024-05-06,72.44,72.69,72.03,72.03,1079121
2024-05-07,72.37,72.525,71.94,71.94,719170
2024-05-08,71.89,72.35,71.76,72.15,1027898
2024-05-09,73.26,73.9,73.17,73.71,1009626
2024-05-10,74.16,74.21,73.62,73.82,625403
2024-05-13,73.82,74.43,73.82,74.06,648288
2024-05-14,74.15,74.21,73.74,73.97,717757
2024-05-15,73.65,73.86,72.75,73.48,881930
2024-05-16,72.62,72.775,72.03,72.15,1049476
2024-05-17,72.8,73.31,72.7,73.19,944302
2024-05-20,73.07,73.11,72.41,72.44,505577
2024-05-21,72.07,72.26,71.71,71.85,838486
2024-05-22,70.81,70.92,70.05,70.47,1219702
2024-05-23,71.5,71.68,70.35,70.5,1034311
2024-05-24,71.35,71.75,71.13,71.52,836428
2024-05-28,71.95,72.25,71.73,72.14,566495
2024-05-29,71.55,71.55,70.73,71.02,736992
2024-05-30,70.3,71.01,70.28,70.9,940568
2024-05-31,72.08,73.12,71.98,73.12,1716146
2024-06-03,72.45,72.46,71.07,71.13,941011
2024-06-04,69.93,70.37,69.41,70.33,1343403
2024-06-05,71.11,71.115,70.21,70.48,2382966
2024-06-06,70.22,70.94,70.14,70.83,1104224
2024-06-07,70.28,70.67,69.7,69.73,1436985
2024-06-10,69.56,70.69,69.33,70.4,2729245
2024-06-11,68.87,69.19,68.57,68.64,2498154
2024-06-12,69.48,69.69,68.81,69.01,1304128
2024-06-13,67.92,68,67.01,67.37,2158318
2024-06-14,65.63,65.93,65.13,65.78,4347898
2024-06-17,66.87,66.87,66.045,66.56,1396287
2024-06-18,66.46,66.9599,66.33,66.66,1111958
2024-06-20,66.33,67.16,66.22,66.48,1840309
2024-06-21,65.89,66.2599,65.6,65.76,1366810
2024-06-24,66.49,67.52,66.48,67.42,1385431
2024-06-25,67.24,67.78,66.97,67.75,1134998
2024-06-26,66.26,66.47,66.09,66.22,1222227
2024-06-27,66.77,66.84,66.27,66.59,874423
2024-06-28,66.67,67.2,66.32,66.68,1788010
2024-07-01,68.53,68.83,67.99,68.61,1227517
2024-07-02,68.87,69.13,68.47,68.65,1377604
2024-07-03,69.94,70.14,69.71,69.97,892711
2024-07-05,71,71.03,70.23,70.89,1277143
2024-07-08,70.42,70.64,69.45,69.65,1377524
2024-07-09,68.21,68.65,68.05,68.09,902061
2024-07-10,68.32,68.5,67.88,68.14,694726
2024-07-11,68.2,68.5395,67.96,68.41,637473
2024-07-12,69.26,69.53,68.87,69.33,853537
2024-07-15,68.96,69.44,68.81,69.13,1455383
2024-07-16,67.91,68.34,67.57,68.32,1318237
2024-07-17,68.4,69.21,68.24,68.47,1289010
2024-07-18,69.68,69.83,68.95,69.29,1327510
2024-07-19,68.36,68.54,68.07,68.25,1168573
2024-07-22,68.61,68.98,68.44,68.58,1174954
2024-07-23,67.79,67.88,67.15,67.19,1200270
2024-07-24,67.54,67.9054,67.21,67.26,1012053
2024-07-25,66.98,68.188,66.49,67.63,1318965
2024-07-26,67.43,68.054,67.35,67.85,696878
2024-07-29,67.49,67.52,66.62,67.32,1023360
2024-07-30,66.92,67.76,66.8,67.57,1045933
2024-07-31,68.08,68.26,67.53,67.78,1120932
2024-08-01,67.41,67.59,66.43,66.93,1116348
2024-08-02,67.29,67.345,66.03,66.56,1572668
2024-08-05,65.12,65.79,64.66,65.61,1307973
2024-08-06,64.09,65.48,63.99,64.98,1222752
2024-08-07,66.12,66.78,66.05,66.18,878370
2024-08-08,66.3,67,66.22,66.76,1133920
2024-08-09,66.67,67.36,66.54,67.14,683159
2024-08-12,67.65,67.77,67.14,67.46,730944
2024-08-13,67.15,67.68,66.86,67.62,936816
2024-08-14,67.77,68.095,67.71,67.94,485148
2024-08-15,68.4,68.68,68.17,68.37,835197
2024-08-16,68.31,68.79,68.16,68.65,653004
2024-08-19,69.46,69.85,69.02,69.03,847388
2024-08-20,69.28,69.28,68.61,68.65,920023
2024-08-21,69.03,69.27,68.73,68.79,910089
2024-08-22,68.6,68.7,68.32,68.45,834046
2024-08-23,68.79,69.74,68.77,69.73,879285
2024-08-26,70.15,70.4999,70.09,70.42,2259175
2024-08-27,70.34,70.37,69.78,70.17,2658188
2024-08-28,69.41,69.68,69.225,69.51,571232
2024-08-29,69.41,69.7125,69.13,69.6,754751
2024-08-30,69.23,69.36,68.51,69,1112811
2024-09-03,67.72,67.72,66.78,66.88,1178099
2024-09-04,67.05,67.56,66.37,66.48,1255038
2024-09-05,67.5,67.56,66.76,66.81,1135134
