Date,Open,High,Low,Close,Volume
2024-03-25,31.25,31.59,31.22,31.5,2798934
2024-03-26,31.42,31.47,31.14,31.15,1553770
2024-03-27,31.24,31.4,31.15,31.4,3203846
2024-03-28,30.49,30.81,30.49,30.72,2956635
2024-04-01,30.79,30.82,30.405,30.48,1691364
2024-04-02,30.45,30.64,30.355,30.5,2189817
2024-04-03,30.57,31.17,30.54,31.13,2160443
2024-04-04,31.42,31.69,30.995,31.05,2494612
2024-04-05,30.9,31.42,30.89,31.27,2397594
2024-04-08,31.25,31.325,31.04,31.15,2949509
2024-04-09,31.24,31.3095,30.65,30.8,2339813
2024-04-10,29.83,29.9,29.38,29.45,3518517
2024-04-11,29.14,29.235,28.73,29.12,3602291
2024-04-12,29.14,29.18,28.68,28.73,2178481
2024-04-15,29.09,29.15,28.365,28.42,2021738
2024-04-16,28.19,28.21,27.87,27.99,2418829
2024-04-17,28.32,28.375,27.9101,28.11,2356588
2024-04-18,28,28.36,27.96,28.12,2292123
2024-04-19,28.12,28.295,28.005,28.06,1949001
2024-04-22,27.83,28.08,27.69,27.97,3376741
2024-04-23,28.19,28.4375,28.15,28.39,3168603
2024-04-24,27.65,27.8,27.24,27.36,3248991
2024-04-25,27.3,27.53,27.1,27.49,2514776
2024-04-26,27.25,27.49,27.155,27.38,1800506
2024-04-29,27.58,27.595,27.29,27.39,2501616
2024-04-30,27.24,27.295,26.8,26.85,2869866
2024-05-01,26.29,26.57,26.005,26.19,1789015
2024-05-02,26.71,26.87,26.48,26.82,3959486
2024-05-03,27.13,27.24,26.975,27.17,2124016
2024-05-06,27.41,27.6,27.35,27.6,2687040
2024-05-07,30.09,30.09,29.285,29.54,5554796
2024-05-08,28.95,29.1,28.825,28.83,3135280
2024-05-09,28.88,28.98,28.75,28.97,2408264
2024-05-10,29.54,29.85,29.52,29.7,2608076
2024-05-13,29.95,29.995,29.665,29.68,1873175
2024-05-14,29.92,30.195,29.89,30.16,2188268
2024-05-15,30.52,30.66,30.495,30.66,2060403
2024-05-16,30.31,30.385,30.01,30.02,1803422
2024-05-17,30.29,30.39,30.21,30.34,1084205
2024-05-20,30.22,30.36,30.1,30.1,1275103
2024-05-21,30.07,30.425,30.045,30.4,1250166
2024-05-22,30.2,30.309,29.97,30.05,989778
2024-05-23,30.5,30.5762,30.095,30.19,2277735
2024-05-24,30.53,30.88,30.51,30.87,1619344
2024-05-28,30.94,31.085,30.815,30.87,1619943
2024-05-29,30.57,30.65,30.45,30.51,1641083
2024-05-30,30.96,31.26,30.93,31.23,1321750
2024-05-31,31.41,31.945,31.355,31.88,2885035
2024-06-03,31.77,31.9,31.565,31.69,2121623
2024-06-04,31.37,31.44,31.1,31.22,1035246
2024-06-05,31.32,31.38,31.13,31.29,1137713
2024-06-06,31.69,31.83,31.59,31.69,1538806
2024-06-07,31.68,31.9,31.6,31.62,1637938
2024-06-10,31.17,31.35,31.03,31.26,1131863
2024-06-11,31.05,31.05,30.73,30.86,1833026
2024-06-12,31.37,31.49,31.07,31.14,1740640
2024-06-13,30.81,30.82,30.295,30.42,3235802
2024-06-14,30.2,30.42,30,30.4,1583768
2024-06-17,30.8,31.085,30.605,30.99,2082407
2024-06-18,31.12,31.325,31.11,31.18,1696845
2024-06-20,30.98,31.315,30.92,31.2,2487336
2024-06-21,30.64,30.67,30.03,30.24,3257638
2024-06-24,30.54,30.7,30.505,30.6,1155131
2024-06-25,29.65,29.85,29.51,29.8,2551342
2024-06-26,29.22,29.45,29.12,29.21,4455860
2024-06-27,29.4,29.52,29.31,29.46,1555472
2024-06-28,29.39,29.59,29.38,29.54,1435640
2024-07-01,29.83,30.02,29.73,29.94,1076972
2024-07-02,29.62,30.03,29.585,30.02,1346519
2024-07-03,30.2,30.4,30.1,30.34,1003101
2024-07-05,30.5,30.52,30.08,30.44,1097465
2024-07-08,30.63,30.69,30.34,30.39,823577
2024-07-09,30.15,30.42,30.134,30.27,954473
2024-07-10,30.43,30.75,30.35,30.74,886097
2024-07-11,31.01,31.17,30.91,31.03,1197916
2024-07-12,31.24,31.37,31.2,31.24,1169075
2024-07-15,31.36,31.37,31.055,31.07,846543
2024-07-16,31,31.455,30.89,31.42,1094368
2024-07-17,31.21,31.34,30.94,31.01,1540446
2024-07-18,31.24,31.24,30.56,30.59,1303014
2024-07-19,30.44,30.635,30.354,30.42,890736
2024-07-22,30.8,30.87,30.62,30.68,1502567
2024-07-23,30.55,30.76,30.45,30.54,1966558
2024-07-24,30.53,30.555,29.985,30,1790623
2024-07-25,29.95,30.435,29.69,30.17,1254106
2024-07-26,30.36,30.63,30.33,30.55,775445
2024-07-29,30.39,30.43,29.97,29.97,1770597
2024-07-30,30.1,30.25,29.98,30.01,1380375
2024-07-31,30.31,30.395,30.09,30.18,1786366
2024-08-01,30.17,30.17,28.87,29.16,2418802
2024-08-02,28.45,28.5,27.95,28.03,3024712
2024-08-05,27.57,28.125,27.37,27.97,4242125
2024-08-06,27.7,28.3897,27.555,28.18,2007575
2024-08-07,28.74,28.79,28.16,28.16,1549951
2024-08-08,28.52,28.7099,28.3,28.64,1154668
2024-08-09,28.58,28.78,28.475,28.69,1211738
2024-08-12,28.71,28.805,28.57,28.63,1481894
2024-08-13,28.88,29.26,28.825,29.25,2059287
2024-08-14,30.55,31.03,30.45,30.89,6163617
2024-08-15,30.13,30.335,30.01,30.15,3718106
2024-08-16,30.26,30.42,30.2,30.38,2397400
2024-08-19,30.26,30.54,30.21,30.46,1286081
2024-08-20,30.42,30.58,30.395,30.46,1580571
2024-08-21,30.53,30.7,30.385,30.68,1897033
2024-08-22,30.82,30.855,30.63,30.73,1079104
2024-08-23,30.7,31.22,30.7,31.05,1075505
2024-08-26,31.2,31.225,31.09,31.12,1135453
2024-08-27,31.26,31.455,31.22,31.26,1567919
2024-08-28,31.15,31.26,30.94,31.08,1195772
