Date,Open,High,Low,Close,Volume
2024-03-25,50.384,50.4945,49.866,49.9214,3955141
2024-03-26,50.394,50.4797,49.9113,49.9113,3444683
2024-03-27,49.8308,50.4243,49.8107,50.4243,2277603
2024-03-28,50.2734,50.5247,50.2332,50.4745,1283002
2024-04-01,50.2633,50.4041,49.8712,50.1325,1194199
2024-04-02,49.7503,49.8207,49.5744,49.6297,2645508
2024-04-03,49.5996,49.6196,49.1471,49.1772,2043370
2024-04-04,49.4187,49.4839,48.9257,48.9961,2073423
2024-04-05,48.7548,48.7749,48.5185,48.7145,2229896
2024-04-08,48.5235,48.6643,48.4281,48.4531,2432888
2024-04-09,48.7548,48.8453,48.5035,48.6745,2981248
2024-04-10,48.4028,48.4631,47.9302,48.0106,2910377
2024-04-11,48.3123,48.3626,47.8446,47.9201,2622975
2024-04-12,47.6585,47.719,47.0151,47.0251,3161521
2024-04-15,47.2966,47.3972,46.9043,46.9747,2532488
2024-04-16,46.9043,46.9698,46.7333,46.7333,2895497
2024-04-17,47.196,47.314,46.7183,46.9546,4879447
2024-04-18,47.2462,47.4072,46.8742,47.1155,5641223
2024-04-19,47.4978,47.6585,47.2816,47.5781,4944835
2024-04-22,47.8999,48.3527,47.8208,48.3323,3075189
2024-04-23,48.081,48.4582,48.0709,48.252,2709071
2024-04-24,48.4631,48.4934,48.1363,48.3425,2947078
2024-04-25,50.8567,51.4099,50.5652,51.2087,6726322
2024-04-26,51.5105,51.822,51.4419,51.5304,4254343
2024-04-29,51.8724,51.9026,51.6312,51.7919,3325234
2024-04-30,52.0331,52.2545,51.9026,52.1439,2988691
2024-05-01,51.9026,52.4156,51.7418,52.164,2893353
2024-05-02,52.3249,52.506,52.2144,52.315,2834878
2024-05-03,52.8781,52.9384,52.3678,52.4256,4388254
2024-05-06,52.496,52.5663,52.1943,52.4456,2374895
2024-05-07,52.9685,53.2098,52.7875,52.9585,3569065
2024-05-08,53.1396,53.2401,52.8579,52.9887,3173947
2024-05-09,53.3506,53.7328,53.3407,53.7229,4032419
2024-05-10,53.7881,53.9542,53.6877,53.8133,3043778
2024-05-13,54.4671,54.5827,54.1654,54.2357,2892083
2024-05-14,54.2659,54.4256,54.11,54.3463,1797556
2024-05-15,54.4872,54.8492,54.4218,54.7889,1883027
2024-05-16,54.7782,54.9912,54.6462,54.8591,3053224
2024-05-17,55.4275,55.6608,55.2854,55.5493,2572990
2024-05-20,55.2245,55.2955,54.9202,54.9202,1373836
2024-05-21,55.1129,55.2854,54.9962,55.0724,2303005
2024-05-22,54.9809,55.1992,54.8794,55.0012,1506081
2024-05-23,55.7825,55.7825,55.0876,55.1637,2263908
2024-05-24,55.3665,55.7217,55.2854,55.3565,3107756
2024-05-28,55.2144,55.2144,54.8186,54.9202,2158565
2024-05-29,54.6056,54.6666,54.2809,54.3113,2387444
2024-05-30,54.8694,55.0724,54.8034,54.839,3164195
2024-05-31,55.0012,55.5796,54.9353,55.5493,2359726
2024-06-03,55.6608,56.0667,55.5999,56.0667,3304658
2024-06-04,56.7161,56.7363,56.3812,56.5942,3537711
2024-06-05,56.9188,56.929,56.6145,56.9087,2537575
2024-06-06,56.6652,57.0051,56.6552,56.8581,1646472
2024-06-07,56.8377,56.8884,56.3914,56.4216,1875818
2024-06-10,56.4725,56.5028,56.1478,56.4014,1813028
2024-06-11,56.0159,56.4116,55.8637,56.4014,1821483
2024-06-12,57.213,57.279,56.7971,56.8784,3464149
2024-06-13,56.9392,57.1472,56.8276,57.1117,2683830
2024-06-14,56.9798,57.203,56.8377,57.0406,3429606
2024-06-17,56.7971,57.2942,56.7413,57.203,1750060
2024-06-18,57.0813,57.2537,56.9392,56.9899,1832730
2024-06-20,56.7971,57.066,56.7463,56.9695,2436623
2024-06-21,56.8884,57.0609,56.6195,56.929,3129687
2024-06-24,56.929,57.1828,56.929,57.1219,1445488
2024-06-25,57.1319,57.1877,56.7769,56.9494,1598031
2024-06-26,56.4216,56.6907,56.2949,56.4928,1402676
2024-06-27,56.5131,56.6043,56.0673,56.1579,1342740
2024-06-28,55.7115,55.879,55.488,55.7927,2451827
2024-07-01,56.1377,56.5131,55.4833,55.4985,2345475
2024-07-02,55.2955,55.6507,55.1992,55.6202,1649720
2024-07-03,55.6911,55.8587,55.6454,55.7927,908410
2024-07-05,56.229,56.3812,55.8942,56.2999,1362859
2024-07-08,56.6652,56.782,56.4978,56.6449,1567280
2024-07-09,56.8175,56.8276,56.3405,56.3609,3023243
2024-07-10,57.0406,57.4465,57.0204,57.3653,2682531
2024-07-11,57.7915,57.8725,57.3958,57.4566,2904178
2024-07-12,58.0451,58.6741,58.0045,58.4509,3208009
2024-07-15,58.4307,58.4611,57.7306,57.7915,2137204
2024-07-16,57.9842,58.2074,57.8118,58.1771,2006848
2024-07-17,58.5422,59.0597,58.5319,59.0495,2094083
2024-07-18,59.4046,59.4757,58.8365,58.8872,2151307
2024-07-19,59.1206,59.4148,58.6893,58.8771,3013975
2024-07-22,59.1814,59.2323,58.6132,59.0089,2670274
2024-07-23,58.5728,58.6639,58.0856,58.106,2246063
2024-07-24,57.2437,57.822,57.2232,57.3653,4312433
2024-07-25,60.9467,61.1395,59.9221,59.9423,5721309
2024-07-26,61.3425,61.7788,61.0888,61.6165,8340819
2024-07-29,61.8804,61.9614,61.5099,61.8093,3091274
2024-07-30,61.5961,62.0477,61.3526,61.9513,3530079
2024-07-31,62.1237,62.5244,61.9108,62.2962,2154584
2024-08-01,62.2455,62.702,61.7991,62.5297,3040889
2024-08-02,63.1688,63.5646,62.763,63.4529,4721536
2024-08-05,61.5455,61.7382,61.16,61.6064,3893242
2024-08-06,61.0279,62.418,60.9975,62.2151,5164405
2024-08-07,62.1847,62.6311,61.9817,61.9918,2417654
2024-08-08,62.0326,62.5042,61.9411,62.3165,1692944
2024-08-09,62.0836,62.1142,61.6693,61.8278,4127701
2024-08-12,61.6437,61.7818,61.4391,61.572,2759285
2024-08-13,61.7869,62.2472,61.7205,62.1962,1711926
2024-08-14,61.8893,62.3904,61.8074,62.2574,2506083
2024-08-15,62.4927,62.8508,62.2985,62.7586,2263922
2024-08-16,62.5235,62.6155,62.278,62.3904,3371303
