Date,Open,High,Low,Close,Volume
2024-03-25,244.47,245.2034,242.65,243.85,1974723
2024-03-26,243.98,244.23,240.5,240.69,2801961
2024-03-27,242.18,244.77,241.99,244.63,2150556
2024-03-28,245.87,246.76,244.215,245.93,2265924
2024-04-01,245.5,245.95,242.63,243.3,2493861
2024-04-02,242.27,243.88,240.8701,242.53,2019453
2024-04-03,242.87,245,240.8,241.55,2097225
2024-04-04,243.27,244.9338,239.755,240.69,2062525
2024-04-05,241.57,242.81,240.72,242.01,1503722
2024-04-08,242,243.5,240.04,240.29,2139221
2024-04-09,241.03,241.85,238.01,240.79,1736948
2024-04-10,238.18,238.65,235.88,236.85,2181008
2024-04-11,236.86,237.73,235.025,236.16,1692360
2024-04-12,234.81,235.48,233.25,234.4,2594970
2024-04-15,237.71,237.915,232.49,233.94,2297997
2024-04-16,234.43,234.43,230.945,231.26,2025415
2024-04-17,231.8,232.13,227.87,229.23,1997011
2024-04-18,230.72,231.41,229.1,229.81,1570176
2024-04-19,230.69,232.81,230.425,232.07,2971895
2024-04-22,232.99,235.645,232.04,234.47,2200025
2024-04-23,235.4,237.32,234.81,236.29,1980828
2024-04-24,233.87,234.13,229.32,231.98,2951169
2024-04-25,240.24,243.61,236.12,243.55,3897600
2024-04-26,243.9,244.83,240.73,242.79,2255458
2024-04-29,243.39,244.4,239.47,240.95,1730440
2024-04-30,239.72,240.065,236.77,237.16,1737008
2024-05-01,235.82,237.08,234.1731,234.96,1651734
2024-05-02,236,238.05,233.205,237.69,2440891
2024-05-03,242.27,243.38,239.7619,240.36,2174714
2024-05-06,241.81,241.81,239.035,239.21,1527724
2024-05-07,241.37,243.14,239.795,242.38,1585332
2024-05-08,241.47,246.4,241.19,245.9,1739000
2024-05-09,245.58,248.895,244.95,246.61,1765166
2024-05-10,248,248.49,246.617,247.4,1299524
2024-05-13,247.41,248.4,245.35,245.68,1317192
2024-05-14,246.82,247,243.155,244.94,1357477
2024-05-15,245.85,246.88,245.3823,246.54,1769238
2024-05-16,246.14,247.265,244.935,245.9,1526046
2024-05-17,246.31,246.92,243.33,244.97,2105806
2024-05-20,244.93,244.93,241.84,243.63,1130283
2024-05-21,240,240.05,234.54,234.96,2967591
2024-05-22,234.77,235.25,232.52,234.71,2634161
2024-05-23,234.23,234.88,231.8,232.71,2815747
2024-05-24,232,234.13,231.04,232.05,2305534
2024-05-28,232.15,232.27,228.24,229.01,2480869
2024-05-29,226.79,228.34,225.67,225.88,3279065
2024-05-30,226.05,229.42,225.49,229.24,2840385
2024-05-31,228.16,233.3,227.08,232.82,5524511
2024-06-03,233,233.5,227.34,228.32,2593985
2024-06-04,228.11,229.8,226.24,227.62,1820824
2024-06-05,228.73,229.09,226,227.41,2920756
2024-06-06,227.65,228.92,226.421,228.31,2023241
2024-06-07,227.54,230.72,226.69,227.97,2555622
2024-06-10,227.35,228.99,226.25,228.95,1884822
2024-06-11,227.78,228.925,226.33,227.41,1619895
2024-06-12,228.94,231.27,225.765,226.47,1931892
2024-06-13,225.65,226.2,221.38,222.12,3283888
2024-06-14,221.34,222.19,218.55,222.1,2130498
2024-06-17,219.53,222.51,219.29,221.38,3134484
2024-06-18,221.38,223.83,221.15,222.58,2057245
2024-06-20,222.31,225.425,221.47,225.17,2267817
2024-06-21,226.13,226.6,223.14,226.11,3322635
2024-06-24,226.66,229.38,225.95,226.36,2407606
2024-06-25,224.85,225.13,219.575,224.06,3199922
2024-06-26,224,225.14,222.87,223.61,1921476
2024-06-27,224.58,225.33,222.78,223.47,1815037
2024-06-28,224.9,227.4399,224.305,226.26,3492610
2024-07-01,226.14,227.88,224.15,224.86,1697337
2024-07-02,224.86,225.54,223.82,225.5,1530530
2024-07-03,225.96,228.0999,225.01,225.57,1219762
2024-07-05,225.16,226.68,222.82,225.17,1659395
2024-07-08,224.51,224.675,222.13,223.39,1781645
2024-07-09,222.28,222.91,220.63,221.78,1514184
2024-07-10,222.34,224.53,221.93,224.41,1832736
2024-07-11,224.85,228.97,224.255,228.72,1517930
2024-07-12,229.67,232.43,228.72,230.22,1912319
2024-07-15,230.6,236.45,230.28,235.99,2569467
2024-07-16,236,243.82,235.9,243.06,3417400
2024-07-17,243.44,246.06,242.76,243.89,2933013
2024-07-18,242.64,245.865,242.18,243.01,2491272
2024-07-19,244.8,244.8,241.5,242.32,3870094
2024-07-22,242.78,243.37,240.86,243.27,2187038
2024-07-23,242.23,242.9025,239.29,239.5,2538276
2024-07-24,238.2,240.7409,236.84,237.38,3289032
2024-07-25,235.86,239.7,230.9,235.35,3017631
2024-07-26,237.22,243.15,235.89,240.36,2818609
2024-07-29,240.99,243.89,240.01,242.15,2022953
2024-07-30,243.15,247.26,242.81,245.43,1914371
2024-07-31,245.52,249.175,244.48,246.73,2285693
2024-08-01,247.37,249.335,243.785,244.47,2166090
2024-08-02,243.53,243.9,235.7,239.97,2114653
2024-08-05,237.01,237.97,231.26,234.87,2494424
2024-08-06,235.38,241.51,234.731,238.55,2514582
2024-08-07,239.85,241.94,236.47,236.84,1939343
2024-08-08,237.24,240.89,236.9,240.54,1444831
2024-08-09,240.47,240.47,236.95,237.52,1621058
2024-08-12,238.35,238.35,234.9,236.75,1782063
2024-08-13,238.03,239,235.23,237.27,1486284
2024-08-14,237.97,242.25,237.31,241.22,1903113
2024-08-15,243.93,245.27,242.75,243.71,2127983
2024-08-16,244,245.4,243.4,244.53,1951386
2024-08-19,245,246.66,244.17,246.07,1686486
2024-08-20,246.07,247.24,245.31,246.5,1552013
2024-08-21,247.73,248.3,245,245.73,1482850
2024-08-22,246.03,247,242.83,244.32,2722350
2024-08-23,245,246.99,244.025,246.85,2449222
2024-08-26,247.76,249.55,247,247.84,1680550
2024-08-27,248.49,250.5,248.05,250.35,1466246
2024-08-28,250.47,254.39,249.81,252.67,2359782
2024-08-29,253.81,254.65,251.39,253.2,1287795
2024-08-30,251.92,256.3,251.92,256.09,2386564
2024-09-03,255.87,256.9489,254.05,255.21,2585798
2024-09-04,255.44,258.07,252.09,255.7,2880270
2024-09-05,255.8,256.11,249.87,251.53,2562529
2024-09-06,251.4,253.67,249.24,249.63,2406225
2024-09-09,250.71,252.14,249.82,251.11,2162452
2024-09-10,251.85,252.62,249.62,252.58,1694658
2024-09-11,250.64,251.495,243.43,247.5,2372194
2024-09-12,247.92,249.52,245.41,248.89,1867980
2024-09-13,249.94,252,248.55,249.12,2267787
2024-09-16,250.88,253.59,249.48,252.43,1651114
2024-09-17,253.27,255.06,253,253.55,1640445
2024-09-18,254.01,254.56,250.53,251.2,1568183
2024-09-19,250,254.01,246.05,248.44,3406678
2024-09-20,243.48,245.62,242.54,245.39,6802799
2024-09-23,245.09,245.36,242.86,244,2740567
2024-09-24,243.19,249.03,241.56,248.96,2772711
2024-09-25,247.54,249.285,245.075,245.5,2347258
2024-09-26,247,248.295,242.35,243.23,2398738
2024-09-27,244.68,247.4811,243.94,244.22,1954544
2024-09-30,245.16,247.01,243.46,246.48,2923206
2024-10-01,246.17,247.35,243.66,245.55,1925000
2024-10-02,245.05,246.19,242.21,243.35,2568262
2024-10-03,242.43,243,239.6,240.63,1990156
2024-10-04,241.72,243.18,237.19,238.86,2137949
2024-10-07,237.7,238.15,235.29,236.87,1684066
2024-10-08,237.68,238.94,237.31,237.56,1783213
2024-10-09,237.11,238.66,235.88,237.68,2046736
2024-10-10,237.45,238.94,236.29,238.82,1900711
2024-10-11,240.08,242.54,239.55,242.31,1663835
2024-10-14,242.65,246.17,241.96,245.27,1735882
2024-10-15,246.71,248.7,245.36,245.79,1858037
2024-10-16,245.93,250.23,245.5,248.1,1500133
2024-10-17,246.88,246.88,240.5,241.72,2177924
2024-10-18,242.53,244.71,241.46,244.1,2866129
2024-10-21,243.73,243.73,239.4175,240.35,1547906
2024-10-22,241.08,241.94,238.63,241.45,1818425
2024-10-23,241.3,242.185,240.11,241.35,2156278
2024-10-24,229.42,233.9999,227.56,230.75,5181142
