Date,Open,High,Low,Close,Volume
2024-03-25,155.45,157.3,155.02,156.57,3807669
2024-03-26,157.35,157.99,143.03,143.79,18208807
2024-03-27,144.39,147.59,144.025,147.33,7078751
2024-03-28,147.27,149.05,146.64,148.63,5197043
2024-04-01,149.14,149.97,146.315,147.62,5421924
2024-04-02,147.66,151,147.43,149.15,4935004
2024-04-03,150.79,152.36,149.2,152.27,4314189
2024-04-04,153.3,154.29,149.525,150,3689090
2024-04-05,149.69,151.71,148.18,151.36,3374041
2024-04-08,151.88,152.23,150.01,150.11,3196400
2024-04-09,149.53,151.17,149.25,150.57,2664338
2024-04-10,148.23,148.5,146.1,147.26,4024388
2024-04-11,147.44,149.22,147.1,149.01,2232464
2024-04-12,148.05,148.3,144.3542,144.91,4123853
2024-04-15,145.87,146.54,143.43,144.85,3271248
2024-04-16,144.54,144.71,142.71,142.89,4197107
2024-04-17,142.5,143.42,141.35,142.25,4165654
2024-04-18,143.08,143.31,141.88,142.74,3430749
2024-04-19,143.15,144.12,142.55,142.77,5118445
2024-04-22,143.21,146.07,142.56,145.36,4578511
2024-04-23,145.996,149.74,145.25,148.87,6371056
2024-04-24,147.93,147.96,143.78,146.62,5284711
2024-04-25,147.95,148.43,145.28,147.39,3553363
2024-04-26,146.84,148.72,146.84,147.59,2607558
2024-04-29,148.26,150.88,147.82,148.55,2654696
2024-04-30,147.54,148.215,146.655,147.48,2402852
2024-05-01,147.29,148.14,145.37,145.92,2842906
2024-05-02,147.48,147.81,146.58,147.22,2039028
2024-05-03,147.95,148.2,146.42,146.43,2039256
2024-05-06,147.57,147.81,146.165,146.67,2073763
2024-05-07,147.37,147.75,146.365,147.09,3403522
2024-05-08,146.12,147.93,145.92,147.77,2799696
2024-05-09,148.08,148.39,147.215,148.06,2510562
2024-05-10,147.005,147.99,146.51,147.37,2504551
2024-05-13,147.85,150.78,147.85,150.6,4185615
2024-05-14,151.41,153.4203,147.88,147.94,3597286
2024-05-15,148.46,149,147.79,147.94,2696084
2024-05-16,148.5,150.03,147.38,149.66,2298712
2024-05-17,149.58,149.71,148.175,149.24,1956712
2024-05-20,148.32,149.5699,147.29,147.59,1812759
2024-05-21,147.44,147.72,145.12,145.42,2750419
2024-05-22,144.42,144.8996,142.78,143.77,3590547
2024-05-23,143.01,143.175,139.03,139.1,4437193
2024-05-24,140.29,140.49,137.93,138.66,2995428
2024-05-28,138,139.2155,136.2439,137.58,3314722
2024-05-29,136.32,136.92,134.3,134.41,3996893
2024-05-30,134.29,136.99,133.58,136.86,4077753
2024-05-31,137.55,139.07,136.12,138.93,5887429
2024-06-03,139.635,139.79,137.35,138.42,2728264
2024-06-04,137.91,138.31,135.5,135.63,3874832
2024-06-05,136.15,137.69,135.2,137.57,3109042
2024-06-06,137.01,137.72,135.855,137.56,2852484
2024-06-07,136.9,139.59,136.38,137.64,3209458
2024-06-10,136.77,138.06,136.41,137.68,3633585
2024-06-11,136.76,137.9832,136.445,137.35,2659815
2024-06-12,138.48,138.575,136.21,136.43,3484617
2024-06-13,136.32,136.32,133.81,134.89,4944207
2024-06-14,134.105,135.695,132.9,135.65,3800244
2024-06-17,135.51,136.29,134.68,135.85,4117678
2024-06-18,136.3,137.24,133.92,134.2,4104086
2024-06-20,134.02,137.49,133.625,136.87,4165689
2024-06-21,136.62,138.59,136.29,136.6,9237861
2024-06-24,137.8,139.64,137.14,138.6,3695903
2024-06-25,138.04,138.04,134.05,134.36,4893665
2024-06-26,136.48,138.95,135.1,138.15,6104304
2024-06-27,137.99,137.99,135.19,135.83,3732537
2024-06-28,136.18,137.2,135.7,136.85,6609563
2024-07-01,136.64,138.1,135.5647,135.95,2668235
2024-07-02,135.61,135.96,134.06,134.91,3280478
2024-07-03,135.74,136.49,135.19,135.55,1539867
2024-07-05,134.87,136.46,134.44,136.35,3237538
