Date,Open,High,Low,Close,Volume
2024-03-25,43.75,44.3,43.46,43.55,6424563
2024-03-26,44,44,43.47,43.53,5267546
2024-03-27,43.3,44.02,43.26,44,6167325
2024-03-28,44.42,44.91,44.3,44.7,7595162
2024-04-01,44.58,44.75,43.885,43.95,4824901
2024-04-02,43.69,43.95,43.12,43.23,6462179
2024-04-03,43.23,43.77,43.01,43.11,5866409
2024-04-04,43.57,44.03,42.725,42.92,6491396
2024-04-05,42.75,43.295,42.66,43.03,4580870
2024-04-08,43.29,44.005,43.06,43.72,6159473
2024-04-09,43.82,44.02,43.41,43.94,5701781
2024-04-10,43.01,43.04,41.865,42.03,7584437
2024-04-11,42.2,42.2,41.205,41.92,6829702
2024-04-12,41.21,41.725,41.18,41.58,6742538
2024-04-15,42.06,42.835,41.095,41.44,10232875
2024-04-16,41.25,41.27,40.39,41,9549837
2024-04-17,39.5,39.97,38.79,39.52,14178495
2024-04-18,39.41,40.15,39.19,39.44,9878744
2024-04-19,39.46,40.46,39.41,40.44,12061358
2024-04-22,40.68,41.37,40.24,41.05,8630700
2024-04-23,41.13,41.26,40.81,40.97,7079873
2024-04-24,40.53,41.725,40.43,41.61,6550280
2024-04-25,41.34,41.74,40.38,40.99,6602398
2024-04-26,41,41.55,40.86,41.12,4512229
2024-04-29,41.22,41.505,41.08,41.29,4649576
2024-04-30,41.05,41.26,40.58,40.63,8861762
2024-05-01,40.59,41.81,40.525,41.05,6359441
2024-05-02,41.61,41.68,40.6,40.97,6760682
2024-05-03,41.55,41.83,41.24,41.41,5091249
2024-05-06,41.76,41.935,41.42,41.82,6430201
2024-05-07,42,42.075,41.405,41.58,8732220
2024-05-08,41.23,41.79,41.06,41.69,8906049
2024-05-09,41.51,41.87,41.26,41.54,6414433
2024-05-10,41.7,41.91,41.61,41.85,4867542
2024-05-13,42,42.23,41.49,41.49,4846470
2024-05-14,41.65,42.29,41.63,41.95,5627923
2024-05-15,42.46,42.61,41.95,42.22,7752812
2024-05-16,42.07,42.26,41.585,41.65,9488666
2024-05-17,41.96,41.96,41.305,41.43,11360579
2024-05-20,41.43,41.64,40.85,40.89,9935503
2024-05-21,40.88,41.22,40.83,41.18,6315239
2024-05-22,40.82,41.23,40.6,40.77,5801976
2024-05-23,40.8,40.85,39.755,40.02,7452459
2024-05-24,40.15,40.54,40.04,40.53,6156240
2024-05-28,40.61,40.71,39.645,39.77,7657183
2024-05-29,39.16,39.16,38.64,39.04,6229616
2024-05-30,39.4,39.55,38.76,39.38,6229241
2024-05-31,39.65,40.6,39.53,40.55,9153504
2024-06-03,40.76,40.8,39.3101,39.73,6361835
2024-06-04,39.35,39.87,38.9,38.96,9953444
2024-06-05,39.07,39.105,38.32,39.08,12487854
2024-06-06,39.08,39.36,38.75,39.02,6331972
2024-06-07,38.71,39.365,38.7,39.02,8218147
2024-06-10,38.65,39.075,38.295,38.75,10632713
2024-06-11,38.69,38.82,37.81,38.45,12501128
2024-06-12,39.61,40.11,39.13,39.28,10299912
2024-06-13,39.18,39.5,38.74,39.26,5935945
2024-06-14,38.76,39.09,38.47,38.83,5121887
2024-06-17,38.7,39.14,38.48,39.09,5697648
2024-06-18,39,39.41,38.86,39.29,6308932
2024-06-20,39.11,39.34,38.8695,39.28,6710904
2024-06-21,39.05,39.855,38.715,39.7,16343812
2024-06-24,39.89,40.82,39.71,40.55,9549170
2024-06-25,40.38,40.59,39.675,40.02,6901040
2024-06-26,39.71,40.01,39.355,39.71,7854730
2024-06-27,39.22,39.705,38.87,39.68,6874531
2024-06-28,39.54,40.08,39.3203,39.7,12212239
2024-07-01,39.81,39.95,39.065,39.24,8068949
2024-07-02,39.13,40.055,39.05,39.97,9381412
2024-07-03,39.98,40.28,39.51,39.51,3715540
2024-07-05,39.52,39.555,38.89,39.04,5656021
2024-07-08,39.15,39.52,39.05,39.46,5295023
2024-07-09,39.18,40.06,39.07,39.87,8003050
2024-07-10,40,40.83,39.81,40.8,9598555
2024-07-11,41.23,42.11,41.1685,41.93,9239953
2024-07-12,41.98,42.45,41.66,42.1,8322179
2024-07-15,42.6,42.93,42.315,42.35,10435604
2024-07-16,42.58,43.435,42.35,43.29,12869845
2024-07-17,43.98,45.66,43.8,45.26,21306511
2024-07-18,44.79,45.63,44.37,44.41,17219339
2024-07-19,44.74,44.965,44.26,44.76,11842312
2024-07-22,44.63,45.22,43.955,45.04,12327711
2024-07-23,44.84,45.68,44.68,45.55,8131502
2024-07-24,45.59,45.84,44.705,44.77,8059350
2024-07-25,44.77,45.72,44.6,45.09,9489867
2024-07-26,45.19,45.66,45.06,45.46,5681656
2024-07-29,45.6,45.6886,45.13,45.37,5011194
2024-07-30,45.58,45.88,45.22,45.47,8211067
2024-07-31,45.51,45.55,44.755,44.88,8859261
2024-08-01,44.92,44.92,43.315,43.48,11219506
2024-08-02,42.66,42.745,41.96,42.35,8485453
2024-08-05,41.255,41.395,40.41,40.8,10994166
2024-08-06,40.74,42.06,40.52,41.67,9184784
2024-08-07,42.39,42.74,41.33,41.39,6840966
2024-08-08,41.79,42.2,41.54,41.76,6364461
2024-08-09,41.61,42.14,41.61,42.07,6486583
2024-08-12,42.24,42.65,41.32,41.47,7620138
2024-08-13,41.82,42.42,41.43,42.4,7457301
2024-08-14,42.44,42.49,42.05,42.34,8036182
2024-08-15,43.05,43.305,42.72,42.81,6512747
2024-08-16,42.81,43.33,42.81,43.19,5369520
2024-08-19,43.25,43.67,43.25,43.66,4575384
2024-08-20,43.48,43.95,43.39,43.74,6587396
2024-08-21,43.85,43.99,43.28,43.7,4262070
2024-08-22,43.69,44.23,43.69,44.19,4836952
2024-08-23,44.51,45.6,44.34,45.39,5094524
2024-08-26,45.75,45.83,45.42,45.62,5849856
2024-08-27,45.595,45.78,45.4539,45.73,5458069
2024-08-28,45.57,46.385,45.57,46.13,6213881
2024-08-29,46.37,46.77,45.51,46.53,7064745
2024-08-30,46.67,47.31,46.6,47.23,14262639
2024-09-03,47.275,47.31,46.205,46.39,7980339
2024-09-04,46.35,46.805,45.89,46.06,5999587
2024-09-05,46.54,46.54,45.4247,45.54,5971435
2024-09-06,45.61,45.9399,44.33,44.49,7635419
2024-09-09,44.93,45.44,44.77,45.26,7146205
2024-09-10,45.4,45.4,44.02,45.03,7000614
2024-09-11,44.64,44.8,43.58,44.75,8448605
2024-09-12,45.38,45.97,43.49,43.85,14746806
2024-09-13,44.16,44.74,44.11,44.62,8757263
2024-09-16,44.85,45.13,44.32,44.69,9524595
2024-09-17,44.975,45.28,44.53,44.68,6286775
2024-09-18,44.74,45.805,44.61,45.18,11035302
2024-09-19,46.28,46.62,45.6,46.47,9002051
2024-09-20,46.29,46.37,45.84,46.01,11026226
2024-09-23,46.14,46.3,45.76,45.86,5205595
2024-09-24,45.86,45.98,45.28,45.64,6197586
2024-09-25,45.68,45.68,44.7,44.75,6848363
2024-09-26,45.03,45.43,44.24,45.3,9679445
2024-09-27,45.52,45.95,45.22,45.48,6884719
2024-09-30,45.27,45.78,44.865,45.73,7028335
2024-10-01,45.38,45.4212,44.32,44.46,6273022
2024-10-02,44.47,44.91,44.014,44.25,6114298
2024-10-03,44.04,44.105,43.44,43.98,4513231
2024-10-04,44.72,44.95,44.17,44.7,5438129
2024-10-07,44.58,44.69,44.025,44.47,5108387
2024-10-08,44.565,44.73,44.155,44.26,4587960
2024-10-09,44.33,45.15,44.15,45.1,6848304
2024-10-10,44.9,45.057736,44.495,44.94,5310654
2024-10-11,45.4,46.5808,45.34,46.26,8809001
2024-10-14,46.19,47.2,46.09,47.12,8166677
2024-10-15,47.45,48.08,46.94,47,8595515
2024-10-16,48.735,50.11,48.735,49.21,27957347
2024-10-17,49.87,50.47,49.1,49.97,16053146
2024-10-18,50.11,50.15,48.9561,49.16,10983629
2024-10-21,49.03,49.1572,47.86,47.92,6648264
2024-10-22,47.74,48.15,47.42,48.03,6854202
2024-10-23,47.81,48.53,47.78,48.53,6844454
2024-10-24,48.47,48.73,48.195,48.45,7804528
2024-10-25,48.85,48.95,47.6901,47.74,6601339
2024-10-28,48.12,48.6899,47.935,48.59,5781058
2024-10-29,48.42,48.7,48.06,48.22,7499820
2024-10-30,48.22,49.365,48.22,48.68,8434921
2024-10-31,48.67,48.82,48.225,48.31,6913266
2024-11-01,48.71,48.96,47.815,47.84,5480459
2024-11-04,47.19,47.865,47.14,47.19,7720539
2024-11-05,47.29,47.87,47.22,47.61,4379755
2024-11-06,50.28,51.76,50,51.26,17523429
2024-11-07,50.84,51.01,49.34,49.56,9625859
2024-11-08,49.77,50.355,49.35,50.21,8615275
2024-11-11,50.88,51.46,50.785,51.04,8192491
2024-11-12,50.85,51.26,50.375,50.76,7564598
2024-11-13,51,51.6799,50.761376,51.17,7130595
2024-11-14,51.285,51.285,50.235,50.31,10345130
2024-11-15,50.38,50.65,49.74,49.9,13570863
2024-11-18,49.95,50.79,49.835,50.61,7472289
2024-11-19,49.5907,50.62,49.5907,50.4,5066239
2024-11-20,50.53,50.96,50.29,50.74,8071262
2024-11-21,50.855,52.08,50.8,51.39,8218027
2024-11-22,51.37,52.69,51.37,52.49,8301608
2024-11-25,53.26,53.9295,53.16,53.63,10234422
2024-11-26,53.62,53.795,53.28,53.66,5767560
2024-11-27,53.76,53.98,53.22,53.48,4506594
2024-11-29,53.55,53.75,53.07,53.29,3287928
2024-12-02,53.42,53.5,52.53,52.77,5110448
2024-12-03,52.69,52.885,51.83,52.1,6520424
2024-12-04,52.22,52.42,51.59,52.01,4670043
2024-12-05,52.105,52.58,51.9484,52.12,7020209
2024-12-06,52.22,52.59,51.78,52.18,4683487
2024-12-09,52.24,52.265,51.26,51.31,5415155
2024-12-10,51.54,51.81,50.78,51.57,6357617
2024-12-11,51.985,52.24,51.25,51.32,7842542
2024-12-12,51.5,51.81,51.07,51.1,7596741
2024-12-13,51.295,51.33,50.73,51.03,6426776
2024-12-16,51.14,51.37,50.64,51.36,8427159
2024-12-17,51.24,51.24,49.68,49.98,6774156
2024-12-18,50.11,50.25,47.57,47.61,8970093
2024-12-19,48.31,48.5473,47.18,47.41,9803278
2024-12-20,47.39,48.5699,47.22,47.92,20225035
2024-12-23,47.58,48.36,47.47,48.32,4600870
2024-12-24,48.4,48.83,48.23,48.83,2393788
2024-12-26,48.69,49.125,48.33,49.01,3448268
2024-12-27,48.735,49.26,48.24,48.49,4957109
2024-12-30,48.1,48.585,47.655,48.25,4868438
2024-12-31,47.96,48.31,47.62,47.83,4521417
2025-01-02,48.22,48.3,47.54,47.86,6227857
2025-01-03,48.03,48.89,47.83,48.86,6419138
2025-01-06,49.21,49.67,48.65,48.73,7261802
2025-01-07,49.2,49.46,48.47,48.7,6014509
2025-01-08,48.69,48.69,47.89,48.52,5955541
2025-01-10,48.005,48.09,47.05,47.38,8528550
2025-01-13,47.465,48.41,47.41,48.39,9164676
2025-01-14,48.84,49.345,48.675,49.06,8753167
2025-01-15,50.51,51.12,50.24,50.9,13935609
2025-01-16,47.89,49.21,47.2,48.03,19042986
2025-01-17,48.78,48.78,47.41,48.36,14835670
2025-01-21,48.65,49.405,48.3261,49.32,11643942
2025-01-22,49.06,49.09,47.94,48.63,9541203
2025-01-23,48.685,48.95,48.1499,48.43,8139149
2025-01-24,48.275,49.38,48.17,49.07,8259474
2025-01-27,49.15,49.72,49.02,49.54,5987579
2025-01-28,49.57,49.76,47.96,48.44,12309870
2025-01-29,48.36,49.1775,47.55,47.66,15331766
2025-01-30,48,48.46,47.7,48,6683474
2025-01-31,47.99,48.35,47.67,47.78,11182692
2025-02-03,47,47.44,46.55,46.87,10880981
2025-02-04,46.975,47.83,46.975,47.45,10381422
2025-02-05,47.82,48.195,47.289,47.38,10811065
2025-02-06,47.935,48.07,47.39,47.74,9101325
2025-02-07,47.83,48,46.885,47.23,8115361
2025-02-10,47.3,47.32,46.475,46.88,8459759
2025-02-11,46.76,47.675,46.4601,47.59,7744914
2025-02-12,47.105,47.62,46.985,47.49,6180233
2025-02-13,47.4718,47.56,46.845,47.39,6352207
2025-02-14,47.56,48.05,47.5,47.75,5398893
2025-02-18,47.77,47.996,47.56,47.94,5459776
2025-02-19,47.5,47.6,46.045,47.12,10999380
2025-02-20,47.1,47.24,46.15,46.76,6909131
2025-02-21,46.8,46.93,45.7447,45.87,9326990
2025-02-24,46.11,46.19,45.415,45.61,8069411
2025-02-25,45.957,46.2,45.365,45.91,12635831
2025-02-26,46.15,46.54,45.605,45.75,9056100
2025-02-27,45.86,46.765,45.82,46.28,6315500
2025-02-28,46.45,46.94,46.08,46.9,10100676
2025-03-03,47.125,47.37,45.77,46.24,9676018
2025-03-04,45.695,45.75,44.18,44.61,10798588
2025-03-05,44.58,45,43.875,44.67,8956701
2025-03-06,44.32,44.82,43.84,44.38,9879813
2025-03-07,44.365,44.79,43.58,44.72,10793225
2025-03-10,43.785,44.3008,41.975,42.37,18143834
