Date,Open,High,Low,Close,Volume
2024-03-25,280.914,281.401,277.967,279.127,8582992
2024-03-26,282.025,282.025,276.349,278.522,8817661
2024-03-27,278.174,279.166,274.928,276.955,5229399
2024-03-28,276.429,277.728,275.067,277.013,5887960
2024-04-01,278.284,278.81,274.741,276.219,5121915
2024-04-02,275.941,277.261,274.928,276.379,6963875
2024-04-03,278.404,278.404,274.512,274.908,4570694
2024-04-04,276.299,277.017,271.535,271.971,4048531
2024-04-05,274.055,275.9,272.994,275.087,4424817
2024-04-08,274.205,275.923,273.112,275.703,5583777
2024-04-09,275.573,275.941,271.296,274.671,7368874
2024-04-10,273.38,274.771,272.09,272.448,5315374
2024-04-11,271.971,274.432,270.163,273.639,8162740
2024-04-12,273.51,274.948,272.026,273.916,9105842
2024-04-15,275.833,275.853,268.338,269.271,10344090
2024-04-16,268.537,272.1,268.169,269.341,8298584
2024-04-17,271.276,271.971,269.49,270.671,5985219
2024-04-18,270.552,271.127,267.862,269.361,8293263
2024-04-19,269.461,269.987,266.303,267.713,7963108
2024-04-22,268.943,271.733,267.365,270.313,6511965
2024-04-23,271.981,272.854,270.69,272.08,6486033
2024-04-24,280.478,280.904,272.458,272.984,8872863
2024-04-25,270.949,274.175,268.487,273.122,8124787
2024-04-26,272.974,274.721,271.802,272.488,6891649
2024-04-29,270.303,272.438,269.082,269.827,4223523
2024-04-30,268.527,270.065,266.595,266.62,6423924
2024-05-01,266.164,268.905,264.735,265.341,6171058
2024-05-02,267.355,267.475,264.675,265.628,5099461
2024-05-03,267.009,267.455,264.527,266.502,3890830
2024-05-06,267.653,270.759,267.574,270.651,3988255
2024-05-07,271.693,275.823,270.814,274.412,6424656
2024-05-08,275.743,276.482,272.879,275.137,9097065
2024-05-09,274.751,276.725,274.348,276.477,9015576
2024-05-10,277.481,278.95,277.172,278.66,9053626
2024-05-13,279.376,280.061,277.032,277.321,10606944
2024-05-14,277.371,277.917,272.234,275.683,18664309
2024-05-15,275.097,279.643,275.018,279.416,21447188
2024-05-16,280.171,280.808,277.705,278.282,10399627
2024-05-17,278.491,279.346,276.551,278.54,6212424
2024-05-20,277.665,278.709,276.631,276.99,5491479
2024-05-21,276.453,276.875,273.349,274.413,6614990
2024-05-22,273.996,276.531,273.588,274.045,4226024
2024-05-23,273.707,275.896,271.514,272.703,6150163
2024-05-24,273.479,273.707,271.828,272.962,4364268
2024-05-28,272.703,272.934,268.725,269.472,6247241
2024-05-29,267.503,269.63,266.766,267.363,5500340
2024-05-30,267.203,270.127,266.816,269.789,4930526
2024-05-31,269.929,271.241,267.513,270.943,8959876
2024-06-03,271.569,271.609,266.567,268.875,4865877
2024-06-04,268.128,271.47,267.81,270.903,4211968
2024-06-05,272.007,273.399,270.506,272.972,5398736
2024-06-06,273.27,275.606,272.553,275.497,4889605
2024-06-07,276.163,278.774,275.319,277.118,4541081
2024-06-10,276.591,277.009,271.858,273.509,5243198
2024-06-11,273.012,273.329,270.704,273.14,6279552
2024-06-12,275.229,276.054,268.397,268.815,7578837
2024-06-13,268.815,270.341,267.816,269.679,7402377
2024-06-14,268.595,270.039,267.77,269.152,8585064
2024-06-17,267.503,270.316,267.503,269.659,9310050
2024-06-18,269.789,272.375,269.789,272.096,6745018
2024-06-20,271.669,276.492,271.579,275.279,10221279
2024-06-21,275.626,275.995,273.051,273.687,14872969
2024-06-24,273.787,278.829,273.737,274.762,24284854
2024-06-25,275.309,276.382,272.007,272.007,20009068
2024-06-26,271.39,272.932,270.236,272.106,12240144
2024-06-27,267.015,269.083,265.016,265.105,10588041
2024-06-28,265.712,267.104,259.795,261.009,14035424
2024-07-01,262.321,264.29,259.845,261.774,8000314
2024-07-02,261.774,266.736,260.939,266.736,8746514
2024-07-03,267.572,268.248,266.656,267.493,5045857
2024-07-05,267.503,269.039,266.746,268.855,8031155
2024-07-08,268.745,269.929,264.489,264.916,8609078
2024-07-09,265.513,266.06,262.45,263.962,6468828
2024-07-10,257.676,262.013,257.07,261.536,9689420
2024-07-11,260.67,262.162,259.308,261.089,8854499
2024-07-12,262.868,265.907,262.192,264.26,6664879
2024-07-15,264.559,267.74,263.773,266.956,6883541
2024-07-16,267.025,268.705,265.882,267.75,7913989
2024-07-17,266.946,271.39,266.746,271.182,5354477
2024-07-18,270.773,272.096,267.06,267.651,5581886
2024-07-19,268.815,269.442,262.838,263.982,6878233
2024-07-22,265.742,266.906,263.545,266.219,5343363
2024-07-23,266.04,266.209,262.39,263.316,8154616
2024-07-24,254.645,255.768,251.72,252.755,13139056
2024-07-25,253.968,256.782,251.292,252.326,8621288
2024-07-26,254.166,259.745,254.166,258.016,7101758
2024-07-29,258.87,261.241,257.14,260.143,6102087
2024-07-30,261.764,262.828,259.557,261.635,5975046
2024-07-31,263.067,264.877,262.779,264.19,7685341
2024-08-01,264.847,265.513,262.709,264.449,7310377
2024-08-02,262.361,266.469,261.416,265.095,7057153
2024-08-05,259.995,261.456,253.093,255.012,9685253
2024-08-06,255.072,259.04,254.346,256.822,21707692
2024-08-07,258.214,260.572,254.883,255.092,12980860
2024-08-08,256.692,258.995,256.484,258.383,8269715
2024-08-09,258.243,260.586,258.085,258.831,7254054
2024-08-12,259.569,260.665,258.313,258.961,26865541
2024-08-13,259.2,260.744,258.343,259.2,12048811
2024-08-14,259.938,260.566,257.815,260.206,8582949
2024-08-15,261.9,266.435,261.9,265.847,7424316
2024-08-16,265.897,267.481,264.441,266.425,5129413
2024-08-19,266.465,267.351,264.282,265.517,6579461
2024-08-20,266.045,267.082,264.83,267.082,6827979
2024-08-21,267.6,268.308,266.435,267.241,6663565
2024-08-22,267.979,268.537,265.617,266.983,4441318
2024-08-23,267.739,268.248,264.362,266.485,3710710
2024-08-26,266.763,269.404,266.713,267.251,4628725
2024-08-27,267.56,269.982,266.933,269.752,6617720
2024-08-28,270.19,271.008,266.713,268.228,5474665
2024-08-29,270.012,275.003,269.484,273.339,5585047
2024-08-30,274.017,276,273.28,275.383,6318673
2024-09-03,275.383,281.082,275.383,277.544,7304357
