Date,Open,High,Low,Close,Volume
2024-03-25,82.4,83.23,80.92,81.95,7094744
2024-03-26,82.5,86.6252,82.16,82.67,8377149
2024-03-27,82.67,83.28,78.52,81.01,7800543
2024-03-28,81.1,82.96,80.6,81.67,5077426
2024-04-01,82.08,82.84,79.5682,80.4,6376370
2024-04-02,78.72,81.28,77.16,80.77,6930164
2024-04-03,80,85.83,79.8,85.35,8017977
2024-04-04,87.62,88.695,80.58,80.69,11498403
2024-04-05,82.6,85.41,81.8,85.34,7984556
2024-04-08,85.42,86,82.245,84.15,6524976
2024-04-09,84.25,84.37,78.93,81.8,10241902
2024-04-10,80.13,85.385,79.3128,84.77,8810819
2024-04-11,85.74,88.25,84.94,86.34,8896259
2024-04-12,84.63,86.7399,83.51,83.89,5903624
2024-04-15,85.5,86.45,80.34,80.67,7638023
2024-04-16,80.45,83.36,79.59,82.36,6775611
2024-04-17,83.16,85.1299,80.1,81.88,6168651
2024-04-18,82.59,84.79,80.03,81.01,6618360
2024-04-19,79.91,80.15,74.57,74.99,15921846
2024-04-22,75.8,77.2491,72.58,76.07,10949605
2024-04-23,76.87,79.79,76.42,79.17,7385659
2024-04-24,89.79,94.39,81.84,84.57,28787710
2024-04-25,83,92.489,81.9,90.35,20852369
2024-04-26,92.87,95.32,92.56,93.49,15253921
2024-04-29,93.18,94.86,91.19,94.8,14543688
2024-04-30,93.75,95.7008,91.33,93,11015254
2024-05-01,92.13,93,86.7906,88.52,10960567
2024-05-02,90.47,92.44,87.36,92.17,6046460
2024-05-03,94.18,94.88,92.56,93.01,4749009
2024-05-06,94.39,97.28,94.39,97.26,5701256
2024-05-07,95.9,97.49,94.85,94.91,5752139
2024-05-08,94.72,98.08,94.1,97.68,6006444
2024-05-09,97.6,99.44,95.55,97.94,6894418
2024-05-10,99.6,100.298,95.02,95.4,8692825
2024-05-13,95.42,96.63,93.74,94.8,4466604
2024-05-14,94.37,98.95,93.1,98.73,4871983
2024-05-15,101.02,104.76,101.01,104.6,8483772
2024-05-16,102.47,103.75,97.21,97.29,8234320
2024-05-17,98.68,98.94,95.0501,96.81,8078398
2024-05-20,97.62,101.3,97.62,99.32,6056028
2024-05-21,97.04,100.18,96.5,99.13,4538442
2024-05-22,100,101.95,99.1,100.13,5919712
2024-05-23,105,105.64,101.09,101.24,10831070
2024-05-24,101.6,109.2708,101.2204,106.17,10019554
2024-05-28,108.11,109,103.3,105.16,9810405
2024-05-29,104.6,105.43,103.11,103.21,7080660
2024-05-30,102.85,104.47,101.64,102.28,4814548
2024-05-31,100.4,100.7041,92.4,98.07,17944395
2024-06-03,98.2,98.39,92.65,96.11,9698080
2024-06-04,93.95,94.41,89.13,92.09,13986404
2024-06-05,93.57,98.36,93.34,97.08,9545783
2024-06-06,96.1,97.29,87.16,88,20215575
