Date,Open,High,Low,Close,Volume
2024-03-25,40.53,40.88,40.48,40.87,14587174
2024-03-26,40.83,40.9975,40.71,40.85,17854062
2024-03-27,41.1,41.78,41.1,41.54,19260122
2024-03-28,41.64,42.15,41.63,41.96,19771402
2024-04-01,41.99,42.34,41.525,42.28,15031569
2024-04-02,42.3,42.675,42.26,42.54,17260824
2024-04-03,42.58,42.9,42.53,42.84,18211835
2024-04-04,42.99,43.42,42.44,42.45,16461398
2024-04-05,42.25,42.435,41.61,42.12,14338679
2024-04-08,42.12,42.15,41.71,41.73,14457769
2024-04-09,41.06,41.18,40.54,40.84,17226953
2024-04-10,40.61,40.66,39.96,40.52,17900359
2024-04-11,40.45,40.47,40.09,40.16,14782159
2024-04-12,40.18,40.26,39.68,39.72,21554994
2024-04-15,40.11,40.35,39.85,40.11,16442814
2024-04-16,40.11,40.14,39.57,39.77,14016776
2024-04-17,39.85,39.975,39.4615,39.78,21009242
2024-04-18,39.85,40.17,39.71,40.13,20173746
2024-04-19,40,40.675,39.98,40.49,24691769
2024-04-22,41.4,41.64,38.56,38.6,51243224
2024-04-23,38.91,39.995,38.68,39.7,25972819
2024-04-24,39.5,39.66,38.935,39.49,15946635
2024-04-25,39.29,39.82,38.96,39.22,16837678
2024-04-26,39.06,39.955,38.895,39.68,18246244
2024-04-29,39.9,40.82,39.87,40.09,19840961
2024-04-30,39.91,39.92,39.44,39.49,20222168
2024-05-01,39.33,39.655,39.13,39.2,17760286
2024-05-02,39.32,39.48,38.75,38.93,17394935
2024-05-03,39.05,39.195,38.75,38.89,13195563
2024-05-06,39.12,39.35,39.06,39.33,13348833
2024-05-07,39.53,39.58,39.09,39.31,11935174
2024-05-08,39.24,39.57,39.1,39.48,10437950
2024-05-09,39.51,39.83,39.3801,39.79,12881043
2024-05-10,39.81,40.425,39.71,40.4,16888467
2024-05-13,40.34,40.65,40.0903,40.54,21365657
2024-05-14,40.59,40.69,40.42,40.49,17664419
2024-05-15,40.75,40.9101,40.44,40.49,14925995
2024-05-16,40.29,40.435,40.14,40.25,12913198
2024-05-17,40.39,40.41,39.83,40.06,14670373
2024-05-20,40.05,40.31,40.01,40.12,8665020
2024-05-21,40.1,40.12,39.28,39.62,18326958
2024-05-22,39.7,40.18,39.62,39.79,12374070
2024-05-23,39.6,39.8,39.11,39.43,14104959
2024-05-24,39.51,39.74,39.5,39.74,10419992
2024-05-28,39.72,39.79,39.17,39.36,15071274
2024-05-29,39.26,39.465,39,39.1,17652020
2024-05-30,39.22,40.36,39.18,40.33,19636499
2024-05-31,40.14,41.28,40.1,41.15,38917432
2024-06-03,41.18,41.51,40.9,40.98,20688122
2024-06-04,40.88,41.56,40.72,41.56,16040154
2024-06-05,41.6,41.72,41.13,41.35,11964024
2024-06-06,41.31,41.72,41.135,41.33,10259100
2024-06-07,41.16,41.29,40.813,40.94,10410163
2024-06-10,40.91,40.93,40.33,40.41,15214007
2024-06-11,40.29,40.585,40.22,40.42,12083337
2024-06-12,40.77,40.8,39.575,39.77,15065287
2024-06-13,39.75,39.8,39.3,39.78,12297449
2024-06-14,39.475,39.8381,39.45,39.67,10480588
2024-06-17,39.6,39.6,38.95,39.46,22286574
2024-06-18,39.71,40.18,39.7,40.08,17125702
2024-06-20,39.84,40.465,39.81,40.24,17704694
2024-06-21,40.37,40.38,39.9,40.24,30390207
2024-06-24,40.39,41.22,40.32,41.17,20773849
2024-06-25,41.21,41.625,40.83,41.08,18933015
2024-06-26,41,41.17,40.71,41.02,19709928
2024-06-27,41,41.04,40.56,40.82,15560796
2024-06-28,40.86,41.58,40.69,41.24,27639192
2024-07-01,41.42,41.98,41.35,41.74,16412107
2024-07-02,41.63,41.7,40.715,41.1,21659365
2024-07-03,41.13,41.385,40.95,41.12,6653911
2024-07-05,41.17,41.375,40.9501,41.27,17552239
2024-07-08,41.3,41.585,41.08,41.53,15380386
2024-07-09,41.47,41.78,41.21,41.3,20489842
2024-07-10,40.88,41.13,40.685,41.08,13826758
2024-07-11,41.08,41.36,40.75,41.3,12492709
2024-07-12,41.31,41.57,41.2,41.43,11129067
2024-07-15,41.43,41.4599,40.7,40.79,15874928
2024-07-16,40.85,41.55,40.82,41.45,16016946
2024-07-17,41.55,42.19,41.52,42.03,20401662
2024-07-18,41.9,42.52,41.72,42.07,15752842
2024-07-19,42.3,42.3,41.43,41.62,17608032
2024-07-22,39.95,40,38.7,39.09,54985804
2024-07-23,38.74,39.265,38.72,38.89,25257746
2024-07-24,39.24,39.83,39.045,39.67,22888993
2024-07-25,39.86,40.965,39.79,39.95,19740301
2024-07-26,39.9,40.17,39.65,40.09,15911465
2024-07-29,40.08,40.12,39.67,40.03,12937173
2024-07-30,40.01,40.26,39.83,40.04,16089216
2024-07-31,40.03,40.79,39.98,40.52,23605387
2024-08-01,40.665,41.18,40.28278,40.85,18166753
2024-08-02,41.2,41.94,40.405,40.97,26124914
2024-08-05,40,40.27,39.64,39.8,26855043
2024-08-06,39.97,40.48,39.76,40.26,18104248
2024-08-07,40.36,40.72,40.2,40.28,12176298
2024-08-08,40.28,40.79,40.25,40.52,13237149
2024-08-09,40.49,40.8,40.03,40.75,11818717
2024-08-12,40.945,41,40.31,40.53,11098961
2024-08-13,40.65,40.8,40.355,40.78,15349360
2024-08-14,40.6,41.1,40.49,40.9,10931096
2024-08-15,40.84,40.92,40,40.04,17489607
2024-08-16,40.1,40.62,40.06,40.61,13377523
2024-08-19,40.625,40.86,40.56,40.74,9401416
2024-08-20,40.66,40.955,40.625,40.85,8784009
2024-08-21,40.91,41.07,40.73,41.05,13683356
2024-08-22,41.1,41.16,40.61,40.87,13529599
2024-08-23,40.99,41.23,40.915,41.21,11757332
2024-08-26,41.37,41.74,41.24,41.49,10309480
2024-08-27,41.55,41.64,41.175,41.45,9778154
2024-08-28,41.49,41.7079,41.36,41.49,12732723
2024-08-29,41.54,41.565,41.14,41.25,17338130
2024-08-30,41.3,41.89,41.17,41.78,20009887
2024-09-03,41.96,42.93,41.92,42.93,23319942
2024-09-04,43,43.27,41.2,41.48,31272700
2024-09-05,41.305,41.81,40.9,41.31,28199755
2024-09-06,41.36,41.791,41.13,41.15,18100349
2024-09-09,41.26,42.78,41.26,42.73,27850290
2024-09-10,42.79,43.6899,42.38,43.65,36980411
2024-09-11,43.51,43.82,42.94,43.8,22395462
2024-09-12,43.5,43.88,43.43,43.86,18399827
2024-09-13,43.925,44.47,43.62,44.43,20029688
2024-09-16,44.61,45.05,44.46,45,24714535
2024-09-17,44.75,44.75,43.92,44.08,18769603
2024-09-18,44.1,44.5,43.78,43.88,16897926
2024-09-19,43.96,43.97,43.325,43.94,23097155
2024-09-20,43.78,44.47,43.645,44.33,52671859
2024-09-23,44.35,44.53,43.95,44.26,18083217
2024-09-24,44.21,44.79,44.13,44.66,15153967
2024-09-25,44.8,44.88,44.4244,44.55,21990145
2024-09-26,44.6,44.88,44.36,44.62,15779600
2024-09-27,44.715,45.05,44.485,44.89,15659277
2024-09-30,45.13,45.36,44.79,44.91,13516985
2024-10-01,44.96,45.24,44.66,45.21,17536350
2024-10-02,45.13,45.28,44.87,45.05,12040785
2024-10-03,44.93,44.9601,44.39,44.52,12258416
2024-10-04,43.77,44.25,43.55,44.18,14537280
2024-10-07,44.08,44.135,43.77,43.84,12884971
2024-10-08,44,44.15,43.69,44.01,10855107
2024-10-09,44.06,44.25,43.805,44.11,12614166
2024-10-10,43.44,43.67,42.81,42.95,12352803
2024-10-11,43.15,43.24,42.8,43,10658662
2024-10-14,43,43.29,42.89,43.19,9923489
2024-10-15,43.47,43.97,43.165,43.74,15444457
2024-10-16,43.74,44.1,43.66,43.91,9458993
2024-10-17,43.88,44,43.525,43.85,10539459
2024-10-18,43.83,44.165,43.67,43.99,13058370
2024-10-21,44.045,44.2,43.6,43.7,18760023
2024-10-22,41.9,42.64,40.75,41.5,42576288
2024-10-23,41.86,42.9,41.76,42.86,27174732
2024-10-24,42.38,42.45,41.64,41.86,23506361
2024-10-25,41.9,42.18,41.37,41.38,19717360
2024-10-28,41.45,41.78,41.39,41.62,13574976
2024-10-29,41.315,41.68,41.29,41.33,15072322
2024-10-30,41.33,41.51,41.12,41.28,16372594
2024-10-31,41.26,42.65,41.245,42.13,31077938
2024-11-01,42.12,42.35,41.3,41.36,16682363
2024-11-04,41.65,41.77,40.9,41.06,14760870
2024-11-05,41.01,41.27,40.83,41.26,12322777
