Date,Open,High,Low,Close,Volume
2024-03-25,92.42,92.71,91.24,91.27,1762047
2024-03-26,91.55,92.35,90.99,91.01,1776379
2024-03-27,91.85,92.88,91.14,92.8,3077248
2024-03-28,93.33,93.6,92.94,93.44,3519497
2024-04-01,93.44,93.53,91.81,91.99,2198634
2024-04-02,91.59,92,90.9,90.98,2581966
2024-04-03,91.2,91.87,90.655,91.27,1974786
2024-04-04,92.12,92.44,90.11,90.44,1787420
2024-04-05,90.44,92.02,90.44,91.76,1728129
2024-04-08,91.48,92.07,91.3,91.79,1807550
2024-04-09,91.78,92.01,90.99,92,2018962
2024-04-10,89.92,90.68,89.46,90.2,4559421
2024-04-11,90.61,91.25,89.8,90.37,2312314
2024-04-12,90.29,90.62,89.38,89.79,1808366
2024-04-15,90.43,90.58,88.33,89.1,1548011
2024-04-16,88.7,89.19,87.87,88.31,1911129
2024-04-17,88.36,91.04,88.305,89.7,3175924
2024-04-18,89.75,90.91,89.375,90.81,1879065
2024-04-19,91.41,91.99,90.77,91.33,1901565
2024-04-22,91.73,91.88,90.76,91.61,1940557
2024-04-23,91.8,93.04,91.41,92.93,2378965
2024-04-24,92.2,94,91.91,93.7,2692286
2024-04-25,93.18,94.12,92.73,94,2477888
2024-04-26,94.3,94.99,93.96,94.34,1857213
2024-04-29,95.09,95.83,94.62,95.78,2607971
2024-04-30,94.52,98.19,94.52,95.28,3879139
2024-05-01,95.02,96.05,94.1375,94.36,2283496
2024-05-02,95,96.19,93.715,96.08,3129173
2024-05-03,96.96,97.205,94.66,95.81,2557328
2024-05-06,96.5,96.85,95.86,96.78,1605775
2024-05-07,97.5,97.96,96.91,97.46,1836430
2024-05-08,97.8,98.66,97.22,98.4,2293611
2024-05-09,98.83,99.34,97.88,99.16,2253013
2024-05-10,98.89,99.39,98.33,98.83,1763576
2024-05-13,99.09,99.68,98.36,99.48,2091045
2024-05-14,99.77,100.33,98.66,98.82,2721822
2024-05-15,100.4,101.1,99.3,101,2632672
2024-05-16,101.43,101.755,100.81,100.95,2326353
2024-05-17,101.51,101.88,100.89,101.29,1913218
2024-05-20,101.01,102.15,100.79,100.84,1800733
2024-05-21,100.82,101.34,100.37,101.1,1472949
2024-05-22,101.06,102.66,100.39,101.87,2274330
2024-05-23,101.96,102,99.77,99.96,2129837
2024-05-24,100.65,101.37,100.08,100.87,1936733
2024-05-28,101.44,101.75,100.65,100.83,2738049
2024-05-29,100.39,100.92,99.95,100.64,2075949
2024-05-30,101.07,102.21,100.96,102.15,1672519
2024-05-31,102.86,104.05,102.05,103.67,7068469
2024-06-03,103.76,104.4,103.32,104.06,3030120
2024-06-04,103.91,105.01,103.4105,104.49,2039240
2024-06-05,104.38,105.69,104.09,105.01,2202924
2024-06-06,104.65,105.25,104.23,104.65,1666341
2024-06-07,103.82,104.16,103.13,103.81,1967243
2024-06-10,104.55,105.25,103.45,103.53,2267975
2024-06-11,102.85,104.115,102.37,103.46,2346457
2024-06-12,105.27,105.27,102.6,102.87,2182167
2024-06-13,103.3,104.08,102.89,103.87,1883237
2024-06-14,103.85,104.47,103.18,104.04,1859543
2024-06-17,103.55,104.33,103.3,103.79,1900331
2024-06-18,103.81,104.26,102.95,103.94,2172606
2024-06-20,103.67,103.89,102.8,103.03,3079997
2024-06-21,102.93,103.35,101.8,102.32,17573828
2024-06-24,102.4,103.89,102.07,102.97,3349761
2024-06-25,102.98,103.09,100.455,100.93,3136599
2024-06-26,100.52,101.94,100.13,101.83,2846676
2024-06-27,102.06,103.58,101.97,103.35,2649637
2024-06-28,103.77,104.86,103.29,104.25,11688689
2024-07-01,104.24,104.78,102.94,104,2494119
2024-07-02,104.55,105.98,104.08,105.97,2775533
2024-07-03,105.91,106.23,105.16,105.35,1204766
2024-07-05,105.5,106.5,104.73,106.48,1626897
2024-07-08,105.77,105.95,104.28,104.42,3726319
2024-07-09,104.16,105.05,103.3,104.83,4672143
2024-07-10,105.23,105.41,102.92,104.55,2448001
2024-07-11,104.97,106.22,103.75,104.65,3071695
2024-07-12,104.96,104.985,103.355,104.2,3512491
2024-07-15,104.47,105.565,104.1,105.34,1811557
2024-07-16,105.98,106.37,105.3417,105.94,2181683
2024-07-17,105.99,106.9416,105.54,106.79,2144399
2024-07-18,106.23,107.58,105.59,105.95,1599250
2024-07-19,106.66,108.06,105.86,107.41,2100836
2024-07-22,107.39,108.67,106.98,108.63,1744080
2024-07-23,108.75,110.63,108.45,109.59,2601636
2024-07-24,109.59,111.39,109.07,109.55,2224165
2024-07-25,110.09,111.85,108.49,108.49,2572617
2024-07-26,108.6,110.487,108.24,109.78,2104674
2024-07-29,110.3,112.16,109.37,111.65,3316862
2024-07-30,113.97,115.33,111.21,112.24,3992166
2024-07-31,112.23,113.79,111.24,111.25,3178402
2024-08-01,112.4,112.92,111.07,112.39,1967229
2024-08-02,112.38,114.62,111.95,112.76,2827096
2024-08-05,112.11,114.68,110.7401,111.04,4104421
2024-08-06,111.63,115.86,111.28,114.96,3935820
2024-08-07,115.57,117.44,114.62,114.82,3426073
2024-08-08,114.77,116.4,114.37,115.73,2543359
2024-08-09,116.24,117.67,115.45,117.4,2209244
2024-08-12,116.95,117.79,115.771,116.62,2116924
2024-08-13,117.35,117.98,116.57,117.17,1740404
2024-08-14,117.07,118.63,117.07,117.51,2340413
2024-08-15,117.26,118.48,115.345,116.34,2462267
2024-08-16,116.32,116.46,115.33,115.92,3472521
2024-08-19,116,117,115.18,115.54,1681877
2024-08-20,115.74,116.8382,115.49,116.43,1681872
2024-08-21,116.79,117.23,116.29,116.33,3015997
2024-08-22,116.5,117.88,116.5,117.82,1668704
2024-08-23,118.1,119.5,118.005,119.37,2221113
2024-08-26,119.51,120.22,118.865,119.24,1399201
2024-08-27,118.64,120.79,118.4233,120.26,2356016
2024-08-28,120.39,121.48,120.38,121.07,2948838
2024-08-29,120.99,121.25,119.93,120.55,2011946
2024-08-30,120.92,121.7,119.96,120.68,7190752
2024-09-03,120.23,122.355,120.23,122.06,2888971
2024-09-04,122.25,124.875,122.18,124.48,4334131
2024-09-05,125.18,125.5,123.64,124,2608259
2024-09-06,123.86,124.83,123,124.6,2457052
2024-09-09,124.62,127.47,124.47,127.33,3460214
2024-09-10,127.88,129.11,126.33,129.02,2506289
2024-09-11,128.065,128.78,126.69,128.66,3995033
2024-09-12,128.03,128.93,127.05,128.83,3055662
2024-09-13,129.05,129.865,128.28,129.75,2100052
2024-09-16,130.97,131.31,129.095,129.18,2199404
2024-09-17,128.95,129.55581,127.06,127.46,2110315
2024-09-18,127.64,128.72,126.78,127.67,2729270
2024-09-19,127.66,128.46,124.49,125.39,3091307
2024-09-20,123.98,126.3,123.053,125.27,10565683
2024-09-23,125.83,128.705,125.495,128.59,2410175
2024-09-24,127.12,128.39,126.845,127.6,2389673
2024-09-25,128.31,129.54,128.27,129.08,2777826
2024-09-26,128.92,129.08,126.11,126.55,3375973
2024-09-27,127.35,127.52,126.21,127.2,2286015
2024-09-30,127.11,128.03,126.2,128.03,3515441
2024-10-01,128.31,128.5,126.91,127.58,1981784
2024-10-02,126.42,127.97,126.12,127.03,2047391
2024-10-03,127.34,127.77,126.22,126.46,1702534
2024-10-04,125.32,125.9,124.54,125.56,1966641
2024-10-07,124.91,125.53,123.99,124.27,2857726
2024-10-08,124.5,124.995,123.82,124.77,2092230
2024-10-09,124.8,124.865,123.24,124.34,2413691
2024-10-10,124.36,124.45,122.34,123.11,1722176
2024-10-11,124.34,125.31,123.6,125.18,1758323
