Date,Open,High,Low,Close,Volume
2024-03-25,57.075,57.33,56.37,56.73,15028154
2024-03-26,57.14,57.15,56.59,56.68,11445879
2024-03-27,56.38,57.64,56.38,57.61,13762768
2024-03-28,57.66,58.075,57.56,57.96,14618982
2024-04-01,57.88,57.88,57.26,57.61,11039467
2024-04-02,57.36,58,57.19,57.35,14632878
2024-04-03,57.2,57.96,56.85,57.13,13226477
2024-04-04,57.73,58,56.54,56.68,12361915
2024-04-05,56.63,57.62,56.57,57.4,11080968
2024-04-08,57.375,57.98,57.31,57.79,15308824
2024-04-09,57.7,57.99,56.87,57.58,10645952
2024-04-10,56.79,57.295,56.42,56.94,16475238
2024-04-11,56.98,57,55.625,56.69,18995594
2024-04-12,55.97,57,55.34,56.47,27876733
2024-04-15,57.61,57.98,56.735,56.97,19407516
2024-04-16,56.9,56.96,55.66,56.41,25620002
2024-04-17,56.88,57.63,56.65,57.18,18867719
2024-04-18,57.625,59.13,57.22,58.74,24468521
2024-04-19,59,60.85,58.855,60.355,34329433
2024-04-22,60.4,61.485,60.34,61.1,21753384
2024-04-23,61.17,61.76,60.81,60.94,21731239
2024-04-24,60.6,60.95,60.05,60.6,19731585
2024-04-25,60.61,60.96,59.6,59.93,24002548
2024-04-26,59.78,60.43,59.375,59.91,18785900
2024-04-29,59.86,60.3,59.36,59.8,15343629
2024-04-30,59.6,59.99,59.3,59.32,18007721
2024-05-01,59.58,60.145,59.325,59.52,16366622
2024-05-02,60.12,60.15,59.32,59.83,15329457
2024-05-03,60.03,60.258,59.12,59.94,17298461
2024-05-06,60.47,60.878,59.835,60.19,16240271
2024-05-07,60.28,60.61,60.06,60.26,16268431
2024-05-08,60.15,61.43,60.095,61.23,18718415
2024-05-09,60.74,61.37,60.48,61.28,14224342
2024-05-10,61.46,61.97,61.46,61.89,14428171
2024-05-13,61.96,62.17,61.21,61.26,15203467
2024-05-14,61.56,61.985,61.02,61.89,14499616
2024-05-15,62.2,62.55,61.87,62.34,17489595
2024-05-16,62.45,62.475,60.965,61.06,21104094
2024-05-17,61.41,61.63,60.885,61.08,15795963
2024-05-20,60.975,61.79,60.59,60.7,15029013
2024-05-21,60.82,61.7,60.78,61.46,18422116
2024-05-22,61.3,61.45,60.51,60.93,10340465
2024-05-23,60.75,60.78,59.36,59.68,13056305
2024-05-24,60.04,60.39,59.87,60.21,9913040
2024-05-28,59.97,60.18,59.19,59.48,11276265
2024-05-29,58.865,58.94,58.42,58.75,12835045
2024-05-30,58.82,59.39,58.6,59.21,13584811
2024-05-31,59.27,59.99,58.97,59.92,25386837
2024-06-03,60.2,60.2,58.6,59.34,13206546
2024-06-04,58.82,59.4769,58.34,58.7,12520732
2024-06-05,58.86,58.92,58.125,58.68,11199140
2024-06-06,58.78,58.995,57.5,57.73,18587366
2024-06-07,57.57,58.68,57.57,58.36,14466845
2024-06-10,57.9,58.13,57.37,57.93,12793783
2024-06-11,57.75,57.75,56.51,57.13,19197807
2024-06-12,58.28,58.45,57.155,57.3,16929802
2024-06-13,57.45,57.62,56.69,57.27,15963716
2024-06-14,56.99,57.61,56.62,57.4,15375353
2024-06-17,57.205,58.245,57.07,58.24,18361139
2024-06-18,58.21,59.05,57.9,59.05,15547404
2024-06-20,58.74,59.2,58.59,58.96,11985694
2024-06-21,58.295,58.46,57.32,58.1,62733159
2024-06-24,58.49,59.46,58.27,59.01,16198325
2024-06-25,58.77,59,57.18,57.2,27490698
2024-06-26,57.22,57.8,56.8259,57.01,30425651
2024-06-27,56.41,57.47,56.33,57.42,13832248
2024-06-28,58.09,59.45,58.09,59.39,31074465
2024-07-01,59.61,60.61,59.57,60.59,14470399
2024-07-02,60.49,61.18,60.14,60.97,9543675
2024-07-03,61,61.14,60.16,60.66,6698813
2024-07-05,60.5,60.66,59.11,59.62,11436349
2024-07-08,59.97,60.405,58.66,59.01,12479998
2024-07-09,59.075,60.42,58.915,59.88,12238284
2024-07-10,59.54,59.99,59.375,59.72,12097212
2024-07-11,59.4,60.705,59.28,60.16,16852839
2024-07-12,56.2,56.92,55.6,56.54,53042761
2024-07-15,57.14,58.24,57.04,57.73,27277286
2024-07-16,58.04,60.62,57.525,60.24,25577337
2024-07-17,60.16,61,59.885,60.91,17371094
2024-07-18,60.62,60.82,58.99,59.24,17739015
2024-07-19,59.3,59.77,59.11,59.23,12362828
2024-07-22,59.26,59.39,58.54,59.14,13638599
2024-07-23,59.2,59.905,59.04,59.67,10927821
2024-07-24,59.77,60.21,59.37,59.44,10777076
2024-07-25,59.56,60.73,59.45,59.7,14119567
2024-07-26,59.85,60.45,59.57,60.39,12538935
2024-07-29,60.74,60.83,59.345,59.59,8986171
2024-07-30,60.46,60.73,59.885,60.01,11503929
2024-07-31,59.82,60.12,59.2,59.34,11535807
2024-08-01,59.26,59.34,56.515,56.88,17752743
2024-08-02,55.18,55.57,52.8,53.26,27642566
2024-08-05,51.31,52.4,50.15,52.12,28594008
2024-08-06,52.28,52.96,52.05,52.36,18723461
2024-08-07,53.15,53.49,52.15,52.29,18407499
2024-08-08,52.97,53.3182,52.65,52.76,16176021
2024-08-09,52.3,52.83,52.07,52.76,11668975
2024-08-12,52.91,53.47,51.675,52.06,18090061
2024-08-13,52.36,52.96,51.81,52.87,12268566
2024-08-14,53.03,53.775,52.72,53.66,13217178
2024-08-15,54.5,55.17,54.43,54.57,16549362
2024-08-16,54.78,55.43,54.61,55.33,19173886
2024-08-19,55.345,56.46,55.26,56.45,12792854
