Date,Open,High,Low,Close,Volume
2024-03-25,38.34,38.77,38.14,38.21,5784582
2024-03-26,38.21,38.35,37.98,38.09,5946057
2024-03-27,38.19,38.57,38.055,38.54,5065508
2024-03-28,38.73,39.09,38.51,38.97,6721182
2024-04-01,38.96,38.99,38.57,38.87,5728487
2024-04-02,38.96,39.3,38.88,39.3,5833442
2024-04-03,39.4,39.48,39.19,39.35,8990459
2024-04-04,39.48,39.76,38.93,39.11,5239037
2024-04-05,39.23,39.33,38.61,39.23,5382736
2024-04-08,39.33,39.42,38.935,38.95,5938934
2024-04-09,39.02,39.32,38.71,39.24,6305030
2024-04-10,39.08,39.17,38.71,38.88,8515545
2024-04-11,38.98,38.99,38.23,38.6,8341547
2024-04-12,38.79,39.2,37.91,38.08,7906124
2024-04-15,38.43,38.44,37.705,37.84,7809619
2024-04-16,37.81,37.89,37.1825,37.65,8086718
2024-04-17,37.83,37.93,37.43,37.68,6399700
2024-04-18,37.39,37.795,37.27,37.58,7216372
2024-04-19,37.74,38.56,37.46,38.52,6745907
2024-04-22,38.55,38.8,38.1,38.66,5977338
2024-04-23,38.58,38.85,38.435,38.78,5142560
2024-04-24,38.65,39.3,38.33,39.25,5667707
2024-04-25,39.27,39.52,38.995,39.45,3903406
2024-04-26,39.36,39.36,38.92,39.26,5723399
2024-04-29,39.41,39.56,39.015,39.21,5048087
2024-04-30,39.16,39.16,38.34,38.36,7907295
2024-05-01,38.33,38.51,37.69,37.89,7780341
2024-05-02,38.1,38.89,38.01,38.54,5948885
2024-05-03,38.67,38.89,38.425,38.67,4420828
2024-05-06,38.72,39.095,38.63,39.06,6769140
2024-05-07,39.64,39.99,38.89,39.11,8726201
2024-05-08,38.9,39.415,38.76,39.32,6449402
2024-05-09,39.47,39.705,39.365,39.58,6390225
2024-05-10,39.63,39.79,39.34,39.64,4673741
2024-05-13,39.745,39.88,39.57,39.66,5889745
2024-05-14,39.66,40.4,39.64,40.36,5973382
2024-05-15,40.47,40.71,40.255,40.47,7829818
2024-05-16,40.36,41.12,40.36,40.95,7362503
2024-05-17,41.12,41.35,40.78,41.27,6117069
2024-05-20,41.31,41.53,41.23,41.44,4991809
2024-05-21,41.53,41.89,41.37,41.78,4967798
2024-05-22,41.57,41.635,40.56,40.72,6253625
2024-05-23,40.73,40.88,40.02,40.11,5879941
2024-05-24,40.3,40.4,39.88,40.13,4226041
2024-05-28,40.17,40.76,40.1,40.67,5163095
2024-05-29,40.56,40.585,40.06,40.1,3977834
2024-05-30,40.17,40.65,40.11,40.64,3774521
2024-05-31,40.68,41.56,40.41,41.51,9789500
2024-06-03,41.46,41.5,40.7,40.98,7033403
2024-06-04,40.92,41.4,40.59,41.32,6443274
2024-06-05,41.39,41.65,41,41.58,4827186
2024-06-06,41.44,41.6,41.075,41.42,4894565
2024-06-07,40.76,41.08,40.585,40.7,6157215
2024-06-10,41.1,41.67,40.93,41.46,7248098
2024-06-11,41.24,41.4458,40.96,41.37,4131924
2024-06-12,41.7,41.78,41.315,41.55,6120931
2024-06-13,41.44,41.67,41.24,41.52,5157336
2024-06-14,41.38,41.48,41.02,41.17,3602347
2024-06-17,41.09,41.56,40.925,41.26,5588817
2024-06-18,41.56,41.945,41.515,41.81,4812633
2024-06-20,41.99,42.6,41.68,42.4,8130656
2024-06-21,43.18,43.2,42.05,42.06,15441614
2024-06-24,42.04,43.19,42.02,43.11,7541940
2024-06-25,43.02,43.22,42.68,42.89,5303962
2024-06-26,42.8,42.89,42.135,42.29,4933244
2024-06-27,42.37,42.545,41.955,42.24,4534707
2024-06-28,42.45,42.6,41.87,42.5,8506931
2024-07-01,42.69,42.7999,42.13,42.39,3161367
2024-07-02,42.58,42.61,42.075,42.3,4386234
2024-07-03,42.32,43.035,42.24,42.8,3176619
2024-07-05,42.68,42.83,42.26,42.48,3182238
2024-07-08,42.42,42.84,42.32,42.35,4004493
2024-07-09,42.21,42.695,42.09,42.39,3906688
2024-07-10,42.39,42.53,41.98,42.5,4251660
2024-07-11,42.45,42.745,42.3,42.67,3021926
2024-07-12,42.95,43.21,42.78,42.98,4332084
2024-07-15,43.36,43.36,42.505,42.56,5491163
2024-07-16,42.73,42.84,42.25,42.35,4849866
2024-07-17,42.49,42.92,42.425,42.65,6105680
2024-07-18,42.49,43.8,42.35,43.28,7509794
2024-07-19,43.64,44.175,43.29,44,8859218
2024-07-22,44.11,45.1,44.02,44.77,8500808
2024-07-23,44.6,44.79,44.02,44.08,8738196
2024-07-24,44,44.04,42.34,42.49,10198552
2024-07-25,42.49,42.56,41.7,41.82,7779273
2024-07-26,41.93,42.68,41.84,42.52,5567552
2024-07-29,42.64,43.035,42.475,42.93,5811957
2024-07-30,42.66,43.09,42.345,42.95,7504592
2024-07-31,43.35,43.49,42.735,42.94,8295885
2024-08-01,43.11,43.39,42.83,43.11,6838402
2024-08-02,42.96,43.05,41.68,42.2,5833937
2024-08-05,41,41.41,40.41,41.24,7767695
2024-08-06,41.75,43.29,41.26,42.83,9960300
2024-08-07,43.37,44.285,42.95,43,9581072
2024-08-08,43.21,43.94,43.08,43.86,5601555
2024-08-09,43.84,43.84,43.11,43.26,6048566
2024-08-12,43.21,43.53,43.071,43.31,5210127
2024-08-13,43.12,43.215,42.79,43.12,4640290
2024-08-14,43.12,43.4899,42.82,43.39,4215657
2024-08-15,43.56,43.945,43.45,43.88,4121404
2024-08-16,43.74,44.255,43.69,44.13,6779316
2024-08-19,44.17,45.05,44.15,45.02,5635423
2024-08-20,44.92,45.06,43.96,44.32,4247253
2024-08-21,44.49,44.73,44.22,44.5,4053738
2024-08-22,44.5,44.89,44.46,44.67,2959601
2024-08-23,44.89,45.35,44.74,45.29,3351233
2024-08-26,45.54,45.788,45.31,45.49,3214517
2024-08-27,45.38,45.54,45.0547,45.38,4070921
2024-08-28,45.31,45.47,44.65,44.93,3495542
2024-08-29,45.09,45.5,44.6912,45.49,4051027
2024-08-30,45.29,45.81,45.21,45.77,7265188
2024-09-03,45.46,45.69,44.725,45.55,4528685
